DR,A%,DF%,1stIn,1st%,2nd%
1.08,0.0%,5.7%,71.3%,55.2%,34.3%
0.87,0.0%,9.3%,55.6%,50.0%,52.1%
0.82,0.0%,0.0%,80.0%,51.9%,46.2%
1.31,0.0%,0.0%,85.3%,62.1%,60.0%
1.47,0.0%,6.7%,83.3%,70.0%,40.0%
1.04,4.1%,2.1%,71.1%,56.5%,53.6%
1.12,0.0%,0.0%,66.7%,60.0%,48.0%
0.76,0.0%,6.6%,60.7%,48.6%,33.3%
1.31,0.0%,1.3%,86.7%,69.2%,40.0%
0.69,0.0%,0.0%,82.9%,50.8%,53.8%
0.96,0.0%,5.7%,75.0%,56.1%,36.4%
0.85,2.3%,4.7%,75.6%,72.3%,33.3%
1.34,0.0%,1.7%,67.8%,65.0%,63.2%
1.21,0.0%,0.0%,82.0%,68.5%,56.3%
1.67,0.0%,0.0%,78.3%,70.2%,76.9%
1.71,0.0%,11.8%,70.6%,58.3%,60.0%
1.20,1.0%,3.1%,76.3%,63.5%,39.1%
0.93,0.9%,2.6%,67.0%,61.0%,50.0%
1.29,1.9%,9.3%,70.4%,71.1%,37.5%
0.68,0.0%,1.3%,69.2%,53.7%,41.7%
1.20,1.4%,1.4%,83.3%,61.7%,41.7%
0.88,0.0%,2.9%,78.6%,56.4%,20.0%
0.80,1.1%,4.4%,68.9%,59.7%,25.0%
1.35,5.3%,5.3%,65.8%,68.0%,46.2%
1.40,0.0%,4.2%,75.0%,61.1%,41.7%
0.70,0.0%,2.5%,67.5%,44.4%,38.5%
1.40,0.0%,3.2%,75.8%,61.7%,53.3%
0.84,0.0%,6.5%,71.0%,56.8%,38.9%
1.11,0.0%,4.7%,67.2%,62.8%,42.9%
1.09,0.0%,4.9%,75.6%,59.7%,35.0%
1.37,0.0%,7.5%,75.5%,65.0%,46.2%
0.61,0.0%,6.6%,73.8%,42.2%,31.3%
0.75,0.0%,9.8%,66.7%,50.0%,23.5%
0.82,0.0%,10.8%,72.3%,46.8%,33.3%
0.80,0.0%,8.8%,65.0%,61.5%,39.3%
0.77,1.3%,19.5%,50.6%,56.4%,26.3%
0.68,1.0%,4.1%,73.2%,56.3%,46.2%
1.38,0.0%,2.7%,74.3%,56.4%,57.9%
0.92,0.0%,7.7%,67.9%,56.6%,48.0%
0.63,1.1%,6.6%,80.2%,54.8%,33.3%
1.76,0.0%,5.8%,69.6%,77.1%,57.1%
1.78,0.0%,0.0%,78.7%,75.7%,60.0%
1.03,1.2%,2.4%,65.1%,59.3%,44.8%
1.04,0.0%,2.4%,80.5%,66.7%,25.0%
0.81,0.0%,2.7%,63.0%,52.2%,37.0%
0.92,2.2%,4.5%,66.3%,54.2%,26.7%
1.05,0.0%,3.2%,72.3%,63.2%,46.2%
0.74,0.0%,6.3%,70.3%,44.4%,36.8%
0.75,1.7%,8.5%,59.3%,54.3%,33.3%
1.18,0.0%,7.4%,72.6%,58.0%,46.2%
1.03,0.0%,6.1%,68.7%,62.0%,33.3%
0.80,0.0%,6.0%,74.0%,48.6%,53.8%
1.50,0.0%,8.6%,77.6%,71.1%,46.2%
0.78,0.0%,6.6%,68.4%,61.5%,29.2%
0.53,2.1%,6.4%,80.9%,47.4%,22.2%
0.74,1.4%,8.2%,58.9%,55.8%,43.3%
0.99,1.4%,4.1%,75.7%,64.3%,16.7%
0.94,0.0%,7.3%,69.8%,58.2%,31.0%
0.77,1.5%,10.3%,54.4%,62.2%,25.8%
0.95,0.0%,8.9%,74.1%,60.2%,31.0%
1.20,0.0%,6.5%,71.4%,76.4%,50.0%
0.79,2.0%,11.8%,68.6%,57.1%,37.5%
1.03,0.0%,10.6%,67.1%,63.2%,46.4%
1.08,2.6%,7.9%,73.7%,64.3%,40.0%
0.87,5.7%,5.7%,62.9%,65.9%,38.5%
1.19,0.0%,5.0%,76.7%,60.9%,35.7%
0.76,1.8%,12.5%,60.7%,58.8%,27.3%
1.22,0.0%,7.8%,70.3%,66.7%,52.6%
1.35,0.0%,8.2%,60.7%,70.3%,45.8%
1.08,0.0%,9.3%,66.7%,59.7%,38.9%
1.02,1.1%,2.3%,73.6%,65.6%,17.4%
0.80,1.1%,7.5%,77.4%,63.9%,33.3%
0.70,0.0%,8.3%,60.0%,50.0%,41.7%
0.85,1.1%,6.6%,68.1%,54.8%,48.3%
1.10,0.0%,5.9%,69.6%,59.2%,45.2%
1.08,0.0%,9.0%,69.7%,75.8%,37.0%
1.05,0.7%,2.2%,67.2%,58.9%,45.5%
0.54,0.0%,5.1%,59.0%,65.2%,31.3%
2.23,3.0%,3.0%,78.8%,76.9%,42.9%
1.30,0.0%,4.8%,61.3%,73.7%,45.8%
1.18,0.0%,5.2%,79.3%,56.5%,33.3%
0.72,1.2%,4.9%,76.5%,56.5%,21.1%
0.97,2.5%,3.8%,72.5%,51.7%,59.1%
0.67,0.0%,0.0%,80.8%,45.2%,40.0%
1.22,1.3%,5.1%,82.3%,60.0%,35.7%
1.41,0.0%,0.0%,81.8%,55.6%,62.5%
0.84,0.0%,6.1%,72.0%,49.2%,52.2%
1.22,0.0%,3.6%,82.1%,60.9%,20.0%
0.83,6.9%,3.4%,72.4%,61.9%,31.3%
1.02,0.0%,7.2%,67.5%,69.6%,29.6%
1.11,3.4%,4.5%,68.5%,77.0%,35.7%
1.60,3.4%,6.9%,56.9%,81.8%,60.0%
1.13,1.2%,2.5%,66.7%,68.5%,59.3%
0.74,0.0%,8.8%,66.7%,55.3%,42.1%
1.06,2.4%,0.0%,70.7%,69.0%,54.2%
1.74,4.1%,2.0%,71.4%,80.0%,35.7%
0.66,1.6%,4.8%,67.7%,66.7%,20.0%
0.89,0.0%,6.8%,54.1%,40.0%,35.3%
1.02,1.4%,4.2%,62.0%,70.5%,48.1%
1.40,0.0%,9.0%,62.7%,64.3%,56.0%
1.68,0.0%,1.9%,67.9%,75.0%,52.9%
1.22,1.3%,2.6%,69.2%,66.7%,45.8%
1.08,0.0%,5.0%,79.2%,55.0%,66.7%
1.25,2.0%,3.1%,67.3%,68.2%,46.9%
1.56,0.0%,11.6%,48.8%,76.2%,50.0%
0.47,0.0%,4.3%,57.4%,37.0%,15.0%
1.26,6.0%,8.4%,54.2%,64.4%,55.3%
0.65,3.7%,11.1%,68.5%,70.3%,41.2%
0.92,0.0%,10.1%,58.6%,63.8%,46.3%
1.27,3.3%,13.3%,63.3%,73.7%,36.4%
1.24,1.4%,11.4%,68.6%,68.8%,31.8%
1.32,2.8%,18.3%,60.6%,67.4%,39.3%
0.70,5.0%,8.3%,60.0%,63.9%,33.3%
1.29,5.4%,10.7%,66.1%,67.6%,47.4%
1.52,6.3%,4.8%,57.1%,75.0%,59.3%
0.99,2.3%,8.0%,64.8%,63.2%,41.9%
0.80,1.1%,6.8%,64.8%,61.4%,22.6%
0.60,0.0%,10.0%,58.0%,69.0%,33.3%
0.84,0.0%,11.2%,61.8%,50.9%,35.3%
