DR,A%,DF%,1stIn,1st%,2nd%
0.50,4.3%,2.9%,59.4%,75.6%,39.3%
1.22,8.7%,2.9%,60.9%,81.0%,40.7%
1.27,2.6%,3.9%,53.9%,75.6%,60.0%
1.16,8.0%,4.5%,51.1%,82.2%,55.8%
1.01,3.2%,1.1%,50.5%,72.3%,50.0%
0.74,0.0%,4.3%,50.0%,43.5%,43.5%
0.83,2.1%,1.1%,59.6%,64.3%,60.5%
0.69,0.0%,7.3%,68.3%,35.7%,53.8%
1.01,2.6%,4.3%,57.4%,63.6%,53.1%
1.14,3.7%,2.5%,58.0%,70.2%,52.9%
0.80,2.7%,4.1%,70.1%,71.8%,50.0%
0.81,6.8%,6.8%,56.8%,66.7%,51.6%
1.64,7.3%,1.8%,70.9%,76.9%,56.3%
2.13,9.5%,2.4%,64.3%,92.6%,53.3%
0.75,2.5%,7.5%,47.5%,57.9%,45.2%
0.60,0.0%,5.6%,65.6%,55.9%,38.7%
2.04,7.1%,1.4%,60.0%,73.8%,71.4%
0.94,1.0%,2.0%,54.0%,53.7%,58.7%
1.22,4.8%,6.3%,68.3%,76.7%,40.0%
0.99,1.4%,2.7%,68.9%,66.7%,56.5%
1.01,2.2%,4.3%,59.4%,65.9%,37.5%
1.42,2.0%,2.0%,66.7%,67.6%,58.8%
2.58,7.3%,0.0%,63.6%,88.6%,70.0%
0.74,0.0%,2.4%,63.5%,61.1%,48.4%
0.92,6.0%,2.4%,65.1%,64.8%,37.9%
0.82,3.6%,2.7%,47.3%,54.7%,57.6%
1.46,3.3%,1.6%,60.7%,70.3%,66.7%
0.99,8.8%,3.5%,64.9%,78.4%,45.0%
1.91,4.2%,0.0%,60.4%,79.3%,68.4%
1.83,0.0%,0.0%,30.8%,25.0%,88.9%
0.77,7.6%,3.8%,62.9%,59.1%,43.6%
0.88,0.0%,3.4%,58.6%,56.9%,58.3%
1.60,5.3%,0.0%,66.7%,76.3%,57.9%
1.31,2.4%,4.8%,54.2%,75.6%,55.3%
1.43,3.8%,0.0%,62.0%,73.5%,70.0%
0.64,1.9%,5.6%,64.8%,45.7%,47.4%
1.06,3.2%,1.1%,58.1%,72.2%,66.7%
1.22,3.2%,1.6%,71.4%,71.1%,44.4%
1.70,8.7%,1.4%,62.3%,72.1%,76.9%
1.75,9.3%,2.3%,62.8%,70.4%,56.3%
0.22,4.1%,4.1%,58.1%,67.4%,35.5%
1.23,13.7%,1.4%,60.3%,81.8%,72.4%
0.53,4.3%,2.2%,56.5%,50.0%,50.0%
0.74,1.7%,4.3%,61.2%,57.7%,51.1%
1.16,12.3%,2.5%,63.1%,72.7%,57.8%
1.30,8.6%,0.0%,65.7%,69.6%,62.5%
