DR,A%,DF%,1stIn,1st%,2nd%
1.29,2.7%,1.3%,58.7%,63.6%,64.5%
1.29,6.2%,6.2%,50.8%,69.7%,56.3%
2.14,16.0%,2.0%,66.0%,78.8%,76.5%
1.65,2.1%,6.4%,61.7%,79.3%,55.6%
0.73,7.3%,3.7%,69.5%,64.9%,44.0%
1.69,15.4%,1.9%,65.4%,91.2%,38.9%
1.24,9.3%,0.0%,60.0%,73.3%,50.0%
1.28,8.0%,1.1%,71.6%,71.4%,52.0%
1.77,10.4%,2.1%,64.6%,80.6%,58.8%
1.37,4.3%,4.3%,55.7%,79.5%,64.5%
1.16,17.4%,2.3%,62.8%,83.3%,43.8%
1.44,16.9%,3.4%,55.9%,69.7%,80.8%
1.13,9.9%,1.0%,59.4%,70.0%,75.6%
1.40,8.6%,5.7%,72.9%,88.2%,36.8%
0.87,8.9%,2.4%,62.1%,70.1%,59.6%
1.85,9.3%,1.9%,66.7%,80.6%,72.2%
0.54,4.8%,4.8%,66.1%,68.3%,57.1%
0.86,11.5%,2.6%,73.1%,73.7%,61.9%
0.59,11.1%,13.0%,50.0%,63.0%,59.3%
1.56,13.5%,1.9%,63.5%,72.7%,68.4%
1.21,14.0%,5.3%,50.9%,86.2%,60.7%
1.10,11.1%,6.2%,74.1%,78.3%,52.4%
1.38,6.6%,1.6%,60.7%,83.8%,37.5%
0.72,2.2%,2.2%,52.2%,70.8%,50.0%
0.78,3.9%,2.6%,61.8%,70.2%,37.9%
0.85,2.8%,2.8%,61.1%,63.6%,35.7%
1.44,2.5%,5.1%,63.3%,68.0%,55.2%
1.52,9.7%,1.6%,75.8%,78.7%,66.7%
0.88,0.0%,5.9%,51.8%,59.1%,46.3%
0.30,0.0%,11.3%,49.1%,57.7%,48.1%
1.09,6.9%,2.8%,66.7%,66.7%,54.2%
1.07,2.4%,3.9%,59.8%,63.2%,43.1%
1.51,8.8%,1.5%,61.8%,85.7%,53.8%
1.02,9.3%,3.5%,64.0%,70.9%,51.6%
0.86,6.7%,5.3%,61.3%,60.9%,48.3%
0.85,8.5%,1.7%,60.2%,62.0%,40.4%
1.18,8.5%,0.0%,57.7%,73.2%,60.0%
1.39,5.4%,5.4%,60.8%,77.8%,58.6%
1.40,7.4%,1.5%,73.5%,84.0%,50.0%
1.37,4.7%,2.4%,63.5%,77.8%,61.3%
1.08,4.1%,3.1%,58.8%,68.4%,50.0%
0.73,6.1%,4.1%,67.3%,69.7%,37.5%
0.88,6.8%,2.9%,54.4%,75.0%,44.7%
0.75,8.4%,4.8%,51.8%,60.5%,45.0%
1.01,6.3%,7.6%,58.2%,71.7%,45.5%
0.95,11.0%,5.0%,57.0%,71.9%,53.5%
0.67,14.1%,3.5%,55.3%,85.1%,50.0%
1.38,8.5%,3.4%,52.5%,77.4%,67.9%
1.11,5.9%,4.0%,61.4%,77.4%,48.7%
0.74,6.2%,0.0%,61.7%,76.0%,51.6%
1.73,16.0%,2.0%,80.0%,85.0%,60.0%
1.09,5.7%,4.8%,61.0%,85.9%,51.2%
0.60,3.8%,3.8%,50.9%,70.4%,23.1%
1.19,3.7%,8.5%,53.7%,75.0%,57.9%
0.51,5.7%,4.7%,66.0%,70.0%,44.4%
1.51,8.3%,1.7%,61.7%,81.1%,60.9%
2.77,7.0%,7.0%,58.1%,88.0%,77.8%
1.42,5.4%,7.1%,67.9%,81.6%,61.1%
