DR,A%,DF%,1stIn,1st%,2nd%
0.98,15.1%,1.2%,67.4%,77.6%,60.7%
1.36,11.0%,2.7%,68.5%,78.0%,56.5%
0.68,15.4%,0.0%,73.1%,57.9%,57.1%
1.33,17.8%,2.2%,76.7%,78.3%,71.4%
0.88,12.3%,4.9%,68.9%,70.2%,39.5%
0.53,8.2%,8.2%,65.3%,65.6%,41.2%
1.25,4.8%,3.2%,66.1%,82.9%,52.4%
0.90,13.1%,5.6%,65.4%,77.1%,48.6%
1.34,12.9%,6.5%,62.9%,79.5%,56.5%
1.24,12.0%,4.3%,64.1%,84.7%,54.5%
0.54,11.1%,3.2%,69.8%,77.3%,36.8%
1.54,27.6%,6.9%,62.1%,91.7%,40.9%
2.88,7.1%,2.4%,59.5%,84.0%,76.5%
1.22,7.1%,2.4%,65.9%,80.4%,75.9%
0.71,5.9%,5.9%,60.3%,63.4%,44.4%
1.03,13.1%,7.1%,58.3%,77.6%,40.0%
1.11,12.0%,8.7%,69.6%,78.1%,39.3%
0.76,6.1%,7.6%,57.6%,71.1%,39.3%
0.91,12.6%,3.2%,68.4%,69.2%,56.7%
1.20,18.2%,3.0%,81.8%,74.1%,66.7%
1.17,14.3%,5.2%,64.9%,72.0%,51.9%
1.62,10.5%,1.8%,73.7%,81.0%,66.7%
0.82,14.1%,3.1%,64.1%,76.8%,52.2%
1.82,14.6%,2.1%,70.8%,79.4%,64.3%
0.99,21.4%,3.6%,67.9%,78.9%,37.0%
0.80,12.3%,5.5%,54.8%,70.0%,51.5%
0.87,13.0%,3.7%,68.5%,73.0%,41.2%
0.75,8.9%,2.0%,70.3%,62.0%,70.0%
0.95,8.0%,3.4%,67.8%,72.9%,60.7%
1.75,17.3%,0.0%,63.5%,75.8%,84.2%
0.68,6.7%,2.2%,64.4%,60.3%,53.1%
1.11,8.1%,0.0%,72.7%,70.8%,59.3%
0.98,27.1%,3.2%,70.3%,76.1%,54.3%
0.71,19.0%,4.8%,71.4%,68.9%,27.8%
0.96,6.6%,0.0%,70.3%,78.1%,59.3%
1.38,20.2%,3.2%,72.3%,79.4%,73.1%
1.06,22.5%,5.6%,78.9%,78.6%,46.7%
0.67,6.6%,2.6%,67.1%,70.6%,64.0%
2.56,0.0%,7.3%,65.9%,88.9%,64.3%
1.63,16.7%,7.4%,72.2%,84.6%,46.7%
1.90,17.6%,3.9%,66.7%,85.3%,58.8%
1.09,13.5%,3.4%,74.2%,68.2%,56.5%
1.38,14.6%,1.1%,73.0%,76.9%,58.3%
3.56,12.2%,4.9%,68.3%,92.9%,76.9%
1.58,25.8%,3.0%,77.3%,84.3%,53.3%
1.33,12.9%,1.6%,77.4%,75.0%,42.9%
0.79,8.8%,1.3%,63.7%,78.4%,41.4%
1.25,11.4%,5.7%,68.2%,76.7%,53.6%
1.18,16.7%,5.6%,67.8%,73.8%,48.3%
1.23,8.2%,3.5%,64.7%,76.4%,53.3%
1.51,9.2%,7.7%,66.2%,79.1%,63.6%
0.76,11.0%,3.3%,60.4%,74.5%,50.0%
1.30,12.5%,4.2%,68.1%,81.6%,47.8%
2.08,18.2%,4.5%,68.2%,76.7%,71.4%
0.97,3.8%,4.8%,66.7%,61.4%,31.4%
0.81,5.8%,3.5%,58.1%,74.0%,47.2%
1.13,9.0%,7.0%,64.0%,76.6%,41.7%
1.84,15.6%,2.2%,73.3%,75.8%,66.7%
1.44,8.5%,3.4%,67.8%,70.0%,63.2%
0.50,13.6%,6.1%,66.7%,65.9%,50.0%
0.99,11.4%,2.5%,73.4%,74.1%,61.9%
1.76,9.3%,5.6%,57.4%,83.9%,65.2%
0.61,11.2%,5.6%,69.2%,67.6%,39.4%
1.19,21.4%,6.3%,66.1%,81.1%,39.5%
1.26,11.3%,6.3%,66.3%,81.1%,48.1%
0.96,12.5%,6.6%,61.0%,75.9%,49.1%
2.56,28.3%,0.0%,65.2%,86.7%,87.5%
0.98,11.0%,2.4%,59.8%,75.5%,66.7%
0.67,11.8%,2.9%,69.1%,70.2%,52.4%
1.10,17.6%,5.5%,74.7%,80.9%,34.8%
0.90,16.3%,3.3%,67.4%,82.3%,40.0%
1.04,22.0%,3.0%,72.0%,77.8%,67.9%
1.78,31.6%,7.0%,68.4%,89.7%,55.6%
1.70,30.4%,4.3%,67.4%,93.5%,46.7%
0.86,13.2%,5.9%,69.1%,74.5%,52.4%
1.98,12.3%,3.5%,75.4%,86.0%,64.3%
