DR,A%,DF%,1stIn,1st%,2nd%
0.84,0.0%,2.5%,67.9%,58.2%,50.0%
1.27,1.5%,6.2%,66.2%,67.4%,45.5%
0.90,0.8%,3.9%,69.8%,52.2%,43.6%
2.64,5.4%,5.4%,64.9%,79.2%,61.5%
0.83,2.9%,4.3%,58.6%,56.1%,27.6%
0.86,0.0%,4.1%,71.1%,50.7%,42.9%
0.49,0.0%,1.5%,63.2%,51.2%,36.0%
1.25,1.7%,3.3%,80.0%,60.4%,25.0%
1.01,1.8%,3.7%,70.6%,63.6%,56.3%
1.01,1.9%,10.4%,67.0%,54.9%,37.1%
0.83,2.1%,10.6%,58.5%,60.0%,33.3%
1.02,2.7%,5.4%,68.9%,64.7%,43.5%
1.53,10.2%,5.1%,59.3%,82.9%,45.8%
1.65,0.0%,13.3%,62.2%,71.4%,41.2%
0.82,1.6%,12.5%,54.7%,60.0%,44.8%
1.59,1.9%,7.4%,59.3%,75.0%,59.1%
1.10,1.3%,9.0%,51.3%,70.0%,63.2%
0.85,0.0%,5.1%,62.8%,51.0%,27.6%
0.51,2.6%,6.4%,65.4%,70.6%,37.0%
0.64,0.0%,10.7%,58.9%,51.5%,30.4%
1.34,2.9%,2.9%,72.1%,63.3%,63.2%
1.31,0.0%,7.6%,66.7%,68.2%,45.5%
1.38,0.0%,15.4%,51.9%,77.8%,40.0%
1.45,5.5%,7.3%,54.5%,80.0%,48.0%
1.12,4.1%,7.1%,62.2%,70.5%,43.2%
1.46,0.0%,15.1%,54.7%,69.0%,50.0%
0.91,5.6%,11.3%,52.1%,62.2%,47.1%
0.93,3.4%,14.6%,44.9%,60.0%,46.9%
1.18,1.6%,8.1%,66.9%,67.5%,43.9%
1.18,5.2%,17.2%,58.6%,76.5%,41.7%
1.01,9.1%,6.1%,59.1%,79.5%,44.4%
0.66,4.1%,2.7%,61.6%,66.7%,46.4%
1.53,6.3%,6.3%,69.8%,81.8%,42.1%
1.47,8.3%,2.1%,68.8%,75.8%,26.7%
0.63,2.0%,6.0%,74.0%,54.1%,30.8%
1.89,4.0%,10.0%,50.0%,80.0%,64.0%
1.30,5.2%,6.9%,55.2%,78.1%,57.7%
0.99,2.2%,13.0%,52.2%,75.0%,43.2%
0.58,5.9%,3.9%,51.0%,73.1%,48.0%
1.25,9.9%,9.9%,63.4%,82.2%,50.0%
0.70,3.3%,6.6%,47.5%,51.7%,43.8%
1.16,0.0%,6.2%,62.9%,75.4%,41.7%
0.30,0.0%,5.3%,68.4%,61.5%,16.7%
0.58,0.0%,11.5%,55.8%,55.2%,56.5%
0.97,2.2%,5.4%,65.6%,63.9%,50.0%
0.62,0.0%,0.0%,66.7%,50.0%,0.0%
0.84,0.0%,1.9%,73.6%,38.5%,46.4%
1.56,4.5%,6.8%,63.6%,78.6%,43.8%
1.27,3.9%,5.2%,70.1%,61.1%,52.2%
0.83,4.1%,6.8%,60.3%,65.9%,41.4%
0.64,2.6%,11.7%,42.9%,60.6%,52.3%
1.45,11.8%,4.4%,64.7%,79.5%,66.7%
0.90,0.0%,3.9%,68.4%,55.8%,58.3%
0.42,0.0%,4.8%,54.0%,64.7%,48.3%
