DR,A%,DF%,1stIn,1st%,2nd%
0.67,1.5%,4.6%,56.9%,59.5%,35.7%
2.55,5.9%,11.8%,58.8%,90.0%,50.0%
0.75,0.0%,1.5%,52.2%,51.4%,40.6%
0.81,6.2%,3.1%,50.8%,75.8%,40.6%
0.58,5.1%,1.7%,52.5%,61.3%,50.0%
0.88,4.1%,3.1%,65.3%,64.1%,55.9%
1.59,11.1%,1.9%,66.7%,77.8%,61.1%
1.34,1.4%,8.2%,49.3%,72.2%,51.4%
0.97,6.8%,0.0%,60.2%,69.8%,48.6%
1.11,6.7%,2.2%,66.3%,74.6%,56.7%
10.16,16.7%,0.0%,46.7%,100.0%,87.5%
0.73,1.5%,4.4%,55.9%,63.2%,43.3%
1.37,6.3%,3.1%,68.8%,75.0%,45.0%
0.98,4.2%,2.1%,52.1%,72.0%,52.2%
1.51,5.3%,3.5%,61.4%,68.6%,59.1%
1.22,10.4%,1.3%,55.8%,67.4%,52.9%
1.79,17.0%,1.9%,52.8%,85.7%,68.0%
1.10,13.9%,2.8%,68.1%,71.4%,60.9%
1.08,13.6%,0.0%,63.6%,69.6%,53.1%
1.39,11.7%,0.0%,65.0%,66.7%,61.9%
0.85,1.5%,0.0%,47.8%,46.9%,42.9%
1.03,2.0%,2.0%,57.4%,69.0%,48.8%
1.21,0.0%,8.5%,54.9%,59.0%,43.8%
1.41,5.6%,2.8%,63.9%,73.9%,65.4%
0.55,10.2%,3.4%,62.7%,67.6%,50.0%
1.73,5.9%,7.8%,54.9%,82.1%,43.5%
0.90,7.0%,2.3%,57.0%,71.4%,40.5%
0.49,6.1%,6.1%,45.5%,70.0%,41.7%
0.59,3.8%,3.8%,50.0%,73.1%,34.6%
3.42,18.2%,0.0%,63.6%,85.7%,87.5%
1.04,10.2%,3.1%,73.5%,72.2%,65.4%
1.10,18.1%,0.0%,69.4%,70.0%,59.1%
0.80,5.1%,2.6%,51.3%,65.0%,44.7%
1.20,3.8%,7.6%,54.4%,76.7%,47.2%
1.39,9.3%,3.7%,50.0%,85.2%,55.6%
0.59,15.6%,2.8%,56.0%,82.0%,47.9%
1.04,5.4%,2.2%,55.9%,71.2%,58.5%
0.75,1.7%,1.7%,59.3%,51.4%,54.2%
0.76,0.0%,0.0%,62.7%,61.5%,35.5%
0.86,7.3%,7.3%,58.2%,62.5%,47.8%
0.88,5.4%,3.2%,59.1%,63.6%,52.6%
0.92,1.0%,3.8%,54.3%,61.4%,60.4%
0.67,0.0%,2.9%,70.0%,57.1%,38.1%
0.98,1.1%,1.1%,56.5%,69.2%,52.5%
1.11,7.0%,6.0%,59.0%,74.6%,51.2%
1.05,4.4%,7.8%,64.4%,67.2%,53.1%
0.81,3.3%,2.2%,64.4%,56.9%,46.9%
0.85,5.1%,5.1%,53.2%,78.6%,51.4%
0.83,3.7%,4.6%,59.3%,60.9%,43.2%
0.99,3.4%,5.7%,54.0%,70.2%,55.0%
1.36,5.6%,1.9%,66.7%,63.9%,55.6%
1.00,5.2%,2.1%,62.9%,72.1%,47.2%
1.21,5.7%,3.8%,47.6%,72.0%,54.5%
0.56,14.8%,5.6%,61.1%,63.6%,33.3%
0.40,1.9%,7.4%,63.0%,67.6%,20.0%
0.85,3.4%,3.4%,63.6%,62.7%,51.2%
0.66,0.0%,3.2%,50.8%,62.5%,51.6%
0.83,8.2%,7.1%,56.5%,77.1%,37.8%
0.89,4.0%,4.0%,52.5%,57.7%,40.4%
1.15,4.1%,1.4%,60.7%,62.5%,42.1%
0.87,5.0%,6.7%,61.7%,56.8%,34.8%
0.57,2.0%,6.1%,59.2%,65.5%,40.0%
