DR,A%,DF%,1stIn,1st%,2nd%
1.25,6.6%,2.6%,63.2%,81.3%,67.9%
1.19,5.6%,4.5%,57.3%,74.5%,60.5%
0.58,7.1%,1.4%,57.1%,90.0%,46.7%
0.99,3.7%,11.1%,56.8%,82.6%,42.9%
1.28,26.2%,3.1%,56.9%,78.4%,53.6%
1.36,30.0%,10.0%,57.1%,82.5%,53.3%
0.77,6.1%,14.3%,63.3%,61.3%,16.7%
1.07,10.5%,6.3%,69.5%,80.3%,55.2%
0.80,6.8%,6.8%,55.4%,65.9%,48.5%
1.20,4.8%,6.7%,61.9%,70.8%,45.0%
1.19,2.3%,3.5%,60.5%,67.3%,58.8%
0.95,4.3%,10.8%,52.7%,75.5%,45.5%
1.06,1.1%,9.7%,48.4%,77.8%,52.1%
0.68,0.0%,4.1%,52.1%,55.3%,42.9%
0.52,3.9%,23.5%,51.0%,57.7%,24.0%
1.03,0.9%,7.3%,62.7%,72.5%,39.0%
1.04,4.6%,4.6%,65.7%,71.8%,54.1%
0.98,6.5%,7.8%,61.0%,76.6%,43.3%
1.01,9.1%,5.7%,53.4%,61.7%,48.8%
1.51,2.9%,8.6%,54.3%,47.4%,68.8%
0.61,3.5%,8.8%,63.2%,38.9%,33.3%
0.95,1.1%,6.7%,64.0%,71.9%,46.9%
2.17,2.4%,2.4%,51.2%,71.4%,75.0%
2.03,4.7%,4.7%,67.4%,79.3%,57.1%
1.10,7.0%,7.0%,56.3%,77.5%,41.9%
0.78,3.9%,7.8%,54.5%,81.0%,40.0%
0.91,4.3%,7.4%,60.6%,63.2%,43.2%
0.47,7.1%,10.1%,52.5%,75.0%,44.7%
1.13,7.5%,4.3%,61.5%,80.8%,51.6%
1.51,10.0%,5.0%,58.3%,80.0%,52.0%
1.16,10.5%,6.3%,54.7%,67.3%,48.8%
0.39,2.3%,9.3%,62.8%,66.7%,25.0%
0.70,7.7%,5.8%,71.2%,70.3%,33.3%
0.91,4.2%,0.0%,73.7%,73.6%,61.3%
1.14,3.8%,3.8%,65.0%,73.1%,53.6%
0.87,3.7%,4.6%,57.8%,65.1%,39.1%
2.17,2.3%,11.4%,63.6%,85.7%,56.3%
0.77,0.9%,3.5%,68.1%,63.6%,61.1%
1.06,1.2%,9.5%,47.6%,70.0%,50.0%
0.68,1.3%,3.8%,64.1%,56.0%,39.3%
1.57,2.1%,4.2%,56.3%,70.4%,61.9%
1.40,0.0%,5.0%,60.0%,72.2%,50.0%
0.87,4.4%,6.6%,58.2%,62.3%,44.7%
1.32,1.5%,4.6%,58.5%,73.7%,55.6%
1.08,1.7%,7.8%,62.6%,68.1%,44.2%
1.35,7.9%,7.9%,63.5%,75.0%,39.1%
0.58,9.5%,9.5%,59.5%,77.3%,50.0%
0.78,9.2%,0.0%,58.5%,68.4%,74.1%
1.45,8.1%,4.8%,51.6%,68.8%,66.7%
0.87,6.7%,6.7%,58.4%,73.1%,54.1%
1.12,9.8%,6.3%,55.4%,79.0%,58.0%
0.37,17.7%,4.8%,72.6%,73.3%,11.8%
0.88,5.5%,3.7%,63.3%,78.3%,42.5%
1.09,5.8%,1.9%,51.9%,68.5%,58.0%
1.08,20.6%,0.0%,64.7%,68.2%,50.0%
1.27,4.3%,1.1%,56.5%,76.9%,62.5%
1.62,5.4%,3.6%,58.9%,78.8%,56.5%
0.53,1.5%,10.6%,60.6%,67.5%,30.8%
1.61,7.5%,0.0%,66.0%,80.0%,61.1%
1.11,16.3%,4.7%,72.1%,82.3%,33.3%
0.94,8.1%,6.5%,56.5%,78.6%,57.4%
0.70,7.4%,9.3%,55.6%,60.0%,50.0%
0.93,17.2%,8.6%,46.2%,74.4%,56.0%
0.72,5.1%,5.1%,58.6%,74.1%,41.5%
1.17,4.4%,6.6%,58.2%,67.9%,52.6%
1.15,3.6%,2.4%,58.3%,61.2%,54.3%
0.92,4.3%,12.9%,52.9%,73.0%,54.5%
0.79,2.3%,9.3%,46.5%,62.5%,47.8%
1.29,10.6%,1.5%,65.2%,67.4%,65.2%
0.99,8.0%,4.6%,60.9%,62.3%,52.9%
1.14,2.2%,6.5%,58.7%,70.4%,47.4%
1.35,6.5%,6.5%,62.9%,71.8%,47.8%
6.55,0.0%,0.0%,77.8%,85.7%,100.0%
0.63,7.7%,4.6%,60.0%,66.7%,50.0%
1.08,4.7%,5.8%,54.7%,70.2%,46.2%
1.25,7.6%,6.1%,69.7%,76.1%,55.0%
1.30,4.8%,7.2%,55.4%,73.9%,62.2%
2.06,23.3%,9.3%,51.2%,90.9%,52.4%
0.80,6.3%,11.4%,41.8%,72.7%,50.0%
0.88,2.3%,8.5%,60.5%,59.0%,43.1%
0.53,5.4%,5.4%,64.1%,71.2%,33.3%
0.77,16.1%,8.1%,48.4%,66.7%,43.8%
0.94,5.3%,4.0%,54.7%,73.2%,35.3%
1.50,8.6%,8.6%,63.8%,81.1%,42.9%
0.81,5.4%,7.1%,62.5%,65.7%,35.7%
0.36,2.2%,4.4%,64.4%,51.7%,25.0%
1.73,3.6%,1.8%,65.5%,83.3%,63.2%
0.54,0.0%,1.9%,55.8%,48.3%,21.7%
1.15,1.4%,5.4%,60.8%,73.3%,58.6%
1.74,0.0%,1.9%,69.2%,80.6%,56.3%
0.71,8.3%,6.9%,66.7%,77.1%,41.7%
0.95,17.7%,3.1%,59.4%,73.7%,51.3%
1.19,12.6%,1.9%,60.2%,83.9%,65.9%
1.13,9.7%,5.4%,69.9%,63.1%,46.4%
0.59,5.7%,3.8%,49.1%,61.5%,44.4%
1.27,8.3%,3.6%,61.9%,63.5%,59.4%
0.51,9.8%,7.3%,61.0%,68.0%,25.0%
1.21,11.4%,8.6%,58.6%,80.5%,41.4%
1.17,18.0%,6.0%,58.0%,84.5%,61.9%
1.06,5.3%,2.6%,50.0%,63.2%,52.6%
1.32,8.9%,3.6%,71.4%,72.5%,75.0%
0.67,1.6%,1.6%,63.5%,47.5%,47.8%
1.10,1.2%,4.8%,71.4%,73.3%,45.8%
1.59,2.0%,5.9%,66.7%,73.5%,58.8%
1.31,9.8%,4.9%,75.4%,73.9%,40.0%
1.23,1.3%,6.5%,59.7%,78.3%,35.5%
0.90,3.2%,2.1%,66.0%,72.6%,53.1%
1.47,16.1%,3.2%,66.1%,78.0%,57.1%
0.70,4.9%,4.9%,68.9%,59.5%,57.9%
1.07,6.9%,3.4%,62.1%,77.8%,45.5%
1.23,6.9%,6.9%,57.5%,72.0%,56.8%
0.78,5.6%,4.5%,55.1%,71.4%,40.0%
1.23,10.6%,1.5%,80.3%,66.0%,38.5%
0.89,0.0%,8.1%,67.6%,58.0%,45.8%
1.09,2.1%,2.1%,84.5%,75.6%,60.0%
1.63,5.1%,5.1%,55.9%,90.9%,61.5%
0.62,7.6%,9.1%,53.0%,65.7%,35.5%
0.83,7.8%,11.2%,56.9%,71.2%,38.0%
0.65,6.3%,2.1%,70.8%,52.9%,42.9%
0.89,3.1%,1.6%,76.6%,65.3%,53.3%
1.09,0.0%,3.4%,55.7%,69.4%,48.7%
3.14,2.9%,5.9%,70.6%,83.3%,80.0%
0.88,5.7%,10.0%,54.3%,68.4%,43.8%
1.20,9.5%,8.4%,58.9%,82.1%,46.2%
1.13,8.8%,16.3%,48.8%,79.5%,41.5%
