DR,A%,DF%,1stIn,1st%,2nd%
0.58,5.3%,1.8%,50.9%,62.1%,39.3%
1.08,2.1%,3.1%,63.5%,78.7%,45.7%
1.58,4.1%,10.2%,38.8%,89.5%,50.0%
0.99,9.3%,4.0%,54.7%,61.0%,64.7%
0.70,0.0%,3.6%,57.1%,46.9%,41.7%
0.73,8.5%,6.8%,53.8%,65.1%,38.9%
1.41,8.0%,8.0%,56.0%,78.6%,45.5%
1.41,10.9%,6.3%,51.6%,72.7%,58.1%
1.20,6.3%,5.1%,65.8%,82.7%,59.3%
1.44,1.5%,6.2%,49.2%,71.9%,57.6%
0.59,0.0%,4.5%,49.4%,56.8%,44.4%
1.17,10.8%,4.2%,58.3%,71.4%,46.0%
1.69,2.5%,8.9%,57.0%,82.2%,47.1%
1.10,3.5%,2.8%,50.3%,70.8%,47.9%
0.75,2.9%,1.5%,51.5%,62.9%,51.5%
1.07,7.5%,6.6%,56.6%,70.0%,39.1%
0.32,1.6%,9.4%,57.8%,62.2%,44.4%
0.60,2.0%,2.0%,58.8%,70.0%,28.6%
1.21,2.7%,5.3%,57.3%,72.1%,68.8%
1.31,2.7%,8.2%,50.7%,78.4%,47.2%
0.67,0.0%,7.6%,58.2%,63.0%,45.5%
0.78,5.3%,3.5%,45.6%,65.4%,41.9%
1.44,5.6%,7.4%,55.6%,83.3%,58.3%
0.87,13.3%,3.6%,68.7%,71.9%,42.3%
1.30,6.3%,0.0%,68.4%,72.2%,76.0%
1.09,6.0%,3.6%,62.7%,67.3%,41.9%
0.99,2.6%,2.6%,60.5%,84.8%,56.7%
0.69,3.9%,1.3%,57.9%,68.2%,62.5%
1.25,5.5%,2.2%,59.3%,74.1%,48.6%
1.29,2.5%,4.9%,60.5%,81.6%,59.4%
1.22,7.1%,0.0%,61.6%,73.9%,53.5%
0.75,11.7%,5.0%,63.3%,76.3%,31.8%
1.60,10.7%,3.6%,51.8%,75.9%,81.5%
0.78,5.4%,5.4%,63.5%,70.2%,40.7%
1.25,3.6%,1.2%,61.4%,72.5%,68.8%
1.46,3.4%,1.7%,57.6%,79.4%,72.0%
0.42,1.4%,2.8%,52.8%,65.8%,38.2%
0.98,5.5%,0.0%,47.9%,82.9%,52.6%
0.83,2.6%,6.1%,57.0%,69.2%,44.9%
1.07,3.4%,2.6%,59.0%,66.7%,37.5%
0.80,0.0%,5.2%,49.4%,52.6%,48.7%
1.05,2.3%,2.3%,58.1%,70.0%,47.2%
1.47,0.0%,9.6%,61.5%,81.3%,60.0%
