DR,A%,DF%,1stIn,1st%,2nd%
1.30,14.1%,2.8%,50.7%,86.1%,51.4%
1.10,13.3%,3.8%,56.2%,74.6%,50.0%
1.11,12.1%,5.5%,56.0%,80.4%,50.0%
1.55,8.3%,8.3%,64.6%,71.0%,47.1%
1.15,16.2%,1.4%,52.7%,82.1%,54.3%
2.78,17.6%,0.0%,52.9%,100.0%,62.5%
2.66,18.5%,7.4%,63.0%,88.2%,60.0%
1.71,9.4%,1.9%,52.8%,82.1%,64.0%
1.34,14.0%,5.4%,55.9%,78.8%,63.4%
1.32,17.5%,12.7%,55.6%,82.9%,50.0%
2.07,9.6%,3.8%,50.0%,80.8%,76.9%
1.73,12.3%,3.5%,57.9%,84.8%,58.3%
2.14,17.0%,8.5%,51.1%,79.2%,73.9%
0.83,6.4%,3.2%,61.7%,63.8%,52.8%
1.31,12.7%,4.2%,54.9%,82.1%,56.3%
1.03,12.0%,3.7%,50.9%,67.3%,47.2%
1.60,14.6%,8.3%,56.3%,81.5%,57.1%
1.67,19.6%,3.9%,51.0%,92.3%,56.0%
0.91,11.8%,11.8%,35.3%,83.3%,45.5%
1.12,14.2%,3.8%,59.4%,68.3%,62.8%
3.16,33.3%,8.3%,61.1%,86.4%,78.6%
0.72,6.8%,2.7%,53.4%,59.0%,47.1%
1.40,12.9%,4.8%,61.3%,76.3%,58.3%
1.25,17.4%,2.2%,54.3%,88.0%,54.8%
0.57,14.8%,0.0%,64.8%,80.0%,52.6%
2.01,20.0%,8.9%,66.7%,83.3%,60.0%
1.08,16.3%,3.8%,56.3%,73.3%,54.3%
1.80,6.8%,4.5%,47.7%,76.2%,60.9%
0.93,14.3%,5.0%,55.5%,80.3%,60.4%
1.02,11.7%,6.5%,49.4%,73.7%,53.8%
1.39,15.7%,7.1%,57.1%,85.0%,60.0%
1.31,8.1%,5.4%,51.4%,78.9%,50.0%
0.73,12.7%,9.1%,61.8%,61.8%,38.1%
0.58,7.7%,3.8%,42.3%,90.9%,46.7%
1.20,17.1%,6.6%,51.3%,84.6%,40.5%
1.03,7.3%,9.1%,51.8%,70.2%,52.8%
0.94,8.1%,2.7%,56.8%,66.7%,62.5%
1.14,5.1%,3.8%,64.6%,78.4%,28.6%
0.63,10.0%,13.3%,53.3%,65.6%,39.3%
1.33,10.9%,9.4%,54.7%,65.7%,48.3%
1.10,11.8%,7.1%,48.2%,73.2%,50.0%
0.83,13.6%,5.7%,51.1%,71.1%,51.2%
1.95,13.3%,6.7%,62.2%,82.1%,52.9%
0.93,3.3%,3.3%,52.5%,71.9%,58.6%
1.45,14.3%,1.8%,55.4%,80.6%,48.0%
0.70,10.2%,4.1%,49.0%,75.0%,40.0%
0.85,6.0%,4.0%,56.0%,69.6%,40.9%
0.79,12.0%,6.0%,51.8%,65.1%,47.5%
1.02,11.0%,4.9%,54.9%,73.3%,45.9%
1.52,13.6%,4.9%,53.1%,86.0%,57.9%
1.45,10.3%,10.3%,55.2%,84.4%,57.7%
1.31,13.7%,5.5%,53.4%,82.1%,55.9%
1.44,10.6%,1.5%,66.7%,77.3%,72.7%
0.67,9.8%,2.7%,56.3%,76.2%,49.0%
1.48,31.0%,1.0%,64.0%,87.5%,63.9%
0.73,3.4%,4.5%,53.4%,76.6%,53.7%
1.20,16.9%,3.4%,50.8%,93.3%,51.7%
0.80,9.7%,0.0%,59.7%,70.3%,52.0%
1.00,7.4%,4.3%,61.7%,75.9%,55.6%
0.86,16.2%,8.8%,58.8%,62.5%,46.4%
1.17,11.8%,4.3%,53.8%,76.0%,44.2%
0.81,5.0%,0.0%,66.7%,57.5%,45.0%
1.55,12.9%,3.2%,56.5%,71.4%,66.7%
0.87,7.0%,7.0%,62.8%,70.4%,50.0%
1.27,15.9%,4.3%,52.2%,75.0%,57.6%
1.11,5.3%,4.5%,54.1%,65.3%,55.7%
1.72,14.3%,6.1%,61.2%,83.3%,63.2%
0.89,7.1%,1.4%,51.4%,77.8%,58.8%
1.51,8.0%,12.0%,54.0%,66.7%,52.2%
2.51,14.3%,2.4%,47.6%,80.0%,77.3%
1.42,3.9%,2.6%,55.3%,71.4%,58.8%
0.84,7.9%,3.4%,50.6%,75.6%,50.0%
0.57,12.3%,7.0%,57.9%,72.7%,54.2%
1.12,8.0%,9.2%,55.2%,75.0%,43.6%
0.82,8.4%,7.4%,53.7%,64.7%,47.7%
0.31,0.0%,25.0%,45.0%,44.4%,27.3%
0.64,1.6%,11.1%,39.7%,72.0%,39.5%
1.31,6.7%,8.0%,57.3%,79.1%,50.0%
0.77,10.3%,7.4%,42.6%,72.4%,51.3%
1.12,17.3%,9.3%,56.0%,76.2%,51.5%
0.63,11.9%,4.8%,63.1%,66.0%,45.2%
1.03,12.0%,5.1%,53.0%,83.9%,41.8%
1.11,8.2%,6.4%,47.3%,67.3%,48.3%
0.96,8.9%,4.1%,56.9%,77.1%,47.2%
0.73,4.1%,4.1%,55.1%,55.6%,31.8%
1.01,7.7%,4.4%,57.1%,73.1%,41.0%
2.32,7.7%,5.1%,59.0%,78.3%,68.8%
1.32,10.6%,4.5%,54.5%,83.3%,46.7%
0.84,7.6%,3.4%,54.2%,70.3%,37.0%
1.23,3.2%,2.1%,54.3%,70.6%,65.1%
0.48,6.4%,4.3%,76.6%,50.0%,36.4%
1.07,4.1%,6.8%,57.5%,73.8%,41.9%
1.35,13.6%,5.1%,57.6%,76.5%,52.0%
0.36,2.0%,7.8%,60.8%,51.6%,25.0%
0.85,6.7%,8.9%,64.4%,58.6%,40.6%
1.26,14.5%,4.8%,51.8%,74.4%,50.0%
1.34,4.2%,5.6%,62.0%,79.5%,51.9%
1.66,22.2%,1.9%,48.1%,76.9%,64.3%
0.42,3.8%,5.8%,51.9%,51.9%,36.0%
0.62,7.8%,7.8%,49.0%,68.0%,38.5%
0.78,8.0%,2.0%,52.0%,73.1%,45.8%
1.88,14.3%,4.1%,46.9%,73.9%,73.1%
1.05,8.0%,4.5%,50.0%,82.1%,41.1%
0.79,11.1%,4.2%,50.0%,77.8%,41.7%
2.14,31.3%,0.0%,60.4%,96.6%,63.2%
1.27,6.8%,2.7%,62.2%,80.4%,39.3%
1.81,15.4%,3.8%,55.8%,82.8%,69.6%
1.55,6.3%,4.8%,55.6%,91.4%,53.6%
1.22,9.6%,4.1%,52.1%,78.9%,51.4%
0.51,16.4%,8.2%,54.8%,87.5%,39.4%
1.88,24.5%,2.0%,71.4%,77.1%,71.4%
1.17,10.1%,6.7%,56.2%,68.0%,48.7%
0.71,5.4%,8.7%,56.5%,61.5%,50.0%
1.48,7.7%,0.0%,57.7%,70.0%,54.5%
1.14,2.6%,3.8%,66.7%,76.9%,57.7%
1.60,10.4%,6.0%,49.3%,90.9%,61.8%
1.41,10.6%,3.0%,54.5%,72.2%,66.7%
2.22,13.5%,2.7%,54.1%,95.0%,52.9%
1.29,7.5%,7.5%,70.0%,67.9%,58.3%
1.91,22.0%,4.9%,48.8%,90.0%,52.4%
1.58,9.1%,2.3%,59.1%,80.8%,44.4%
1.20,8.8%,7.0%,63.2%,83.3%,42.9%
0.67,9.4%,9.4%,52.8%,64.3%,48.0%
1.22,8.5%,9.9%,63.4%,64.4%,53.8%
0.69,8.5%,5.1%,59.3%,54.3%,45.8%
1.28,9.7%,3.2%,61.3%,78.9%,54.2%
0.78,5.6%,12.0%,44.4%,68.8%,36.7%
1.00,4.7%,5.7%,67.9%,65.3%,50.0%
0.75,10.8%,4.8%,56.6%,72.3%,47.2%
1.08,7.8%,9.7%,55.3%,77.2%,39.1%
0.74,16.9%,8.4%,53.0%,65.9%,35.9%
1.85,9.3%,4.7%,44.2%,68.4%,62.5%
0.62,11.8%,15.8%,51.3%,66.7%,32.4%
0.66,8.2%,6.6%,60.7%,59.5%,41.7%
0.77,2.8%,7.0%,62.0%,68.2%,33.3%
0.56,10.2%,12.2%,49.0%,58.3%,44.0%
1.54,17.6%,5.5%,60.4%,78.2%,44.4%
0.42,0.0%,9.1%,47.7%,47.6%,21.7%
1.87,16.7%,10.4%,45.8%,86.4%,73.1%
2.25,7.5%,5.0%,47.5%,63.2%,71.4%
1.00,12.3%,5.3%,61.4%,74.3%,47.7%
1.11,8.7%,0.0%,62.3%,65.1%,53.8%
1.29,8.3%,1.2%,65.5%,69.1%,62.1%
0.70,10.8%,1.5%,60.0%,64.1%,53.8%
0.53,2.3%,4.7%,67.4%,55.2%,21.4%
1.04,5.3%,5.3%,56.1%,70.3%,42.0%
0.74,3.3%,4.9%,57.4%,68.6%,34.6%
0.59,2.3%,18.2%,52.3%,65.2%,28.6%
0.94,4.9%,4.9%,54.9%,66.7%,51.4%
1.30,7.8%,5.2%,55.8%,69.8%,58.8%
0.78,10.1%,10.1%,58.0%,72.5%,48.3%
1.31,13.2%,9.4%,56.6%,76.7%,56.5%
4.17,26.5%,2.9%,67.6%,87.0%,81.8%
