DR,A%,DF%,1stIn,1st%,2nd%
0.59,9.8%,0.0%,53.7%,68.2%,52.6%
1.10,5.6%,1.4%,60.6%,69.8%,57.1%
1.79,1.7%,1.7%,66.1%,74.4%,75.0%
1.07,9.5%,9.5%,55.8%,71.7%,40.5%
0.88,2.2%,2.2%,62.4%,63.8%,54.3%
1.02,6.9%,4.2%,73.6%,75.5%,52.6%
0.89,5.3%,5.3%,55.8%,64.2%,54.8%
0.62,3.7%,5.6%,59.3%,67.2%,54.5%
1.17,1.3%,1.3%,53.8%,61.9%,72.2%
1.22,6.8%,8.1%,56.8%,81.0%,59.4%
0.67,1.1%,5.6%,61.1%,60.0%,42.9%
0.93,3.5%,0.9%,54.4%,61.3%,38.5%
1.47,6.9%,1.7%,53.4%,80.6%,55.6%
0.96,0.9%,1.9%,64.8%,57.1%,34.2%
0.55,2.3%,9.3%,60.5%,57.7%,41.2%
0.88,3.2%,2.2%,60.2%,48.2%,45.9%
0.39,2.0%,0.0%,54.0%,70.4%,21.7%
0.64,2.8%,0.9%,55.1%,61.0%,43.8%
1.12,3.2%,1.1%,61.7%,70.7%,44.4%
0.65,1.4%,4.3%,52.9%,56.8%,39.4%
1.10,8.2%,4.1%,63.0%,80.4%,48.1%
1.08,3.4%,1.1%,55.1%,71.4%,62.5%
1.25,12.1%,0.0%,65.2%,76.7%,60.9%
1.12,12.9%,4.3%,58.6%,70.7%,55.2%
0.59,1.4%,2.8%,52.8%,71.1%,61.8%
1.16,3.2%,1.1%,63.4%,64.4%,47.1%
1.08,2.9%,1.9%,61.0%,60.9%,73.2%
0.91,2.2%,4.4%,46.7%,69.0%,50.0%
0.74,10.0%,1.3%,62.5%,74.0%,50.0%
0.89,3.9%,5.3%,61.8%,74.5%,34.5%
1.19,11.8%,1.3%,59.2%,82.2%,45.2%
0.93,7.8%,2.9%,58.8%,71.7%,54.8%
0.62,8.5%,0.0%,74.5%,65.7%,33.3%
1.41,13.9%,1.4%,63.9%,82.6%,50.0%
2.14,22.8%,0.0%,68.4%,92.3%,55.6%
0.82,1.6%,2.4%,67.5%,61.4%,47.5%
1.56,11.8%,3.4%,63.9%,92.1%,55.8%
0.88,9.9%,2.8%,57.7%,65.9%,53.3%
1.06,8.7%,1.0%,60.6%,81.0%,51.2%
1.96,13.6%,0.0%,68.2%,76.7%,50.0%
1.03,7.4%,2.9%,60.3%,75.6%,66.7%
1.03,4.7%,1.9%,67.9%,62.5%,44.1%
1.08,7.5%,3.0%,62.7%,76.2%,56.0%
0.47,0.0%,7.5%,62.5%,44.0%,46.7%
1.36,1.3%,2.6%,64.5%,73.5%,59.3%
1.25,1.7%,0.0%,65.0%,66.7%,76.2%
0.94,10.0%,1.7%,63.3%,71.1%,63.6%
0.70,3.0%,4.5%,59.7%,45.0%,33.3%
0.75,6.9%,4.6%,47.1%,58.5%,58.7%
1.65,4.8%,3.2%,57.1%,83.3%,70.4%
1.93,4.4%,0.0%,57.8%,80.8%,68.4%
1.47,7.9%,3.2%,73.0%,76.1%,76.5%
1.46,14.5%,3.6%,50.9%,82.1%,59.3%
1.59,10.9%,1.8%,54.5%,86.7%,52.0%
0.96,5.5%,2.1%,57.2%,74.7%,54.8%
0.72,0.0%,6.0%,53.7%,55.6%,58.1%
1.02,7.2%,2.9%,55.1%,71.1%,58.1%
1.66,10.4%,0.0%,68.8%,78.8%,66.7%
0.94,2.7%,5.4%,56.8%,57.1%,50.0%
1.40,15.3%,1.4%,55.6%,82.5%,53.1%
0.97,5.2%,1.3%,62.3%,75.0%,44.8%
2.17,6.7%,0.0%,62.2%,89.3%,64.7%
0.85,5.7%,0.0%,67.1%,68.1%,39.1%
1.33,8.6%,3.4%,53.4%,71.0%,70.4%
1.92,13.1%,1.6%,67.2%,82.9%,80.0%
0.66,5.9%,2.0%,62.7%,75.0%,31.6%
1.08,10.6%,2.4%,63.5%,64.8%,48.4%
1.00,4.7%,9.4%,61.2%,69.2%,42.4%
0.66,0.0%,2.0%,63.6%,55.6%,50.0%
0.96,7.8%,3.6%,57.5%,74.8%,53.7%
0.75,6.1%,8.2%,55.1%,74.1%,54.5%
0.81,0.0%,3.3%,62.2%,60.7%,41.2%
1.41,13.8%,1.1%,64.4%,83.9%,58.1%
1.44,5.3%,0.0%,63.2%,61.1%,66.7%
1.89,23.0%,0.0%,73.0%,87.0%,65.0%
0.88,4.0%,4.0%,60.0%,68.9%,36.7%
0.69,2.3%,3.4%,76.1%,50.7%,52.4%
0.72,4.1%,1.4%,58.1%,62.8%,45.2%
1.03,1.1%,6.5%,45.7%,57.1%,58.0%
0.80,0.0%,4.9%,59.0%,50.0%,48.0%
0.71,2.9%,4.3%,47.1%,63.6%,37.8%
0.95,6.4%,1.3%,64.1%,68.0%,60.7%
0.82,0.0%,9.1%,50.5%,64.0%,38.8%
0.71,5.8%,1.4%,58.0%,67.5%,55.2%
0.76,5.9%,8.8%,57.4%,64.1%,41.4%
1.43,7.3%,1.2%,63.4%,73.1%,66.7%
0.65,2.9%,4.3%,61.4%,67.4%,33.3%
0.81,7.2%,4.8%,62.7%,73.1%,61.3%
1.10,7.3%,2.4%,57.3%,68.1%,51.4%
1.61,8.0%,2.0%,68.0%,73.5%,56.3%
0.33,11.1%,0.0%,60.0%,74.1%,55.6%
2.29,31.0%,4.8%,61.9%,96.2%,50.0%
1.33,16.8%,1.1%,62.1%,84.7%,63.9%
0.41,0.0%,13.9%,38.9%,57.1%,13.6%
1.28,10.0%,3.3%,60.0%,69.4%,50.0%
2.68,19.0%,0.0%,59.5%,88.0%,82.4%
0.63,6.7%,3.8%,52.9%,72.7%,46.9%
1.14,7.1%,1.3%,60.0%,71.0%,61.3%
1.42,6.7%,0.0%,66.3%,71.2%,56.7%
1.17,14.0%,2.3%,61.2%,69.6%,48.0%
0.62,3.3%,3.3%,66.7%,65.0%,45.0%
0.54,0.0%,4.2%,62.0%,63.6%,40.7%
0.71,3.4%,1.1%,80.7%,54.9%,64.7%
1.13,0.0%,2.9%,62.1%,78.1%,43.6%
0.40,1.9%,5.7%,52.8%,60.7%,32.0%
0.94,1.1%,4.3%,51.1%,66.0%,53.3%
1.55,6.1%,0.0%,57.1%,82.1%,42.9%
0.35,3.6%,10.7%,51.2%,72.1%,34.1%
0.78,2.9%,5.7%,48.6%,70.6%,38.9%
1.10,8.4%,1.9%,67.3%,72.2%,54.3%
0.96,7.4%,3.2%,65.3%,67.7%,42.4%
0.63,2.1%,2.1%,52.1%,68.0%,43.5%
0.58,4.2%,2.1%,45.8%,72.7%,46.2%
0.62,5.3%,1.8%,58.4%,69.7%,48.9%
1.12,5.5%,2.7%,56.2%,75.6%,51.6%
0.86,3.8%,4.6%,63.8%,75.9%,42.6%
0.56,5.7%,9.4%,60.4%,81.3%,33.3%
1.03,6.6%,1.3%,57.9%,81.8%,62.5%
0.70,11.1%,5.6%,50.0%,66.7%,55.6%
1.15,10.8%,2.7%,68.9%,78.4%,60.9%
0.62,9.9%,2.8%,70.4%,70.0%,47.6%
2.15,17.6%,2.0%,58.8%,90.0%,66.7%
0.60,7.0%,4.7%,69.8%,70.0%,30.8%
0.77,5.2%,2.6%,49.7%,72.4%,46.8%
0.67,0.0%,7.4%,55.9%,52.6%,46.7%
0.79,4.3%,3.3%,58.7%,74.1%,50.0%
0.82,6.7%,6.7%,58.9%,60.4%,48.6%
0.46,1.7%,1.7%,55.2%,43.8%,53.8%
0.79,3.8%,1.9%,67.9%,61.1%,58.8%
0.52,4.5%,6.0%,50.7%,61.8%,48.5%
0.56,10.4%,2.1%,68.8%,57.6%,60.0%
1.15,10.6%,3.0%,54.5%,72.2%,53.3%
0.74,2.3%,7.0%,48.8%,76.2%,36.4%
0.87,1.3%,0.0%,63.6%,57.1%,53.6%
0.78,0.0%,2.9%,64.7%,59.1%,58.3%
1.44,6.0%,1.5%,64.2%,79.1%,54.2%
0.53,5.0%,3.8%,51.2%,61.0%,48.7%
1.70,13.3%,2.7%,65.3%,81.6%,50.0%
1.44,4.3%,1.1%,48.9%,84.8%,56.3%
0.77,5.1%,6.8%,59.3%,71.4%,37.5%
1.30,0.0%,3.1%,50.8%,63.6%,59.4%
0.75,1.6%,4.8%,50.0%,54.8%,45.2%
0.99,1.9%,0.0%,73.1%,71.1%,57.1%
1.14,9.9%,1.4%,64.8%,71.7%,52.0%
1.16,6.5%,1.3%,58.4%,77.8%,56.3%
1.09,10.9%,5.4%,57.6%,73.6%,53.8%
0.82,6.6%,5.1%,56.2%,77.9%,41.7%
1.28,8.5%,2.8%,60.4%,82.8%,40.5%
2.34,9.3%,0.0%,63.0%,85.3%,85.0%
0.75,0.0%,1.6%,56.5%,74.3%,33.3%
1.33,1.6%,3.1%,54.7%,68.6%,62.1%
1.33,2.6%,6.5%,55.8%,69.8%,47.1%
2.80,17.1%,0.0%,62.9%,72.7%,92.3%
0.77,4.5%,5.4%,56.8%,73.0%,43.8%
1.76,10.0%,2.0%,62.0%,90.3%,47.4%
1.38,5.5%,1.8%,69.1%,73.7%,47.1%
0.86,6.8%,4.1%,48.6%,69.4%,36.8%
0.62,2.1%,6.4%,53.2%,64.0%,36.4%
0.66,1.4%,4.1%,64.4%,46.8%,50.0%
0.50,1.4%,7.1%,41.4%,69.0%,53.7%
0.74,3.3%,1.7%,62.0%,62.7%,50.0%
1.29,13.0%,1.0%,62.0%,77.4%,47.4%
1.16,1.0%,2.0%,66.7%,65.2%,54.5%
0.97,4.7%,4.7%,50.9%,70.4%,51.9%
1.82,16.3%,6.1%,57.1%,89.3%,47.6%
2.04,14.0%,4.0%,60.0%,83.3%,70.0%
1.92,7.5%,5.0%,47.5%,73.7%,66.7%
1.74,8.9%,11.1%,44.4%,90.0%,52.0%
1.55,4.9%,3.3%,55.7%,73.5%,66.7%
0.96,4.0%,3.0%,62.6%,66.1%,48.6%
1.18,11.8%,10.5%,47.4%,69.4%,45.0%
1.02,8.2%,6.8%,49.3%,72.2%,54.1%
0.80,10.1%,1.7%,59.7%,73.2%,45.8%
0.82,2.3%,1.2%,58.1%,66.0%,41.7%
1.63,14.1%,3.5%,62.4%,77.4%,62.5%
0.71,5.8%,3.5%,57.0%,57.1%,51.4%
1.03,7.1%,4.7%,47.1%,70.0%,57.8%
0.86,2.1%,4.2%,58.3%,60.7%,60.0%
0.60,17.1%,1.3%,75.0%,71.9%,31.6%
2.20,20.5%,0.0%,56.8%,88.0%,68.4%
0.77,12.3%,1.5%,56.9%,70.3%,46.4%
0.50,5.0%,2.5%,45.0%,55.6%,40.9%
1.90,10.0%,2.0%,56.0%,82.1%,77.3%
1.79,14.8%,1.9%,59.3%,93.8%,50.0%
1.29,12.9%,1.6%,58.1%,75.0%,50.0%
1.59,5.2%,3.4%,56.9%,75.8%,56.0%
0.66,12.3%,9.2%,55.4%,72.2%,41.4%
1.01,7.5%,1.3%,68.8%,74.5%,56.0%
0.59,2.2%,3.4%,76.4%,64.7%,47.6%
1.83,13.8%,1.5%,55.4%,83.3%,62.1%
1.75,6.0%,0.0%,62.0%,83.9%,52.6%
1.05,3.1%,1.6%,68.8%,63.6%,50.0%
1.46,10.3%,0.0%,69.1%,78.7%,66.7%
0.51,1.8%,7.1%,53.6%,66.7%,26.9%
1.27,4.8%,4.8%,61.3%,78.9%,54.2%
0.95,9.7%,3.2%,47.6%,76.3%,44.6%
