DR,A%,DF%,1stIn,1st%,2nd%
1.71,13.6%,6.8%,56.8%,88.0%,52.6%
0.82,2.9%,8.7%,53.6%,78.4%,43.8%
0.58,8.9%,5.4%,71.4%,57.5%,31.3%
0.72,5.0%,2.5%,67.5%,64.8%,34.6%
1.34,2.4%,2.4%,65.5%,69.1%,51.7%
1.19,1.0%,1.0%,71.3%,63.9%,72.4%
1.31,0.0%,0.0%,60.9%,64.1%,68.0%
1.00,3.0%,4.5%,70.1%,66.0%,45.0%
0.77,3.0%,6.0%,58.2%,71.8%,53.6%
1.11,1.0%,2.1%,68.8%,68.2%,53.3%
0.73,1.0%,5.2%,58.3%,58.9%,40.0%
0.87,0.0%,3.5%,50.9%,55.2%,53.6%
2.13,0.0%,8.1%,51.4%,78.9%,61.1%
1.16,1.6%,3.2%,51.6%,84.4%,50.0%
0.81,0.0%,2.4%,50.6%,52.4%,53.7%
1.23,1.1%,1.1%,61.5%,71.4%,54.3%
1.41,5.4%,7.1%,57.1%,75.0%,58.3%
0.90,2.2%,5.6%,50.0%,57.8%,35.6%
0.89,2.6%,5.1%,52.6%,73.2%,32.4%
1.13,1.3%,6.3%,53.8%,62.8%,54.1%
0.96,1.7%,2.6%,54.7%,65.6%,39.6%
1.03,3.7%,7.3%,50.0%,68.3%,39.0%
0.88,2.1%,8.3%,43.8%,66.7%,51.9%
0.83,1.4%,2.7%,63.5%,57.4%,33.3%
1.24,3.4%,5.1%,67.8%,62.5%,63.2%
1.48,0.0%,0.0%,58.0%,75.9%,71.4%
1.27,3.1%,5.2%,62.5%,73.3%,55.6%
1.45,5.2%,6.9%,51.7%,73.3%,50.0%
1.28,4.7%,1.6%,48.4%,67.7%,54.5%
1.35,5.3%,5.3%,45.6%,57.7%,64.5%
0.56,0.0%,16.4%,49.1%,66.7%,21.4%
0.62,3.8%,3.8%,62.3%,57.6%,25.0%
0.89,1.9%,1.9%,45.6%,59.6%,53.6%
1.11,0.0%,4.1%,56.1%,63.6%,55.8%
0.34,0.0%,7.5%,57.5%,47.8%,35.3%
1.34,7.8%,5.9%,51.0%,57.7%,60.0%
1.02,7.5%,7.5%,64.2%,66.2%,47.4%
1.10,2.2%,4.3%,54.3%,66.0%,47.6%
1.19,4.5%,4.5%,50.0%,72.7%,51.5%
0.82,4.8%,8.4%,54.2%,68.9%,31.6%
0.75,0.0%,6.1%,73.5%,55.6%,46.2%
2.10,0.0%,0.0%,68.2%,76.7%,64.3%
1.43,0.0%,2.0%,62.0%,67.7%,63.2%
0.94,0.0%,3.3%,59.0%,66.7%,44.0%
1.15,0.0%,1.1%,64.8%,64.9%,54.8%
1.25,3.0%,6.1%,72.7%,60.4%,44.4%
1.72,2.2%,4.4%,62.2%,82.1%,58.8%
0.58,5.9%,2.0%,62.7%,56.3%,42.1%
0.91,2.7%,4.5%,65.2%,71.2%,41.0%
1.57,13.6%,1.7%,69.5%,80.5%,66.7%
0.89,4.2%,5.2%,56.3%,64.8%,40.5%
0.96,1.0%,4.0%,63.6%,66.7%,44.4%
