DR,A%,DF%,1stIn,1st%,2nd%
0.92,5.2%,1.0%,76.0%,60.3%,69.6%
1.01,1.1%,3.4%,70.5%,58.1%,53.8%
0.93,1.3%,1.3%,74.7%,55.9%,40.0%
1.10,0.0%,0.9%,74.8%,57.0%,58.6%
1.31,3.5%,1.8%,68.4%,64.1%,50.0%
0.51,0.0%,7.7%,64.6%,52.4%,43.5%
0.63,2.0%,0.0%,74.0%,48.6%,46.2%
1.37,1.5%,0.0%,90.9%,61.7%,66.7%
1.46,1.7%,0.0%,84.5%,71.4%,55.6%
1.50,0.0%,3.5%,78.9%,75.6%,50.0%
1.71,6.5%,0.0%,71.7%,75.8%,61.5%
1.16,0.0%,6.6%,63.9%,76.9%,40.9%
0.88,2.4%,2.4%,69.0%,44.8%,38.5%
1.08,0.0%,0.0%,84.8%,63.2%,52.6%
0.92,1.0%,3.8%,62.5%,67.7%,59.0%
1.73,3.9%,2.0%,74.5%,81.6%,46.2%
1.95,4.8%,0.0%,61.9%,73.1%,68.8%
0.97,2.4%,2.4%,72.3%,63.3%,39.1%
1.01,0.0%,0.8%,73.4%,57.1%,54.5%
2.20,2.5%,2.5%,62.5%,80.0%,66.7%
0.91,4.0%,4.0%,69.3%,61.5%,47.8%
0.44,2.4%,6.0%,61.4%,66.7%,37.5%
0.49,1.8%,3.5%,80.7%,60.9%,36.4%
0.92,0.0%,1.6%,73.8%,62.2%,50.0%
1.02,1.6%,1.6%,76.2%,62.5%,40.0%
1.16,2.7%,1.4%,68.5%,62.0%,47.8%
1.08,1.2%,1.2%,77.6%,68.2%,31.6%
1.58,6.4%,2.1%,74.5%,80.0%,50.0%
0.77,2.4%,3.7%,64.6%,62.3%,44.8%
0.68,0.0%,3.3%,63.3%,68.4%,36.4%
1.08,2.2%,2.2%,70.8%,68.3%,53.8%
0.99,4.4%,1.8%,62.8%,73.2%,42.9%
0.84,1.3%,3.8%,75.9%,60.0%,31.6%
0.70,2.8%,5.6%,63.9%,75.4%,43.6%
0.34,0.0%,2.6%,81.6%,35.5%,28.6%
0.65,2.7%,0.9%,73.0%,61.7%,50.0%
0.67,1.9%,1.9%,79.2%,57.1%,54.5%
0.50,1.5%,4.6%,63.1%,61.0%,50.0%
2.23,2.3%,2.3%,62.8%,85.2%,62.5%
0.46,0.0%,7.2%,58.0%,65.0%,34.5%
0.29,1.7%,3.4%,59.3%,54.3%,37.5%
1.18,1.1%,0.0%,80.5%,70.0%,41.2%
1.28,0.0%,1.8%,86.0%,57.1%,50.0%
1.09,0.0%,0.0%,73.1%,63.2%,68.6%
1.06,0.0%,1.0%,81.4%,65.1%,52.6%
1.34,1.3%,0.0%,58.8%,72.3%,66.7%
0.78,2.9%,1.4%,64.3%,62.2%,56.0%
1.04,6.7%,0.0%,65.3%,65.3%,46.2%
2.27,4.9%,0.0%,70.7%,89.7%,33.3%
0.75,1.0%,0.0%,75.5%,56.8%,45.8%
0.88,0.0%,0.0%,72.6%,62.2%,41.2%
1.25,1.0%,0.0%,80.4%,64.1%,57.9%
1.11,4.7%,6.3%,68.8%,77.3%,50.0%
1.45,5.3%,0.0%,59.6%,79.4%,65.2%
1.43,2.7%,1.4%,79.5%,70.7%,66.7%
1.14,3.2%,2.1%,61.1%,75.9%,54.1%
0.49,0.0%,3.8%,65.4%,50.0%,27.8%
1.29,3.0%,4.5%,77.3%,72.5%,46.7%
1.26,0.0%,2.1%,66.0%,64.5%,53.1%
1.69,10.0%,4.0%,70.0%,74.3%,46.7%
0.64,1.1%,4.5%,70.5%,54.8%,42.3%
0.69,4.2%,6.3%,66.7%,51.6%,46.9%
0.32,0.0%,1.7%,73.3%,50.0%,50.0%
0.84,0.0%,3.1%,68.8%,65.9%,50.0%
0.92,2.4%,0.0%,77.0%,61.9%,55.2%
1.70,2.5%,0.0%,81.0%,76.6%,66.7%
0.60,0.0%,2.0%,63.3%,61.3%,44.4%
1.12,0.0%,0.0%,77.4%,68.8%,42.9%
0.83,3.1%,0.8%,75.2%,59.8%,56.3%
1.63,5.3%,0.0%,73.7%,73.8%,53.3%
1.92,2.0%,0.0%,67.3%,84.8%,43.8%
0.91,0.0%,1.4%,83.8%,46.8%,58.3%
1.45,3.6%,3.6%,76.8%,69.8%,53.8%
2.09,2.1%,0.0%,70.2%,75.8%,57.1%
1.20,0.0%,3.1%,73.4%,74.5%,41.2%
0.74,3.7%,5.6%,66.7%,61.1%,50.0%
1.34,1.4%,2.8%,73.6%,67.9%,57.9%
1.42,0.0%,1.8%,66.7%,76.3%,47.4%
1.93,2.0%,2.0%,69.4%,76.5%,66.7%
0.72,0.0%,1.4%,79.2%,59.6%,53.3%
1.05,0.0%,1.6%,67.2%,59.8%,40.0%
1.23,2.2%,4.4%,59.3%,70.4%,45.9%
0.95,0.0%,4.6%,62.1%,72.2%,39.4%
0.72,1.8%,0.0%,75.0%,33.3%,57.1%
1.73,8.7%,2.2%,63.0%,72.4%,52.9%
1.87,2.3%,2.3%,60.5%,61.5%,70.6%
2.95,8.0%,0.0%,60.0%,86.7%,70.0%
3.67,8.8%,0.0%,73.5%,84.0%,77.8%
1.28,7.2%,3.6%,66.3%,74.5%,57.1%
1.11,5.0%,3.0%,65.0%,66.2%,45.7%
1.33,4.9%,1.6%,72.1%,72.7%,58.8%
1.21,3.0%,3.0%,71.6%,66.7%,68.4%
0.96,3.6%,0.9%,78.2%,64.0%,50.0%
0.41,0.0%,0.0%,70.8%,52.9%,28.6%
1.49,1.8%,1.8%,76.8%,76.7%,76.9%
0.47,4.9%,1.6%,68.9%,59.5%,52.6%
1.84,4.4%,2.2%,68.9%,77.4%,50.0%
0.95,0.0%,1.3%,76.3%,65.6%,47.4%
1.33,6.3%,4.7%,64.1%,80.5%,47.8%
2.24,4.0%,6.0%,68.0%,88.2%,62.5%
0.60,4.7%,3.1%,70.3%,75.6%,31.6%
1.00,1.2%,0.0%,78.8%,62.7%,44.4%
1.49,0.0%,1.8%,70.9%,71.8%,50.0%
1.02,2.4%,0.0%,84.0%,63.8%,60.0%
1.19,0.0%,0.0%,89.2%,63.8%,28.6%
1.02,1.8%,2.6%,83.3%,52.6%,52.6%
1.46,0.0%,0.0%,81.4%,68.8%,45.5%
1.91,2.2%,0.0%,78.3%,69.4%,60.0%
1.94,6.1%,0.0%,78.8%,69.2%,57.1%
0.69,1.8%,3.5%,84.2%,52.1%,11.1%
0.87,0.0%,0.0%,89.3%,53.3%,54.5%
1.09,0.0%,1.2%,82.1%,56.5%,46.7%
1.54,0.0%,0.0%,78.1%,66.0%,50.0%
1.49,3.2%,3.2%,82.5%,73.1%,54.5%
1.17,2.7%,1.3%,73.3%,76.4%,70.0%
1.45,1.3%,1.3%,78.5%,69.4%,70.6%
1.28,1.6%,1.6%,78.1%,74.0%,71.4%
0.87,0.0%,1.6%,83.6%,62.7%,30.0%
1.13,0.0%,1.2%,74.1%,70.0%,47.6%
3.29,0.0%,0.0%,50.0%,88.2%,76.5%
0.95,0.8%,0.8%,73.8%,59.4%,38.2%
1.16,3.1%,3.1%,75.0%,62.5%,43.8%
1.16,1.0%,2.0%,76.5%,55.1%,62.5%
1.29,0.0%,1.6%,75.8%,61.7%,53.3%
0.37,2.7%,5.4%,86.5%,34.4%,60.0%
1.61,8.2%,0.0%,81.6%,80.0%,55.6%
1.22,1.9%,0.0%,76.0%,74.7%,44.0%
2.93,0.0%,0.0%,71.4%,88.0%,60.0%
1.04,0.0%,1.5%,76.9%,60.0%,60.0%
1.07,0.0%,1.0%,84.8%,57.3%,68.8%
0.97,0.0%,0.8%,80.5%,56.6%,54.2%
1.26,1.0%,3.1%,77.1%,63.5%,45.5%
0.80,4.4%,1.1%,71.4%,67.7%,34.6%
1.24,1.1%,2.2%,78.5%,69.9%,35.0%
1.30,0.0%,1.3%,84.8%,68.7%,50.0%
1.38,0.0%,0.0%,92.8%,68.8%,40.0%
1.25,0.0%,0.0%,83.3%,65.6%,50.0%
1.54,0.0%,0.0%,83.9%,74.5%,22.2%
1.32,1.6%,1.6%,77.4%,75.0%,50.0%
1.50,1.8%,0.0%,85.5%,66.0%,75.0%
1.44,8.2%,6.1%,67.3%,81.8%,43.8%
0.60,3.0%,3.0%,72.7%,61.1%,48.1%
0.65,4.1%,1.0%,83.5%,71.6%,37.5%
2.02,2.3%,0.0%,83.7%,77.8%,71.4%
0.48,0.0%,6.1%,75.8%,46.0%,50.0%
1.58,3.2%,4.8%,69.4%,69.8%,63.2%
1.10,8.1%,4.0%,75.8%,68.0%,50.0%
1.18,1.6%,3.2%,59.7%,64.9%,52.0%
0.72,1.9%,0.0%,80.8%,54.8%,50.0%
0.83,3.8%,1.3%,75.9%,56.7%,68.4%
1.67,2.1%,4.3%,66.0%,71.0%,62.5%
0.61,0.0%,1.7%,86.7%,46.2%,50.0%
1.65,2.2%,0.0%,71.7%,63.6%,69.2%
1.66,2.5%,2.5%,70.0%,75.0%,41.7%
0.84,3.6%,2.4%,75.0%,60.3%,61.9%
