DR,A%,DF%,1stIn,1st%,2nd%
1.48,5.2%,5.2%,62.1%,72.2%,45.5%
1.24,6.2%,10.8%,47.7%,77.4%,47.1%
0.85,3.1%,7.8%,57.8%,73.0%,44.4%
0.90,3.4%,4.3%,54.3%,71.4%,52.8%
0.84,5.6%,3.3%,71.1%,65.6%,46.2%
1.91,10.2%,4.1%,71.4%,80.0%,71.4%
0.98,14.0%,1.2%,68.6%,69.5%,59.3%
0.79,6.9%,1.1%,62.1%,72.2%,30.3%
0.82,2.2%,2.2%,68.8%,67.2%,41.4%
1.44,11.3%,7.5%,60.4%,75.0%,57.1%
1.25,1.6%,6.6%,72.1%,63.6%,41.2%
1.21,0.0%,3.6%,67.5%,69.6%,63.0%
0.73,2.8%,5.6%,68.1%,69.4%,30.4%
1.05,3.7%,5.6%,67.6%,67.1%,40.0%
0.85,1.4%,5.6%,76.4%,52.7%,41.2%
1.81,5.3%,10.5%,68.4%,76.9%,41.7%
0.74,3.1%,3.1%,56.7%,63.6%,42.9%
1.24,10.0%,5.0%,68.8%,65.5%,60.0%
1.57,3.3%,4.9%,63.9%,74.4%,63.6%
1.10,5.6%,3.3%,61.1%,69.1%,54.3%
1.24,2.5%,8.9%,68.4%,70.4%,40.0%
1.26,1.3%,2.7%,73.3%,67.3%,55.0%
1.25,4.3%,2.9%,58.0%,75.0%,48.3%
0.84,3.9%,3.9%,68.0%,70.0%,45.5%
0.68,0.0%,4.3%,69.6%,54.2%,33.3%
1.50,1.9%,1.9%,79.6%,79.1%,63.6%
0.95,2.6%,4.4%,64.9%,58.1%,45.0%
1.21,6.6%,1.9%,63.2%,77.6%,66.7%
1.00,4.2%,5.3%,65.3%,66.1%,36.4%
0.85,9.3%,2.1%,59.8%,65.5%,56.4%
0.77,6.1%,2.0%,66.3%,69.2%,66.7%
0.69,6.3%,0.0%,59.4%,57.9%,57.7%
1.70,16.0%,6.0%,66.0%,75.8%,58.8%
1.17,9.7%,1.9%,67.0%,72.5%,52.9%
0.79,2.1%,2.1%,68.1%,56.3%,46.7%
0.79,3.5%,3.5%,64.9%,54.1%,40.0%
0.47,7.3%,1.8%,47.3%,73.1%,51.7%
0.71,7.1%,2.0%,73.7%,72.6%,50.0%
1.19,11.8%,2.6%,59.2%,68.9%,61.3%
4.34,40.0%,2.5%,85.0%,94.1%,66.7%
0.55,4.0%,5.3%,76.0%,73.7%,33.3%
1.71,5.0%,1.7%,65.0%,87.2%,76.2%
1.62,11.6%,4.3%,60.9%,71.4%,70.4%
1.98,8.3%,2.8%,61.1%,86.4%,71.4%
1.75,29.2%,2.1%,75.0%,80.6%,58.3%
0.98,7.9%,7.9%,65.1%,65.9%,40.9%
1.88,10.4%,2.1%,68.8%,72.7%,73.3%
1.13,9.8%,5.4%,63.0%,77.6%,50.0%
0.88,19.5%,5.7%,64.4%,82.1%,48.4%
1.87,19.1%,4.3%,61.7%,82.8%,61.1%
1.25,8.7%,8.7%,65.2%,71.1%,45.8%
1.56,16.1%,6.5%,66.1%,82.9%,52.4%
2.41,9.8%,9.8%,63.4%,92.3%,53.3%
1.26,12.2%,3.1%,61.2%,80.0%,65.8%
1.60,18.5%,1.9%,70.4%,81.6%,75.0%
0.70,0.0%,5.1%,74.6%,65.9%,40.0%
1.16,3.0%,3.0%,65.2%,62.8%,47.8%
1.74,1.9%,9.4%,60.4%,78.1%,66.7%
0.80,3.8%,6.4%,69.2%,64.8%,12.5%
1.02,3.8%,6.6%,64.2%,75.0%,47.4%
1.05,1.2%,3.5%,67.1%,78.9%,42.9%
1.17,2.7%,6.8%,67.1%,65.3%,62.5%
