DR,A%,DF%,1stIn,1st%,2nd%
0.67,4.1%,1.4%,69.9%,56.9%,31.8%
1.28,2.1%,2.1%,66.0%,77.4%,68.8%
0.77,1.8%,0.9%,59.6%,64.6%,54.5%
1.82,1.9%,5.7%,71.7%,84.2%,66.7%
0.48,3.2%,2.2%,67.7%,65.1%,43.3%
1.46,5.8%,1.2%,70.9%,77.0%,56.0%
1.18,7.5%,2.2%,72.4%,67.0%,59.5%
1.05,8.2%,3.1%,68.4%,73.1%,45.2%
0.93,5.3%,7.9%,69.7%,77.4%,47.8%
0.81,7.6%,3.8%,69.6%,72.7%,45.8%
0.60,4.3%,2.2%,65.6%,65.6%,40.6%
1.15,0.9%,0.9%,63.4%,60.6%,56.1%
0.77,2.2%,2.2%,57.6%,62.3%,38.5%
1.40,3.0%,3.0%,70.1%,70.2%,50.0%
1.27,3.2%,3.2%,51.6%,46.9%,70.0%
1.29,8.1%,3.2%,56.5%,74.3%,59.3%
1.48,5.2%,1.7%,62.1%,72.2%,77.3%
0.87,4.4%,3.3%,57.8%,57.7%,44.7%
0.71,4.2%,2.8%,67.6%,62.5%,43.5%
1.03,2.3%,3.4%,69.3%,68.9%,48.1%
1.17,6.0%,2.4%,66.7%,71.4%,67.9%
0.89,0.0%,0.0%,55.7%,63.6%,54.3%
1.42,5.1%,1.7%,62.7%,70.3%,63.6%
1.52,2.7%,1.4%,78.4%,75.9%,68.8%
0.93,3.9%,2.9%,55.9%,68.4%,51.1%
1.46,5.5%,1.8%,56.4%,67.7%,54.2%
0.51,3.9%,2.6%,77.9%,61.7%,41.2%
1.07,4.0%,3.0%,66.3%,67.2%,55.9%
1.25,4.9%,3.7%,59.8%,65.3%,63.6%
0.68,9.1%,3.6%,78.2%,55.8%,50.0%
2.04,17.0%,2.1%,72.3%,82.4%,69.2%
1.22,9.6%,3.8%,73.1%,81.6%,71.4%
1.41,10.3%,4.4%,61.8%,78.6%,61.5%
0.42,8.9%,0.0%,62.2%,57.1%,47.1%
1.13,3.7%,5.6%,67.6%,67.1%,45.7%
0.72,1.5%,4.4%,61.8%,59.5%,42.3%
1.07,6.4%,1.8%,73.4%,67.5%,48.3%
1.11,2.7%,2.7%,74.5%,73.0%,57.9%
0.32,0.0%,4.8%,71.4%,43.3%,50.0%
1.34,2.9%,1.5%,58.8%,70.0%,64.3%
1.29,5.7%,3.4%,61.4%,72.2%,61.8%
1.39,0.0%,7.8%,57.8%,70.3%,55.6%
1.40,4.5%,3.0%,64.2%,81.4%,58.3%
1.24,4.9%,0.0%,70.7%,69.0%,62.5%
1.56,1.9%,1.9%,60.4%,68.8%,66.7%
0.80,3.3%,2.2%,70.0%,65.1%,40.7%
0.95,5.4%,0.0%,77.2%,74.6%,61.9%
1.09,6.0%,2.0%,75.0%,60.0%,48.0%
1.68,6.1%,2.0%,79.6%,74.4%,60.0%
1.85,6.6%,1.6%,70.5%,81.4%,83.3%
1.00,6.6%,0.0%,65.9%,70.0%,54.8%
1.30,1.4%,2.9%,62.3%,67.4%,53.8%
1.54,3.5%,5.3%,63.2%,69.4%,71.4%
1.36,11.8%,4.7%,67.1%,80.7%,60.7%
0.89,7.8%,7.8%,64.9%,74.0%,37.0%
0.92,2.2%,2.2%,57.0%,66.0%,45.0%
1.29,4.5%,1.5%,55.2%,62.2%,56.7%
1.16,3.6%,6.0%,53.0%,81.8%,41.0%
1.70,0.0%,4.4%,60.0%,74.1%,55.6%
0.77,1.2%,2.3%,57.0%,59.2%,48.6%
1.31,0.0%,1.7%,64.4%,57.9%,61.9%
1.57,8.2%,6.1%,59.2%,75.9%,60.0%
0.48,8.9%,1.8%,76.8%,65.1%,38.5%
0.66,4.0%,6.0%,58.0%,63.8%,31.0%
0.96,6.1%,3.7%,68.3%,65.2%,46.2%
1.95,8.9%,1.1%,64.4%,75.9%,78.1%
1.04,6.1%,5.1%,68.4%,74.6%,38.7%
1.54,3.8%,0.0%,60.4%,68.8%,76.2%
1.46,3.8%,1.9%,56.6%,73.3%,69.6%
2.17,6.8%,0.0%,61.4%,74.1%,70.6%
3.53,8.8%,2.9%,73.5%,92.0%,55.6%
1.11,4.6%,4.6%,59.8%,69.2%,37.1%
2.11,2.6%,2.6%,63.2%,66.7%,64.3%
1.73,3.7%,1.9%,57.4%,80.6%,69.6%
0.92,1.6%,0.8%,65.0%,58.8%,53.5%
1.09,8.1%,1.0%,61.6%,73.8%,63.2%
1.07,4.6%,0.9%,73.4%,67.5%,41.4%
1.33,4.6%,4.6%,67.7%,70.5%,57.1%
1.06,4.6%,2.0%,76.8%,66.4%,42.9%
1.23,1.5%,0.0%,64.2%,65.1%,54.2%
1.02,8.4%,1.9%,73.8%,62.0%,60.7%
0.77,0.0%,6.6%,73.8%,53.3%,50.0%
1.31,0.0%,0.0%,60.9%,66.7%,48.0%
1.64,2.3%,9.3%,69.8%,73.3%,53.8%
2.08,2.1%,2.1%,68.1%,68.8%,86.7%
1.53,0.0%,0.0%,74.0%,75.7%,53.8%
0.87,1.6%,6.6%,73.8%,66.7%,37.5%
