DR,A%,DF%,1stIn,1st%,2nd%
1.16,5.1%,0.0%,72.2%,70.2%,45.5%
0.87,2.9%,2.9%,67.6%,69.6%,54.5%
1.13,7.2%,0.0%,69.6%,66.7%,61.9%
1.37,7.8%,3.9%,62.7%,68.8%,68.4%
0.72,0.0%,0.0%,63.9%,56.4%,40.9%
1.57,4.9%,1.6%,73.8%,82.2%,56.3%
1.04,6.1%,3.0%,71.2%,72.3%,63.2%
0.60,0.0%,2.6%,61.5%,45.8%,46.7%
0.59,0.0%,4.2%,64.6%,51.6%,41.2%
1.06,5.6%,3.7%,74.1%,63.7%,35.7%
1.91,0.0%,4.4%,66.7%,83.3%,60.0%
0.80,1.5%,0.0%,54.4%,59.5%,48.4%
1.42,1.7%,1.7%,63.8%,75.7%,47.6%
1.65,7.4%,3.7%,75.9%,75.6%,46.2%
0.70,1.4%,2.9%,62.9%,47.7%,46.2%
1.50,0.0%,3.3%,70.0%,69.0%,61.1%
1.02,1.1%,1.1%,57.8%,61.5%,42.1%
1.64,7.0%,1.8%,87.7%,76.0%,42.9%
1.96,6.8%,0.0%,72.7%,78.1%,75.0%
0.84,5.5%,4.1%,61.6%,60.0%,53.6%
1.11,3.7%,2.5%,64.2%,69.2%,44.8%
0.87,4.9%,2.0%,74.5%,68.4%,50.0%
0.94,4.5%,1.5%,74.6%,74.0%,58.8%
1.94,0.0%,0.0%,79.2%,78.9%,70.0%
1.33,0.0%,0.0%,71.0%,72.7%,77.8%
1.26,3.0%,0.0%,82.1%,70.9%,58.3%
1.74,5.6%,3.7%,66.7%,77.8%,66.7%
0.78,2.7%,2.7%,63.5%,59.6%,48.1%
0.70,4.0%,0.0%,74.0%,59.5%,46.2%
0.87,4.5%,0.0%,62.1%,61.0%,52.0%
2.00,2.1%,0.0%,78.7%,78.4%,60.0%
1.19,4.1%,0.0%,76.7%,69.6%,58.8%
0.66,1.2%,0.0%,75.9%,61.9%,40.0%
0.83,4.6%,3.4%,66.7%,51.7%,55.2%
1.87,2.1%,0.0%,70.2%,72.7%,78.6%
1.54,0.0%,0.0%,66.7%,79.4%,47.1%
1.45,1.6%,0.0%,64.5%,80.0%,54.5%
0.38,1.8%,3.6%,58.2%,40.6%,39.1%
0.84,1.3%,2.6%,66.2%,60.8%,42.3%
0.87,0.0%,1.5%,68.2%,55.6%,52.4%
1.15,3.1%,4.6%,55.4%,75.0%,48.3%
1.05,1.0%,1.0%,60.2%,64.4%,64.1%
1.31,12.5%,4.7%,70.3%,80.0%,57.9%
1.27,11.3%,7.0%,57.7%,87.8%,43.3%
0.86,1.9%,0.0%,69.4%,72.0%,54.5%
1.21,6.7%,3.3%,60.0%,74.1%,55.6%
1.52,3.6%,3.6%,69.6%,87.2%,41.2%
1.27,8.1%,3.2%,54.8%,76.5%,42.9%
0.68,2.0%,2.0%,68.6%,68.6%,59.4%
0.99,6.8%,1.7%,54.2%,65.6%,51.9%
0.69,5.7%,2.9%,71.4%,74.0%,70.0%
0.57,11.3%,0.0%,62.3%,69.7%,40.0%
1.75,7.8%,5.9%,68.6%,82.9%,56.3%
1.15,5.7%,4.6%,62.1%,74.1%,60.6%
1.26,6.3%,1.3%,60.8%,72.9%,67.7%
1.02,2.0%,2.0%,72.3%,68.5%,57.1%
0.83,0.0%,0.0%,66.7%,55.3%,52.6%
2.40,5.6%,0.0%,50.0%,77.8%,66.7%
1.17,5.1%,1.7%,76.3%,64.4%,50.0%
0.83,4.4%,0.0%,55.9%,65.8%,60.0%
0.94,5.7%,0.0%,71.6%,79.4%,48.0%
1.18,7.6%,3.3%,70.7%,78.5%,48.1%
1.38,15.8%,0.0%,84.2%,77.1%,33.3%
1.41,3.2%,0.0%,71.0%,65.9%,61.1%
0.85,9.1%,5.2%,59.7%,56.5%,48.4%
0.91,1.9%,1.0%,67.6%,53.5%,61.8%
0.85,3.5%,3.5%,70.6%,61.7%,56.0%
1.26,7.4%,0.0%,59.3%,66.7%,54.5%
0.65,1.4%,2.9%,70.0%,55.1%,42.9%
0.86,6.6%,2.6%,69.7%,62.3%,60.9%
1.21,2.9%,0.0%,62.9%,68.2%,64.1%
1.10,1.8%,0.9%,66.7%,55.3%,47.4%
0.85,8.5%,1.4%,70.4%,70.0%,28.6%
0.79,2.9%,1.9%,75.7%,59.0%,40.0%
1.14,4.1%,0.0%,71.1%,60.9%,53.6%
0.63,0.0%,2.3%,72.7%,56.3%,41.7%
1.37,6.8%,1.5%,75.2%,78.0%,45.5%
0.56,3.8%,1.9%,79.2%,66.7%,54.5%
0.95,1.3%,1.3%,73.8%,69.5%,47.6%
0.74,6.3%,0.0%,60.3%,63.2%,36.0%
0.97,7.6%,6.3%,64.6%,56.9%,46.4%
0.56,3.7%,0.0%,59.3%,71.9%,36.4%
0.83,2.4%,1.2%,75.0%,54.0%,66.7%
0.98,2.9%,1.0%,72.8%,76.0%,42.9%
0.72,5.1%,5.1%,60.8%,77.1%,32.3%
1.16,10.5%,1.8%,73.7%,81.0%,53.3%
0.67,5.4%,2.7%,68.9%,64.7%,39.1%
0.85,9.1%,2.6%,61.0%,63.8%,53.3%
1.37,8.2%,0.0%,62.3%,76.3%,52.2%
0.46,3.6%,3.6%,78.2%,58.1%,33.3%
0.80,8.5%,2.8%,66.2%,68.1%,37.5%
1.06,10.2%,0.6%,73.2%,65.2%,50.0%
1.15,2.6%,5.1%,66.7%,67.9%,53.8%
0.75,1.5%,3.1%,70.8%,45.7%,31.6%
0.61,4.4%,4.4%,80.0%,63.9%,33.3%
1.29,0.0%,1.5%,67.7%,77.3%,66.7%
1.03,1.0%,5.2%,62.5%,60.0%,47.2%
0.69,0.0%,2.9%,62.3%,53.5%,53.8%
1.13,1.4%,2.8%,50.7%,75.0%,51.4%
0.77,0.0%,0.0%,66.2%,62.2%,43.5%
1.09,0.8%,0.8%,67.8%,65.9%,48.7%
1.33,5.3%,0.0%,66.7%,76.3%,73.7%
0.71,4.6%,2.3%,65.5%,59.6%,46.7%
1.04,1.8%,1.8%,69.9%,64.9%,61.2%
0.83,8.9%,0.0%,54.4%,62.8%,58.3%
0.93,5.4%,2.7%,65.8%,56.2%,44.7%
0.93,0.0%,4.8%,62.7%,63.5%,38.7%
1.38,4.8%,3.2%,62.9%,71.8%,52.2%
1.26,3.0%,1.5%,65.2%,62.8%,65.2%
0.72,5.1%,0.0%,66.1%,71.8%,40.0%
0.49,2.1%,2.1%,58.3%,50.0%,50.0%
0.64,1.4%,4.2%,66.2%,63.8%,54.2%
1.02,0.0%,3.4%,73.6%,54.7%,47.8%
0.95,0.9%,1.9%,75.9%,62.2%,50.0%
1.06,8.4%,2.4%,68.7%,73.7%,53.8%
2.17,14.3%,0.0%,64.3%,77.8%,80.0%
0.80,2.7%,2.7%,74.0%,66.7%,42.1%
1.80,4.0%,0.0%,62.0%,80.6%,78.9%
0.79,1.4%,1.4%,69.9%,58.8%,63.6%
0.48,1.6%,1.6%,66.7%,64.3%,33.3%
1.35,0.0%,1.4%,65.2%,73.3%,66.7%
0.91,4.3%,1.4%,62.9%,65.9%,50.0%
0.75,0.9%,1.8%,70.2%,61.3%,52.9%
1.40,8.3%,2.5%,72.5%,74.7%,54.5%
1.03,4.1%,2.0%,70.1%,69.9%,50.0%
1.08,4.1%,3.4%,71.6%,67.0%,59.5%
0.41,3.0%,1.5%,80.3%,62.3%,46.2%
0.84,5.7%,1.1%,68.2%,60.0%,60.7%
0.43,2.7%,2.7%,68.0%,76.5%,41.7%
0.65,0.0%,1.8%,71.9%,78.0%,31.3%
