DR,A%,DF%,1stIn,1st%,2nd%
1.87,2.2%,6.7%,62.2%,78.6%,64.7%
0.44,7.7%,5.1%,43.6%,64.7%,22.7%
1.50,4.4%,0.0%,64.4%,65.5%,68.8%
0.51,1.7%,0.0%,63.8%,54.1%,47.6%
1.46,3.3%,0.0%,63.9%,76.9%,68.2%
0.75,2.4%,2.4%,63.1%,62.3%,61.3%
1.15,4.1%,4.1%,53.4%,69.2%,55.9%
0.91,1.1%,3.2%,71.6%,63.2%,40.7%
0.93,1.3%,8.9%,54.4%,67.4%,47.2%
1.10,4.5%,6.0%,50.7%,85.3%,36.4%
1.47,1.5%,0.0%,55.2%,78.4%,76.7%
1.01,2.9%,4.8%,60.6%,63.5%,39.0%
0.75,5.9%,5.9%,51.5%,57.7%,42.9%
1.43,7.9%,3.2%,65.1%,70.7%,63.6%
0.82,6.0%,0.0%,46.4%,64.1%,64.4%
0.46,3.6%,5.4%,60.7%,55.9%,31.8%
1.00,10.8%,2.5%,64.2%,75.3%,51.2%
0.88,8.1%,9.3%,58.1%,70.0%,52.8%
1.04,9.6%,3.7%,60.0%,70.4%,48.1%
0.84,0.0%,5.6%,55.1%,59.2%,50.0%
1.25,5.9%,1.5%,47.1%,71.9%,47.2%
0.63,2.5%,0.8%,69.2%,59.0%,51.4%
1.19,5.3%,5.3%,48.0%,77.8%,56.4%
0.67,1.6%,8.1%,58.1%,47.2%,30.8%
0.88,0.0%,4.5%,47.7%,57.1%,50.0%
0.74,15.4%,7.7%,53.8%,57.1%,33.3%
0.71,1.4%,4.2%,68.1%,69.4%,52.2%
1.32,5.8%,1.2%,61.6%,75.5%,51.5%
1.28,2.9%,1.5%,58.8%,62.5%,57.1%
1.56,3.7%,5.6%,50.0%,81.5%,55.6%
1.96,2.2%,4.3%,52.2%,83.3%,59.1%
1.20,1.3%,2.6%,64.9%,56.0%,55.6%
1.27,6.7%,3.3%,65.0%,69.2%,57.1%
0.96,9.3%,2.3%,58.1%,78.0%,52.8%
2.26,0.0%,0.0%,54.5%,87.5%,75.0%
0.93,7.4%,3.7%,56.3%,65.8%,59.3%
1.20,4.8%,3.6%,57.1%,62.5%,50.0%
1.48,6.3%,2.1%,52.1%,84.0%,47.8%
0.69,3.4%,3.4%,62.1%,47.2%,40.9%
1.22,5.3%,2.6%,56.6%,62.8%,60.6%
1.06,2.5%,5.0%,47.5%,63.2%,47.6%
0.81,2.7%,5.3%,49.6%,55.4%,50.9%
1.96,9.4%,0.0%,66.0%,85.7%,72.2%
1.21,1.4%,4.1%,53.4%,79.5%,58.8%
0.40,2.6%,2.6%,60.5%,63.0%,53.3%
1.41,5.8%,1.9%,59.6%,71.0%,71.4%
1.29,5.0%,5.0%,48.3%,69.0%,58.1%
0.81,8.3%,0.9%,58.7%,75.0%,40.0%
1.61,5.0%,5.0%,60.0%,66.7%,62.5%
1.14,4.2%,3.2%,62.1%,64.4%,52.8%
1.00,4.5%,2.3%,70.5%,77.4%,34.6%
0.94,1.3%,1.3%,67.5%,65.4%,52.0%
0.59,5.5%,5.5%,41.8%,52.2%,46.9%
1.37,8.6%,1.7%,58.6%,73.5%,62.5%
0.63,8.0%,3.4%,58.6%,70.6%,61.1%
0.85,9.1%,5.5%,74.5%,63.4%,50.0%
1.47,1.9%,0.0%,60.4%,81.3%,52.4%
0.88,3.3%,1.1%,64.8%,66.1%,53.1%
0.47,4.2%,4.2%,60.4%,55.2%,42.1%
1.83,11.8%,9.8%,43.1%,86.4%,65.5%
0.29,0.0%,7.3%,73.2%,46.7%,27.3%
0.59,1.0%,3.1%,55.7%,68.5%,39.5%
0.75,4.9%,6.2%,60.5%,61.2%,46.9%
1.47,4.5%,2.3%,45.5%,80.0%,58.3%
1.23,3.0%,3.0%,70.7%,71.4%,65.5%
1.72,0.0%,2.1%,59.6%,64.3%,73.7%
1.36,0.0%,2.9%,63.2%,69.8%,68.0%
1.06,4.1%,3.1%,59.8%,67.2%,53.8%
0.81,5.9%,3.0%,55.6%,73.3%,51.7%
0.75,6.3%,3.8%,62.5%,56.0%,56.7%
1.03,6.5%,1.1%,58.1%,66.7%,64.1%
0.83,4.7%,4.7%,59.4%,58.7%,44.2%
0.95,4.8%,2.4%,54.2%,62.2%,52.6%
1.24,1.6%,4.8%,55.6%,77.1%,67.9%
0.69,3.5%,7.1%,48.2%,68.3%,43.2%
0.74,5.0%,5.0%,53.3%,59.4%,50.0%
1.05,2.8%,4.2%,55.6%,62.5%,50.0%
2.50,20.0%,13.3%,60.0%,100.0%,50.0%
1.35,8.5%,0.0%,40.7%,79.2%,62.9%
1.09,2.9%,3.9%,52.4%,64.8%,59.2%
1.44,5.5%,1.8%,56.4%,71.0%,50.0%
1.04,5.9%,4.7%,65.9%,71.4%,58.6%
1.29,6.3%,0.0%,61.3%,61.2%,58.1%
0.81,11.8%,6.2%,59.0%,64.2%,36.4%
1.04,3.9%,3.9%,46.1%,57.1%,68.3%
2.65,16.7%,5.6%,61.1%,81.8%,71.4%
0.67,4.7%,4.7%,57.6%,61.2%,47.2%
0.68,4.8%,6.3%,46.0%,55.2%,52.9%
0.78,2.4%,1.2%,72.0%,55.9%,47.8%
1.41,10.2%,5.1%,62.7%,78.4%,59.1%
2.35,17.1%,0.0%,56.1%,87.0%,66.7%
0.52,6.1%,6.1%,45.5%,73.3%,33.3%
1.41,7.1%,3.6%,50.0%,78.6%,53.6%
1.22,2.9%,5.9%,77.9%,69.8%,53.3%
1.34,5.9%,2.0%,54.9%,57.1%,69.6%
1.43,3.6%,3.6%,67.9%,63.2%,55.6%
0.87,5.9%,3.9%,59.8%,62.3%,56.1%
1.25,2.6%,5.2%,66.2%,60.8%,69.2%
0.84,2.0%,3.0%,60.6%,56.7%,48.7%
1.22,6.8%,0.0%,68.9%,64.7%,65.2%
1.75,4.2%,4.2%,68.8%,72.7%,73.3%
0.95,0.9%,4.3%,68.1%,64.6%,43.2%
0.61,4.9%,2.4%,59.8%,53.1%,42.4%
1.14,1.0%,2.0%,62.6%,69.4%,45.9%
1.06,2.9%,6.7%,55.8%,67.2%,43.5%
1.28,7.1%,5.7%,52.9%,75.7%,48.5%
1.24,2.3%,5.7%,59.8%,75.0%,40.0%
0.53,6.3%,1.6%,67.2%,58.1%,71.4%
0.79,3.0%,4.0%,51.5%,66.7%,43.8%
1.56,8.7%,0.0%,47.8%,86.4%,54.2%
1.45,10.5%,8.8%,64.9%,83.8%,45.0%
0.48,2.4%,0.0%,70.7%,58.6%,75.0%
1.50,6.6%,1.3%,68.4%,78.8%,58.3%
1.26,4.3%,1.1%,68.5%,69.8%,58.6%
1.32,11.3%,0.0%,53.2%,78.8%,58.6%
0.89,3.3%,8.3%,50.0%,70.0%,53.3%
1.41,12.0%,4.0%,54.0%,77.8%,56.5%
1.63,10.0%,4.0%,76.0%,71.1%,58.3%
3.16,10.9%,0.0%,58.7%,92.6%,78.9%
1.01,8.5%,2.5%,62.7%,71.6%,43.2%
1.01,0.8%,0.8%,96.9%,53.2%,50.0%
0.65,3.8%,13.2%,37.7%,65.0%,39.4%
0.60,5.4%,3.6%,57.1%,59.4%,29.2%
1.14,15.1%,3.8%,67.9%,75.0%,47.1%
1.70,6.0%,6.0%,58.0%,65.5%,71.4%
1.84,16.7%,6.3%,56.3%,85.2%,66.7%
1.02,12.0%,2.2%,63.0%,75.9%,55.9%
1.60,9.6%,5.8%,65.4%,70.6%,61.1%
0.95,6.2%,4.6%,70.0%,68.1%,56.4%
