DR,A%,DF%,1stIn,1st%,2nd%
0.67,8.1%,3.2%,66.1%,56.1%,38.1%
1.13,3.8%,3.8%,62.0%,73.5%,53.3%
0.83,11.1%,1.7%,60.7%,76.1%,47.8%
1.31,10.1%,3.8%,58.2%,71.7%,51.5%
0.43,4.3%,2.1%,61.7%,58.6%,22.2%
1.13,2.2%,2.2%,45.2%,59.5%,62.7%
2.33,0.0%,2.7%,45.9%,88.2%,65.0%
1.50,1.6%,1.6%,52.4%,72.7%,53.3%
2.39,2.9%,5.7%,51.4%,83.3%,58.8%
0.44,5.4%,7.1%,57.1%,53.1%,54.2%
1.09,1.3%,2.7%,64.0%,72.9%,44.4%
0.53,3.4%,0.0%,57.6%,50.0%,44.0%
1.22,4.3%,2.2%,74.2%,71.0%,45.8%
1.41,3.5%,1.8%,59.6%,76.5%,65.2%
8.32,17.6%,0.0%,64.7%,90.9%,100.0%
0.92,1.3%,3.2%,66.0%,57.3%,52.8%
0.85,1.1%,8.8%,60.4%,63.6%,52.8%
0.76,1.5%,1.5%,64.7%,70.5%,50.0%
0.56,1.9%,5.8%,50.0%,57.7%,30.8%
0.88,0.0%,5.6%,48.6%,57.7%,52.7%
0.80,4.8%,6.0%,84.5%,60.6%,30.8%
1.16,2.1%,4.3%,62.8%,69.5%,60.0%
0.37,2.4%,9.8%,51.2%,61.9%,30.0%
0.63,0.0%,3.2%,58.1%,61.1%,34.6%
0.65,1.7%,6.8%,61.0%,50.0%,26.1%
2.06,8.2%,2.0%,59.2%,93.1%,55.0%
0.72,0.0%,2.9%,51.4%,44.4%,61.8%
0.79,0.0%,1.7%,46.7%,67.9%,37.5%
0.77,2.3%,1.1%,51.1%,68.9%,37.2%
1.35,5.1%,0.0%,67.8%,70.0%,52.6%
1.20,3.4%,6.9%,58.6%,74.5%,61.1%
1.19,4.8%,1.6%,66.7%,76.2%,42.9%
1.08,3.7%,0.0%,60.6%,59.1%,55.8%
0.59,2.7%,5.4%,48.6%,27.8%,52.6%
0.98,2.8%,3.4%,58.6%,68.2%,48.3%
1.15,9.2%,3.1%,52.3%,73.5%,48.4%
0.74,1.9%,5.8%,53.8%,50.0%,41.7%
