DR,A%,DF%,1stIn,1st%,2nd%
0.84,4.7%,3.1%,56.3%,72.2%,46.4%
0.72,3.8%,1.9%,73.6%,66.7%,57.1%
1.20,5.0%,5.0%,61.3%,73.5%,61.3%
0.57,0.0%,1.2%,70.6%,65.0%,36.0%
1.81,4.5%,4.5%,61.4%,74.1%,64.7%
1.40,9.2%,0.0%,53.8%,77.1%,60.0%
0.77,2.0%,2.0%,66.7%,75.8%,48.5%
2.14,2.4%,0.0%,52.4%,81.8%,65.0%
1.32,5.2%,1.7%,74.1%,76.7%,53.3%
0.93,5.8%,1.0%,61.2%,66.7%,47.5%
1.45,10.5%,1.2%,65.1%,80.4%,66.7%
0.75,7.6%,3.8%,62.0%,59.2%,46.7%
0.73,7.8%,3.1%,65.6%,69.0%,54.5%
1.42,3.3%,3.3%,55.7%,61.8%,63.0%
1.19,6.1%,1.5%,66.7%,63.6%,63.6%
0.83,2.8%,4.2%,58.7%,72.6%,50.8%
1.64,9.6%,9.6%,66.0%,79.0%,62.5%
2.35,18.0%,1.6%,55.7%,91.2%,63.0%
0.68,11.5%,11.5%,63.9%,71.8%,31.8%
0.80,5.5%,5.5%,60.9%,70.1%,44.2%
0.88,3.2%,4.3%,63.8%,75.0%,41.2%
0.96,5.2%,6.1%,65.2%,70.7%,42.5%
1.45,5.3%,3.5%,68.4%,84.6%,44.4%
1.28,11.1%,1.6%,55.6%,68.6%,53.6%
1.04,8.8%,5.3%,57.5%,73.8%,39.6%
1.15,11.6%,7.2%,58.0%,75.0%,48.3%
2.23,15.2%,3.0%,63.6%,85.7%,50.0%
0.69,6.5%,6.5%,50.6%,71.8%,47.4%
0.83,1.4%,4.1%,51.4%,71.1%,52.8%
1.34,5.2%,3.4%,63.8%,81.1%,61.9%
0.75,6.3%,6.3%,51.6%,60.6%,54.8%
1.20,2.9%,2.9%,52.9%,75.0%,50.0%
1.23,1.4%,4.3%,62.9%,68.2%,53.8%
1.71,9.8%,2.0%,68.6%,82.9%,68.8%
1.41,12.5%,3.1%,64.1%,73.2%,56.5%
1.04,3.7%,6.2%,50.6%,82.9%,60.0%
0.89,1.8%,2.6%,57.9%,48.5%,56.3%
1.19,4.3%,3.2%,65.6%,62.3%,59.4%
0.78,11.1%,1.6%,60.3%,65.8%,32.0%
0.86,0.9%,1.9%,67.0%,60.6%,48.6%
1.40,9.7%,1.1%,74.2%,82.6%,37.5%
1.34,9.8%,1.6%,75.4%,76.1%,40.0%
0.57,4.9%,6.6%,70.5%,67.4%,33.3%
0.88,0.0%,2.8%,64.8%,69.6%,52.0%
0.64,3.6%,2.4%,66.3%,67.3%,42.9%
1.75,5.6%,0.0%,64.8%,77.1%,63.2%
0.70,1.4%,1.4%,59.4%,58.5%,32.1%
0.99,5.0%,5.0%,53.8%,81.4%,40.5%
0.75,5.5%,3.6%,50.9%,60.7%,63.0%
2.01,7.5%,2.5%,42.5%,64.7%,73.9%
0.66,2.7%,0.0%,57.5%,64.3%,41.9%
1.04,7.5%,2.2%,63.4%,71.2%,50.0%
1.34,8.6%,1.7%,58.6%,85.3%,54.2%
0.44,1.3%,4.0%,57.3%,58.1%,43.8%
1.81,14.9%,3.0%,62.7%,81.0%,60.0%
0.81,2.7%,0.9%,65.8%,68.5%,39.5%
1.48,3.2%,6.3%,58.7%,83.8%,61.5%
1.56,4.1%,2.0%,61.2%,76.7%,57.9%
1.91,9.3%,2.3%,58.1%,80.0%,66.7%
2.21,8.3%,0.0%,72.9%,88.6%,69.2%
2.59,7.1%,3.6%,60.7%,88.2%,86.4%
2.61,10.5%,0.0%,71.1%,81.5%,72.7%
0.61,4.3%,2.9%,54.3%,57.9%,43.8%
1.40,3.1%,4.6%,69.2%,71.1%,65.0%
0.91,4.2%,4.2%,59.7%,69.8%,34.5%
1.31,4.3%,2.9%,65.7%,69.6%,62.5%
1.29,3.5%,4.7%,59.3%,78.4%,60.0%
0.79,2.0%,2.0%,60.8%,61.3%,35.0%
0.80,3.6%,3.6%,71.1%,55.9%,41.7%
1.11,4.1%,5.1%,61.2%,80.0%,44.7%
0.78,5.7%,2.9%,65.7%,71.7%,41.7%
0.96,5.6%,3.3%,56.7%,80.4%,61.5%
0.55,0.0%,3.9%,66.2%,62.7%,34.6%
1.16,4.1%,0.7%,61.6%,72.2%,57.1%
