DR,A%,DF%,1stIn,1st%,2nd%
0.64,11.9%,3.0%,59.7%,65.0%,51.9%
1.21,11.4%,4.5%,70.5%,77.4%,46.2%
1.43,13.8%,1.5%,61.5%,85.0%,44.0%
0.97,1.7%,5.8%,60.3%,64.4%,56.3%
0.84,9.5%,4.1%,58.1%,74.4%,54.8%
0.91,3.8%,2.9%,59.6%,61.3%,57.1%
1.36,8.5%,8.5%,52.5%,77.4%,50.0%
1.68,4.3%,2.1%,51.1%,83.3%,56.5%
1.22,6.3%,8.3%,44.8%,74.4%,56.6%
0.96,12.5%,1.6%,64.1%,80.5%,39.1%
1.73,7.5%,5.7%,49.1%,76.9%,66.7%
0.64,7.5%,9.4%,60.4%,62.5%,33.3%
1.09,5.1%,6.1%,51.0%,78.0%,54.2%
1.26,0.0%,9.3%,46.7%,68.6%,57.5%
1.19,3.5%,3.5%,52.6%,66.7%,59.3%
0.87,3.3%,2.2%,53.3%,65.3%,58.1%
1.79,9.6%,0.0%,55.8%,82.8%,65.2%
1.19,6.0%,7.2%,44.6%,67.6%,50.0%
0.89,2.2%,3.3%,57.1%,67.3%,46.2%
1.17,6.5%,5.6%,58.3%,73.0%,57.8%
1.26,5.1%,3.4%,52.5%,71.0%,50.0%
0.72,4.3%,1.4%,55.1%,76.3%,45.2%
1.72,6.0%,2.0%,54.0%,74.1%,69.6%
1.03,4.3%,0.9%,65.0%,68.4%,41.5%
1.18,0.0%,7.0%,52.1%,59.5%,47.1%
1.56,11.8%,2.0%,58.8%,66.7%,76.2%
0.98,1.0%,2.9%,55.8%,70.7%,47.8%
1.14,1.0%,6.2%,64.9%,63.5%,44.1%
0.71,11.3%,1.9%,54.7%,58.6%,41.7%
1.31,9.0%,3.8%,62.8%,77.6%,55.2%
1.40,6.6%,3.3%,49.2%,76.7%,61.3%
1.10,3.7%,1.8%,49.5%,81.5%,41.8%
1.48,9.3%,5.6%,55.6%,80.0%,50.0%
0.89,6.6%,5.7%,56.6%,71.7%,47.8%
0.73,3.6%,9.6%,61.4%,62.7%,37.5%
0.71,17.6%,0.0%,76.5%,53.8%,50.0%
1.31,7.4%,0.0%,60.5%,67.3%,59.4%
0.79,3.9%,1.3%,62.3%,60.4%,34.5%
1.68,10.7%,3.6%,62.5%,88.6%,47.6%
1.22,9.3%,1.9%,64.8%,68.6%,47.4%
1.34,10.3%,1.5%,61.8%,81.0%,46.2%
1.04,3.5%,0.9%,62.6%,69.4%,60.5%
0.78,7.4%,3.7%,63.0%,74.5%,43.3%
1.14,20.5%,6.0%,57.8%,77.1%,48.6%
1.10,19.2%,2.6%,61.5%,79.2%,56.7%
1.03,17.6%,6.5%,50.0%,74.1%,59.3%
1.06,9.0%,1.8%,61.3%,75.0%,41.9%
1.06,10.6%,2.9%,61.5%,75.0%,62.5%
1.41,7.5%,4.5%,58.2%,74.4%,60.7%
1.39,7.8%,2.6%,54.5%,78.6%,62.9%
0.90,9.0%,9.0%,53.8%,64.3%,52.8%
1.56,13.3%,5.0%,66.7%,80.0%,50.0%
1.89,12.8%,2.1%,59.6%,85.7%,57.9%
0.78,9.1%,1.1%,62.5%,63.6%,45.5%
1.73,14.0%,0.0%,62.0%,80.6%,57.9%
1.33,9.8%,4.9%,52.5%,78.1%,58.6%
0.56,16.4%,6.6%,59.0%,66.7%,44.0%
0.54,8.6%,5.2%,53.4%,74.2%,44.4%
1.02,12.0%,4.6%,59.3%,75.0%,54.5%
0.91,8.4%,6.0%,54.2%,64.4%,44.7%
0.93,4.1%,7.1%,56.1%,63.6%,41.9%
0.82,4.1%,12.3%,49.3%,72.2%,35.1%
0.86,4.0%,6.7%,54.7%,68.3%,38.2%
0.92,4.8%,1.9%,49.5%,76.9%,41.5%
