DR,A%,DF%,1stIn,1st%,2nd%
1.23,11.7%,0.0%,63.6%,77.6%,46.4%
0.85,4.5%,0.0%,60.7%,64.8%,54.3%
0.63,9.4%,0.0%,59.4%,63.2%,42.3%
0.79,15.6%,1.6%,67.2%,72.0%,52.5%
1.72,10.6%,0.0%,63.8%,76.7%,70.6%
1.11,12.3%,5.5%,64.4%,74.5%,46.2%
0.76,9.4%,0.0%,60.9%,79.5%,40.0%
1.21,18.5%,0.0%,63.0%,78.4%,56.7%
0.49,13.2%,1.9%,60.4%,65.6%,42.9%
0.83,6.5%,1.3%,59.7%,76.1%,38.7%
0.69,2.0%,7.8%,64.7%,66.7%,27.8%
0.83,10.4%,1.5%,70.9%,73.7%,53.8%
1.07,22.0%,3.3%,65.9%,76.7%,48.4%
0.85,14.3%,0.0%,71.4%,72.0%,60.0%
0.57,3.3%,3.3%,65.6%,55.0%,33.3%
1.33,13.8%,1.7%,69.0%,82.5%,44.4%
1.63,25.0%,2.3%,65.9%,82.8%,53.3%
1.78,14.3%,3.2%,61.9%,84.6%,79.2%
1.17,18.8%,5.2%,66.7%,81.3%,46.9%
1.56,16.7%,4.2%,58.3%,82.1%,55.0%
0.76,10.3%,3.4%,54.0%,72.3%,35.0%
1.21,13.9%,3.8%,68.4%,75.9%,56.0%
6.62,18.5%,0.0%,85.2%,95.7%,50.0%
0.77,14.1%,1.1%,68.5%,74.6%,34.5%
1.97,36.0%,4.0%,76.0%,92.1%,37.5%
1.37,11.2%,5.6%,71.9%,75.0%,52.0%
1.46,24.7%,1.2%,64.7%,83.6%,46.7%
1.00,16.4%,1.6%,62.3%,80.3%,41.3%
0.56,18.3%,5.0%,66.7%,82.5%,40.0%
1.34,18.0%,3.3%,63.9%,74.4%,50.0%
1.39,20.4%,3.9%,64.1%,86.4%,59.5%
1.73,21.6%,3.9%,74.5%,84.2%,53.8%
1.37,15.8%,3.5%,47.4%,77.8%,53.3%
0.77,10.6%,3.2%,63.8%,71.7%,26.5%
0.93,19.8%,3.7%,63.0%,76.5%,43.3%
1.53,34.5%,0.0%,75.9%,72.7%,71.4%
0.94,9.2%,1.0%,72.4%,64.8%,44.4%
0.55,22.2%,2.8%,68.1%,63.3%,39.1%
1.26,21.2%,3.5%,72.6%,79.3%,41.9%
0.70,10.2%,5.1%,57.6%,70.6%,40.0%
0.91,16.7%,1.2%,67.9%,73.7%,51.9%
1.33,17.2%,6.3%,53.1%,88.2%,60.0%
1.70,11.1%,3.7%,61.1%,87.9%,61.9%
0.97,6.0%,3.0%,70.1%,70.2%,50.0%
1.25,25.5%,5.5%,61.8%,82.4%,47.6%
0.66,9.2%,2.0%,70.4%,69.6%,44.8%
1.39,6.7%,1.1%,67.8%,75.4%,69.0%
0.61,4.3%,4.3%,52.9%,67.6%,36.4%
0.41,3.3%,3.3%,83.3%,32.0%,20.0%
0.95,10.8%,1.8%,66.7%,63.5%,59.5%
0.76,9.1%,7.3%,63.6%,71.4%,35.0%
1.64,7.9%,3.2%,71.4%,82.2%,72.2%
0.70,16.7%,2.1%,75.0%,72.2%,16.7%
1.20,11.4%,1.9%,67.6%,80.3%,52.9%
1.03,16.5%,2.4%,70.6%,70.0%,52.0%
1.42,21.0%,1.6%,66.1%,87.8%,52.4%
1.45,17.6%,7.8%,58.8%,96.7%,52.4%
1.58,8.5%,0.0%,70.7%,81.0%,66.7%
2.08,15.6%,0.0%,80.0%,83.3%,55.6%
2.93,22.5%,0.0%,72.5%,89.7%,63.6%
0.89,4.8%,1.2%,71.4%,65.0%,62.5%
0.97,9.1%,2.5%,69.4%,81.0%,54.1%
1.26,7.7%,3.8%,55.8%,69.0%,56.5%
1.11,12.9%,4.7%,68.2%,72.4%,44.4%
0.65,8.3%,3.7%,68.8%,68.0%,29.4%
1.31,19.7%,3.9%,64.6%,86.6%,51.1%
1.72,22.1%,2.1%,68.4%,80.0%,70.0%
0.73,3.3%,1.7%,55.0%,78.8%,48.1%
0.99,10.5%,1.2%,60.5%,78.8%,55.9%
0.68,8.8%,0.0%,70.2%,75.0%,35.3%
1.33,16.0%,0.0%,74.7%,82.1%,47.4%
2.21,14.3%,4.1%,67.3%,84.8%,68.8%
2.01,17.0%,0.0%,59.6%,92.9%,52.6%
1.41,10.5%,3.5%,71.9%,73.2%,68.8%
0.74,5.7%,1.1%,79.5%,58.6%,44.4%
1.23,14.6%,3.7%,70.7%,74.1%,45.8%
1.16,9.2%,4.6%,59.8%,76.9%,45.7%
1.16,15.2%,1.3%,72.2%,71.9%,50.0%
1.19,15.9%,1.4%,66.7%,78.3%,34.8%
0.78,2.6%,2.6%,65.2%,68.0%,45.0%
1.41,17.9%,1.1%,71.6%,82.4%,63.0%
0.72,6.1%,1.5%,62.1%,61.0%,40.0%
1.30,12.8%,2.3%,64.0%,78.2%,48.4%
1.03,11.1%,2.2%,68.9%,71.0%,50.0%
0.90,12.4%,0.0%,66.7%,74.3%,51.4%
0.62,6.7%,10.0%,51.7%,64.5%,24.1%
1.01,10.4%,2.8%,73.6%,70.5%,39.3%
1.39,13.6%,4.5%,64.8%,80.7%,45.2%
0.38,2.4%,2.4%,61.9%,53.8%,50.0%
1.58,12.9%,5.7%,67.1%,87.2%,39.1%
1.31,16.2%,5.4%,56.8%,76.2%,59.4%
1.47,18.2%,3.6%,61.8%,79.4%,57.1%
0.37,1.7%,3.4%,70.7%,53.7%,35.3%
0.66,19.7%,4.5%,65.2%,81.4%,47.8%
-,100.0%,0.0%,100.0%,100.0%,-
1.17,18.3%,4.9%,57.3%,76.6%,45.7%
0.58,10.2%,8.2%,55.1%,70.4%,54.5%
0.66,10.1%,2.5%,62.0%,63.3%,40.0%
0.53,18.6%,2.3%,65.1%,50.0%,40.0%
1.35,14.6%,3.4%,60.7%,85.2%,45.7%
2.72,29.5%,6.8%,72.7%,87.5%,75.0%
1.35,19.7%,3.0%,60.6%,87.5%,57.7%
1.03,22.6%,5.4%,65.6%,86.9%,31.3%
1.51,23.5%,3.9%,62.7%,81.3%,57.9%
2.63,38.1%,2.4%,73.8%,87.1%,54.5%
0.78,15.6%,5.2%,65.6%,73.0%,39.4%
0.79,7.1%,2.0%,68.4%,53.7%,45.2%
1.50,14.3%,1.8%,67.9%,84.2%,44.4%
0.61,23.6%,7.3%,62.7%,88.4%,43.9%
1.20,27.9%,4.4%,67.6%,78.3%,50.0%
1.38,34.8%,2.9%,71.0%,81.6%,85.0%
0.54,26.1%,6.5%,67.4%,71.0%,46.7%
1.29,31.6%,4.2%,68.4%,80.0%,56.7%
0.98,15.4%,3.4%,59.8%,80.0%,44.7%
1.28,31.0%,3.4%,63.8%,83.8%,52.4%
0.76,15.9%,1.1%,69.3%,85.2%,40.7%
1.73,29.6%,0.0%,79.6%,81.4%,54.5%
1.70,18.0%,4.9%,72.1%,77.3%,58.8%
1.05,20.2%,8.3%,67.9%,75.4%,33.3%
0.70,19.1%,2.1%,59.6%,71.4%,26.3%
1.12,14.5%,2.4%,68.5%,72.9%,59.0%
1.00,7.8%,0.0%,62.5%,85.0%,45.8%
0.88,26.5%,3.9%,59.8%,86.9%,48.8%
1.67,32.0%,2.0%,64.0%,87.5%,55.6%
1.18,16.0%,0.0%,68.0%,80.4%,37.5%
0.59,10.0%,4.3%,70.0%,65.3%,42.9%
1.86,27.1%,2.4%,67.1%,89.5%,46.4%
0.82,10.7%,6.1%,64.9%,78.8%,34.8%
0.37,15.4%,0.0%,50.0%,61.5%,30.8%
1.16,12.9%,2.4%,55.3%,76.6%,50.0%
0.73,12.0%,6.0%,54.2%,68.9%,36.8%
1.04,9.0%,1.1%,67.4%,63.3%,55.2%
0.51,8.3%,4.2%,54.2%,57.7%,45.5%
1.19,21.8%,7.7%,62.8%,77.6%,51.7%
0.46,5.1%,3.0%,59.6%,62.7%,45.0%
0.89,24.1%,4.3%,72.4%,77.4%,40.6%
0.97,14.4%,1.1%,70.0%,68.3%,59.3%
0.62,7.8%,3.3%,65.6%,66.1%,45.2%
1.45,5.7%,0.9%,61.3%,70.8%,65.9%
0.68,6.1%,3.0%,62.1%,65.9%,32.0%
0.67,3.9%,2.0%,62.7%,62.5%,47.4%
1.27,11.4%,6.3%,59.5%,80.9%,50.0%
0.73,4.5%,3.0%,62.7%,54.8%,44.0%
1.28,2.6%,5.3%,64.5%,73.5%,48.1%
0.94,6.6%,2.2%,62.6%,64.9%,50.0%
1.58,10.7%,3.6%,62.5%,74.3%,61.9%
1.49,7.5%,3.8%,54.7%,72.4%,54.2%
1.58,9.8%,5.9%,60.8%,83.9%,40.0%
0.67,3.2%,3.2%,61.3%,68.4%,41.7%
1.25,4.2%,1.4%,62.5%,73.3%,55.6%
1.80,12.1%,0.0%,65.5%,78.9%,75.0%
0.92,10.2%,4.1%,68.4%,64.2%,41.9%
1.67,15.5%,8.6%,65.5%,78.9%,65.0%
0.96,6.9%,5.7%,56.3%,67.3%,44.7%
0.87,16.9%,2.6%,66.2%,82.4%,46.2%
1.70,6.0%,4.0%,76.0%,73.7%,50.0%
1.05,8.0%,4.5%,55.7%,71.4%,56.4%
0.88,2.9%,1.4%,62.3%,69.8%,61.5%
0.62,6.9%,11.1%,56.9%,68.3%,38.7%
1.12,6.8%,6.8%,60.8%,62.2%,58.6%
1.60,14.0%,0.0%,70.0%,80.0%,66.7%
1.25,10.3%,5.2%,58.8%,73.7%,55.0%
0.53,5.1%,8.5%,52.5%,48.4%,28.6%
1.14,11.5%,4.6%,62.1%,74.1%,45.5%
0.66,18.9%,1.4%,67.6%,68.0%,45.8%
1.77,9.4%,0.0%,62.3%,75.8%,65.0%
1.40,11.5%,5.8%,80.8%,73.8%,40.0%
1.36,12.7%,3.2%,76.2%,77.1%,53.3%
2.14,13.6%,2.3%,81.8%,86.1%,75.0%
1.60,5.5%,3.6%,67.3%,75.7%,66.7%
0.76,18.8%,1.4%,72.5%,68.0%,42.1%
0.51,8.1%,5.4%,62.2%,58.7%,25.0%
1.60,13.0%,4.3%,72.5%,74.0%,63.2%
1.43,19.4%,1.6%,77.4%,77.1%,42.9%
2.04,13.2%,5.3%,57.9%,77.3%,68.8%
0.75,9.5%,1.6%,63.5%,55.0%,65.2%
1.33,17.9%,9.0%,64.2%,76.7%,50.0%
1.02,13.8%,4.1%,61.8%,78.9%,53.2%
0.66,3.5%,5.3%,47.4%,59.3%,33.3%
0.76,15.1%,11.3%,49.1%,76.9%,48.1%
2.52,27.1%,4.2%,66.7%,90.6%,75.0%
0.90,14.5%,1.6%,61.3%,73.7%,41.7%
1.12,7.8%,2.0%,67.6%,72.5%,54.5%
0.97,12.7%,9.0%,64.2%,74.4%,35.4%
1.55,5.3%,7.0%,57.9%,66.7%,70.8%
1.18,19.5%,2.6%,62.3%,81.3%,44.8%
1.33,18.6%,1.0%,68.0%,81.8%,61.3%
2.21,11.9%,0.0%,59.5%,80.0%,76.5%
1.51,8.8%,3.5%,66.7%,71.1%,68.4%
1.01,19.7%,2.6%,53.8%,77.8%,55.6%
1.49,11.3%,4.8%,69.4%,67.4%,68.4%
1.63,16.3%,0.0%,65.3%,84.4%,58.8%
1.78,11.1%,3.7%,53.7%,82.8%,64.0%
0.83,13.8%,3.1%,63.1%,75.6%,25.0%
1.64,26.8%,2.4%,67.1%,83.6%,66.7%
0.62,10.2%,5.9%,53.4%,63.5%,34.5%
1.24,9.7%,0.0%,53.2%,69.7%,65.5%
2.12,11.4%,0.0%,70.5%,74.2%,76.9%
1.72,4.8%,0.0%,54.8%,82.4%,67.9%
0.93,10.1%,4.6%,54.1%,66.1%,52.0%
1.50,14.3%,4.1%,57.1%,75.0%,52.4%
1.32,15.3%,3.4%,62.7%,81.1%,59.1%
0.37,9.8%,9.8%,55.7%,73.5%,29.6%
1.87,17.8%,2.2%,66.7%,73.3%,73.3%
2.16,22.2%,0.0%,77.8%,82.9%,60.0%
2.14,15.4%,5.1%,56.4%,86.4%,58.8%
3.17,23.3%,2.3%,67.4%,93.1%,71.4%
2.02,26.5%,6.1%,57.1%,92.9%,57.1%
2.20,15.0%,0.0%,72.5%,82.8%,72.7%
1.55,15.3%,5.1%,59.3%,80.0%,54.2%
