DR,A%,DF%,1stIn,1st%,2nd%
0.93,0.0%,2.2%,61.5%,71.4%,45.7%
1.43,10.0%,1.7%,60.0%,86.1%,29.2%
0.74,7.9%,1.3%,65.8%,64.0%,53.8%
0.79,5.9%,2.2%,70.4%,63.2%,47.5%
1.17,5.1%,0.0%,72.2%,77.2%,63.6%
1.26,0.0%,1.4%,81.9%,71.2%,69.2%
1.02,5.6%,4.5%,76.4%,64.7%,47.6%
1.05,4.2%,0.8%,72.9%,66.3%,53.1%
1.30,1.9%,1.0%,61.0%,76.6%,68.3%
1.51,5.6%,1.4%,66.7%,77.1%,54.2%
1.01,2.2%,3.3%,58.9%,60.4%,45.9%
0.71,2.4%,3.6%,53.6%,62.2%,38.5%
1.02,4.9%,2.5%,66.7%,79.6%,48.1%
1.23,6.6%,0.0%,73.7%,78.6%,40.0%
1.46,3.6%,0.0%,67.3%,73.0%,55.6%
2.19,6.5%,0.0%,80.6%,72.0%,50.0%
0.90,2.3%,2.3%,66.3%,59.6%,55.2%
1.21,4.2%,1.4%,66.7%,62.5%,54.2%
1.00,1.1%,1.1%,65.6%,61.0%,74.2%
2.15,9.3%,2.3%,48.8%,95.2%,59.1%
0.62,9.7%,0.0%,66.1%,58.5%,38.1%
1.10,4.4%,4.4%,72.1%,79.6%,36.8%
0.83,1.7%,3.4%,69.5%,65.9%,44.4%
2.57,4.0%,4.0%,72.0%,83.3%,71.4%
1.36,4.8%,3.2%,71.4%,80.0%,72.2%
1.37,8.7%,5.8%,75.4%,88.5%,35.3%
0.92,1.0%,1.0%,57.8%,62.7%,53.5%
1.92,12.0%,0.0%,58.0%,86.2%,71.4%
0.81,10.6%,8.5%,56.4%,71.7%,48.8%
1.35,6.2%,1.5%,60.0%,69.2%,61.5%
1.28,6.1%,1.5%,69.7%,80.4%,55.0%
1.25,1.5%,2.9%,70.6%,70.8%,65.0%
1.17,3.2%,1.6%,65.1%,78.0%,45.5%
0.80,3.5%,3.5%,63.2%,66.7%,38.1%
0.79,1.6%,4.9%,65.6%,50.0%,47.6%
0.70,1.7%,3.4%,61.0%,63.9%,43.5%
0.83,4.7%,3.5%,62.4%,67.9%,53.1%
0.61,7.7%,1.9%,73.1%,63.2%,28.6%
1.20,6.8%,0.0%,62.2%,84.8%,42.9%
0.93,4.4%,1.5%,63.2%,62.8%,56.0%
1.55,7.3%,1.8%,50.9%,78.6%,63.0%
0.91,5.2%,2.6%,72.7%,73.2%,52.4%
0.71,2.0%,4.0%,66.0%,57.6%,47.1%
1.62,8.5%,0.0%,69.5%,75.6%,61.1%
0.57,4.5%,2.7%,68.5%,63.2%,31.4%
1.17,5.8%,3.5%,66.3%,75.4%,51.7%
1.71,0.0%,4.3%,60.9%,78.6%,61.1%
1.18,2.1%,3.1%,60.4%,62.1%,57.9%
0.70,1.4%,1.4%,68.1%,55.1%,47.8%
1.44,0.0%,0.0%,77.6%,71.1%,63.6%
0.64,4.8%,1.6%,62.9%,59.0%,52.2%
1.18,10.5%,3.9%,73.7%,76.8%,55.0%
0.51,3.1%,0.0%,71.9%,65.2%,44.4%
1.90,2.2%,0.0%,71.1%,81.3%,53.8%
1.50,0.0%,0.0%,73.6%,64.1%,42.9%
1.16,2.7%,0.9%,73.2%,75.6%,66.7%
1.00,4.8%,3.6%,56.6%,66.0%,55.6%
0.67,0.0%,2.5%,67.5%,53.7%,34.6%
0.55,2.9%,0.0%,69.6%,60.4%,9.5%
0.98,2.7%,1.8%,66.4%,68.5%,56.8%
1.14,3.5%,1.2%,65.9%,76.8%,41.4%
0.73,2.5%,6.2%,54.3%,63.6%,48.6%
1.00,2.1%,6.4%,70.2%,75.8%,50.0%
0.99,2.2%,1.1%,70.0%,68.3%,40.7%
0.88,2.4%,2.4%,75.9%,65.1%,45.0%
1.13,0.0%,0.0%,71.8%,63.3%,64.5%
0.94,2.2%,4.4%,70.0%,60.3%,48.1%
1.05,1.1%,5.4%,75.0%,65.2%,34.8%
1.81,0.0%,2.1%,68.1%,75.0%,66.7%
1.20,2.7%,0.0%,65.3%,65.3%,69.2%
1.65,2.0%,0.0%,66.7%,76.5%,70.6%
1.00,3.8%,2.5%,68.4%,68.5%,44.0%
0.92,5.1%,6.4%,65.4%,76.5%,37.0%
2.54,10.8%,5.4%,62.2%,87.0%,71.4%
1.51,16.4%,1.8%,50.9%,89.3%,51.9%
0.80,3.0%,3.8%,57.1%,69.7%,52.6%
1.05,7.2%,1.8%,68.5%,67.1%,45.7%
1.72,9.8%,0.0%,51.2%,81.0%,65.0%
0.49,0.0%,1.7%,75.9%,54.5%,50.0%
1.66,0.0%,0.0%,56.6%,76.7%,60.9%
1.79,4.2%,0.0%,70.8%,70.6%,71.4%
1.18,2.5%,0.0%,65.8%,63.5%,51.9%
