DR,A%,DF%,1stIn,1st%,2nd%
1.16,0.0%,4.6%,55.4%,58.3%,55.2%
0.91,5.1%,3.8%,73.1%,66.7%,57.1%
0.77,2.8%,2.8%,63.4%,64.4%,38.5%
0.73,1.7%,1.7%,77.6%,48.9%,38.5%
0.85,0.0%,2.7%,57.3%,51.2%,37.5%
0.85,3.4%,3.4%,61.0%,61.1%,34.8%
0.92,5.2%,5.2%,61.5%,71.2%,43.2%
0.83,2.1%,3.2%,68.1%,62.5%,36.7%
1.05,4.3%,3.2%,64.5%,65.0%,45.5%
1.29,0.0%,3.7%,66.7%,52.8%,61.1%
0.72,8.6%,1.7%,53.4%,67.7%,51.9%
1.56,4.0%,8.0%,56.0%,71.4%,63.6%
0.91,2.0%,5.0%,62.0%,54.8%,47.4%
1.50,2.1%,2.1%,53.2%,60.0%,68.2%
0.53,2.0%,0.0%,79.6%,48.7%,70.0%
1.34,8.6%,5.2%,69.0%,65.0%,61.1%
1.15,4.0%,0.0%,77.2%,70.5%,56.5%
1.93,2.1%,2.1%,68.1%,81.3%,66.7%
0.52,1.1%,2.3%,54.0%,53.2%,37.5%
1.04,5.8%,5.2%,54.8%,75.3%,38.6%
0.58,2.0%,6.1%,63.3%,61.3%,22.2%
1.23,4.3%,7.2%,63.8%,79.5%,44.0%
0.99,3.2%,8.9%,49.2%,72.1%,46.0%
1.02,8.4%,7.5%,57.9%,74.2%,48.9%
0.75,3.0%,9.0%,57.0%,80.7%,46.5%
0.71,0.0%,3.6%,58.2%,56.3%,47.8%
1.24,1.5%,6.0%,49.3%,72.7%,41.2%
0.67,3.7%,3.7%,55.6%,56.7%,45.8%
0.78,0.0%,3.1%,67.2%,53.5%,42.9%
0.44,7.7%,12.8%,53.8%,57.1%,11.1%
0.98,1.1%,1.1%,52.6%,68.0%,37.8%
1.25,3.3%,3.3%,48.9%,60.0%,57.4%
1.46,9.8%,3.9%,62.7%,68.8%,57.9%
0.31,5.7%,3.4%,62.1%,55.6%,42.4%
0.83,1.2%,7.4%,58.0%,57.4%,41.2%
0.96,2.2%,0.0%,72.2%,55.4%,48.0%
1.30,10.5%,5.3%,75.0%,78.9%,21.1%
0.83,0.0%,8.9%,66.3%,62.7%,29.4%
0.87,3.1%,3.1%,70.1%,55.9%,58.6%
1.76,3.8%,1.9%,67.3%,68.6%,76.5%
1.45,1.8%,3.5%,57.9%,84.8%,41.7%
0.71,3.5%,12.3%,56.1%,43.8%,32.0%
0.82,3.1%,7.8%,54.7%,65.7%,62.1%
1.59,2.0%,2.0%,66.7%,73.5%,58.8%
0.78,0.0%,10.2%,67.3%,51.5%,43.8%
1.20,5.6%,1.9%,64.8%,65.7%,47.4%
1.88,0.0%,4.4%,71.1%,78.1%,69.2%
1.37,0.0%,4.3%,78.3%,63.9%,70.0%
1.58,1.9%,5.6%,61.1%,81.8%,61.9%
0.81,3.3%,5.0%,66.7%,62.5%,50.0%
0.74,4.5%,4.5%,66.7%,56.8%,40.9%
0.62,1.9%,3.7%,64.8%,62.9%,47.4%
0.94,1.7%,2.5%,66.4%,63.3%,35.0%
0.89,4.9%,4.9%,56.8%,84.8%,51.4%
1.22,4.9%,0.0%,55.7%,70.6%,66.7%
1.01,2.4%,4.9%,67.1%,65.5%,37.0%
0.60,6.0%,4.5%,65.7%,61.4%,34.8%
0.28,1.9%,7.5%,50.9%,55.6%,57.7%
1.71,4.3%,4.3%,72.3%,79.4%,46.2%
0.83,3.4%,3.4%,59.6%,58.5%,38.9%
0.80,1.2%,3.5%,61.6%,64.2%,36.4%
1.43,9.4%,1.6%,67.2%,67.4%,71.4%
1.26,2.2%,6.7%,68.9%,54.8%,50.0%
0.77,0.0%,5.2%,60.3%,65.7%,43.5%
1.26,0.0%,7.0%,69.0%,69.4%,27.3%
1.01,1.4%,6.8%,56.2%,70.7%,37.5%
1.06,1.2%,8.2%,57.6%,53.1%,44.4%
1.32,9.2%,1.5%,52.3%,70.6%,58.1%
1.56,0.0%,1.6%,56.5%,74.3%,63.0%
1.11,2.4%,3.9%,63.8%,64.2%,30.4%
2.82,2.9%,0.0%,74.3%,80.8%,77.8%
1.11,1.9%,4.6%,59.3%,68.8%,52.3%
1.12,1.1%,7.9%,66.3%,64.4%,40.0%
1.48,3.2%,6.5%,66.1%,78.0%,47.6%
1.14,0.0%,2.2%,69.2%,63.5%,64.3%
1.68,0.0%,7.3%,65.9%,81.5%,50.0%
0.75,5.7%,0.0%,51.4%,44.4%,52.9%
1.34,0.0%,3.4%,60.3%,57.1%,69.6%
0.73,2.9%,3.8%,76.0%,64.6%,32.0%
1.47,4.3%,2.1%,76.6%,69.4%,45.5%
1.09,0.0%,0.0%,69.5%,57.5%,62.5%
1.41,0.0%,5.2%,69.0%,70.0%,55.6%
1.00,2.2%,4.3%,72.8%,67.2%,52.0%
1.41,5.7%,7.1%,61.4%,72.1%,44.4%
1.26,1.5%,4.5%,69.7%,54.3%,60.0%
0.92,0.8%,1.7%,70.2%,61.2%,41.7%
1.58,3.5%,0.0%,66.7%,71.1%,63.2%
1.08,0.0%,3.9%,68.8%,67.0%,42.5%
1.09,2.1%,4.3%,68.1%,59.4%,46.7%
1.25,0.0%,0.0%,72.9%,64.7%,52.6%
1.42,1.7%,3.3%,78.3%,68.1%,30.8%
1.64,2.1%,4.3%,59.6%,71.4%,63.2%
1.83,2.3%,0.0%,65.9%,75.9%,66.7%
0.82,0.0%,4.7%,56.5%,47.9%,35.1%
1.07,2.2%,3.4%,61.8%,61.8%,38.2%
1.10,0.0%,1.3%,66.3%,58.5%,51.9%
0.97,1.9%,2.8%,54.2%,58.6%,53.1%
0.85,4.9%,3.7%,64.6%,60.4%,55.2%
1.72,0.0%,2.3%,61.4%,70.4%,64.7%
1.37,4.2%,2.8%,59.2%,73.8%,48.3%
1.30,1.5%,3.0%,65.2%,58.1%,78.3%
0.79,0.0%,2.9%,60.0%,59.5%,39.3%
1.45,1.6%,4.8%,75.8%,72.3%,46.7%
1.27,1.5%,1.5%,71.2%,61.7%,57.9%
0.69,1.9%,1.9%,62.3%,57.6%,25.0%
1.28,0.0%,0.0%,83.1%,67.3%,30.0%
1.07,0.0%,1.3%,70.0%,67.9%,50.0%
0.81,1.2%,1.2%,93.8%,56.6%,40.0%
1.43,4.0%,0.0%,88.0%,68.2%,33.3%
1.00,0.0%,3.3%,74.4%,55.2%,52.2%
0.47,4.1%,2.0%,65.3%,62.5%,41.2%
0.88,1.0%,0.0%,75.8%,68.0%,58.3%
1.54,1.8%,1.8%,71.9%,70.7%,62.5%
0.57,0.0%,5.3%,52.6%,50.0%,37.0%
0.44,0.0%,6.8%,59.1%,34.6%,44.4%
0.92,1.9%,9.3%,61.1%,57.6%,57.1%
0.82,2.3%,3.0%,57.9%,61.0%,42.9%
0.94,3.0%,2.0%,71.0%,69.0%,69.0%
0.47,0.0%,4.7%,62.8%,40.7%,43.8%
1.07,2.8%,5.6%,67.6%,70.8%,43.5%
0.74,2.9%,5.9%,70.6%,47.9%,30.0%
1.17,1.1%,5.6%,65.6%,67.8%,45.2%
1.19,0.0%,2.1%,66.3%,57.1%,59.4%
0.64,1.6%,3.3%,72.1%,59.1%,58.8%
0.47,3.1%,0.0%,72.3%,55.3%,50.0%
0.84,0.0%,3.4%,72.9%,69.8%,43.8%
0.54,1.5%,1.5%,80.3%,54.7%,53.8%
1.04,1.1%,1.1%,83.1%,58.1%,66.7%
0.82,2.9%,2.9%,74.3%,62.5%,52.8%
1.15,0.0%,3.1%,76.9%,56.0%,66.7%
1.22,0.0%,2.5%,62.5%,64.0%,53.3%
0.45,0.0%,2.5%,80.0%,40.6%,37.5%
0.94,0.9%,1.8%,71.8%,55.7%,58.1%
1.07,0.0%,3.5%,72.9%,61.3%,43.5%
1.34,0.0%,0.0%,88.7%,57.4%,66.7%
0.80,0.0%,2.5%,71.6%,55.2%,26.1%
0.98,0.0%,2.4%,77.6%,53.0%,47.4%
1.41,3.6%,3.6%,75.0%,73.8%,57.1%
0.53,0.0%,3.6%,60.0%,42.4%,36.4%
1.07,0.0%,3.3%,60.0%,58.3%,50.0%
1.31,4.3%,1.4%,62.3%,67.4%,53.8%
