DR,A%,DF%,1stIn,1st%,2nd%
1.03,9.6%,6.0%,56.6%,55.3%,61.1%
0.39,10.8%,13.5%,62.2%,65.2%,21.4%
0.83,3.6%,7.1%,59.8%,65.7%,51.1%
1.22,14.9%,4.1%,62.2%,89.1%,39.3%
0.50,6.9%,5.2%,50.0%,72.4%,34.5%
0.88,6.6%,2.6%,55.3%,71.4%,67.6%
1.70,9.7%,6.5%,54.8%,91.2%,71.4%
0.51,14.6%,4.2%,61.5%,66.1%,43.2%
1.46,23.5%,2.0%,56.9%,75.9%,59.1%
1.59,9.3%,11.1%,61.1%,81.8%,52.4%
1.16,16.2%,7.4%,63.2%,81.4%,48.0%
1.38,16.4%,8.2%,58.9%,79.1%,60.0%
0.80,4.5%,6.0%,52.2%,74.3%,50.0%
0.38,7.3%,10.9%,63.6%,65.7%,45.0%
0.88,4.7%,2.8%,61.3%,60.0%,46.3%
1.29,4.8%,7.9%,50.8%,78.1%,64.5%
0.69,12.1%,6.1%,56.6%,71.4%,41.9%
0.73,4.1%,2.7%,48.6%,75.0%,39.5%
0.91,6.5%,12.9%,56.5%,62.9%,40.7%
0.96,14.9%,2.3%,52.9%,82.6%,51.2%
0.82,11.3%,3.8%,61.3%,65.3%,58.1%
0.88,4.3%,4.3%,57.3%,59.7%,46.0%
0.69,5.5%,12.7%,45.5%,64.0%,46.7%
1.02,8.4%,5.6%,56.1%,73.3%,46.8%
2.04,15.9%,2.3%,59.1%,92.3%,50.0%
1.44,8.8%,5.3%,61.4%,77.1%,59.1%
1.11,13.6%,1.1%,51.1%,84.4%,48.8%
1.30,16.2%,5.4%,66.2%,73.5%,56.0%
1.14,24.4%,4.4%,66.7%,81.7%,43.3%
1.53,11.8%,5.9%,64.7%,81.8%,44.4%
2.63,27.7%,0.0%,68.1%,81.3%,93.3%
1.09,18.4%,2.6%,52.6%,92.5%,44.4%
1.40,20.5%,2.4%,67.5%,83.9%,40.7%
1.57,20.0%,4.0%,70.0%,82.9%,60.0%
1.05,12.9%,4.0%,62.4%,71.4%,44.7%
1.34,9.4%,5.9%,64.7%,76.4%,46.7%
0.83,2.9%,4.3%,62.9%,63.6%,42.3%
0.97,0.0%,2.6%,70.5%,61.8%,56.5%
0.67,5.8%,2.9%,52.2%,69.4%,45.5%
0.36,5.3%,10.5%,52.6%,30.0%,22.2%
1.59,10.8%,4.6%,56.9%,81.1%,67.9%
