DR,A%,DF%,1stIn,1st%,2nd%
1.27,1.4%,12.5%,54.2%,66.7%,54.5%
1.01,1.7%,4.3%,56.4%,57.6%,43.1%
0.69,5.9%,4.4%,50.0%,70.6%,38.2%
0.96,4.0%,5.6%,50.4%,69.8%,46.8%
1.12,3.8%,5.1%,48.7%,71.1%,52.5%
0.91,2.8%,3.7%,60.2%,64.6%,51.2%
0.61,3.6%,3.6%,65.5%,50.0%,47.4%
1.27,3.9%,3.9%,66.7%,61.8%,58.8%
0.67,2.6%,3.9%,68.8%,58.5%,41.7%
0.65,1.6%,6.3%,53.1%,58.8%,46.7%
0.92,2.9%,0.0%,62.9%,63.6%,61.5%
0.45,1.3%,1.3%,63.6%,55.1%,32.1%
1.16,4.4%,4.4%,51.1%,70.0%,47.8%
0.74,4.2%,3.1%,62.5%,55.0%,55.6%
1.17,4.1%,8.2%,47.9%,80.0%,47.4%
0.72,5.0%,5.0%,65.0%,56.4%,52.4%
2.13,6.7%,2.2%,31.1%,85.7%,77.4%
0.87,2.0%,3.9%,50.0%,66.7%,37.3%
2.92,8.1%,2.7%,54.1%,85.0%,70.6%
1.26,10.7%,1.8%,53.6%,63.3%,73.1%
1.22,7.0%,1.4%,59.2%,81.0%,55.2%
2.12,9.9%,4.2%,67.6%,89.6%,78.3%
0.48,0.0%,6.0%,42.0%,42.9%,34.5%
1.87,14.0%,2.3%,55.8%,83.3%,63.2%
1.60,6.3%,2.1%,41.7%,85.0%,60.7%
1.11,0.0%,5.1%,64.1%,62.0%,53.6%
1.47,5.0%,3.3%,53.3%,81.3%,53.6%
1.11,6.1%,4.9%,52.4%,62.8%,48.7%
1.08,2.2%,7.9%,50.6%,71.1%,47.7%
0.94,1.0%,2.9%,68.0%,55.7%,51.5%
0.73,6.1%,6.1%,47.0%,67.7%,40.0%
1.27,1.4%,7.0%,50.7%,69.4%,54.3%
0.74,4.1%,1.0%,67.0%,64.6%,50.0%
0.57,7.4%,3.7%,56.8%,69.6%,37.1%
1.21,5.0%,4.0%,57.0%,70.2%,53.5%
1.20,2.5%,3.7%,56.8%,84.8%,54.3%
1.34,2.8%,6.9%,48.6%,65.7%,62.2%
1.13,2.9%,2.0%,62.7%,67.2%,57.9%
3.72,25.0%,0.0%,59.4%,94.7%,76.9%
1.67,9.4%,5.7%,45.3%,91.7%,65.5%
0.87,6.4%,2.6%,46.2%,77.8%,52.4%
0.73,2.9%,1.9%,61.2%,71.4%,57.5%
0.77,1.8%,10.5%,56.1%,59.4%,32.0%
1.03,5.1%,4.3%,51.3%,71.7%,50.9%
1.03,5.8%,1.9%,71.2%,67.6%,46.7%
0.82,3.3%,2.2%,61.1%,56.4%,65.7%
0.74,2.2%,2.2%,57.8%,71.2%,44.7%
1.27,4.2%,4.2%,55.6%,72.5%,46.9%
1.34,1.4%,0.0%,55.1%,65.8%,67.7%
1.21,10.1%,1.4%,65.2%,57.8%,66.7%
1.13,0.0%,1.3%,58.8%,70.2%,39.4%
1.11,4.8%,3.2%,58.7%,81.1%,46.2%
0.92,3.7%,0.0%,63.0%,73.5%,45.0%
0.71,0.0%,5.1%,50.8%,66.7%,37.9%
0.81,3.3%,8.7%,62.0%,52.6%,42.9%
