DR,A%,DF%,1stIn,1st%,2nd%
0.88,8.3%,5.2%,53.1%,70.6%,37.8%
0.69,1.1%,2.1%,63.2%,51.7%,34.3%
1.47,5.1%,5.1%,54.2%,71.9%,70.4%
0.53,2.1%,0.0%,66.7%,50.0%,43.8%
1.53,2.1%,2.1%,57.4%,81.5%,55.0%
1.89,9.3%,2.3%,67.4%,79.3%,64.3%
2.76,5.6%,0.0%,47.2%,76.5%,84.2%
0.82,1.4%,5.6%,60.6%,67.4%,42.9%
0.91,6.5%,8.1%,38.7%,75.0%,50.0%
0.74,8.5%,4.2%,54.9%,66.7%,43.8%
1.16,2.8%,6.9%,63.9%,58.7%,53.8%
0.85,2.2%,3.3%,69.6%,60.9%,57.1%
0.86,7.7%,5.8%,53.8%,85.7%,37.5%
0.81,1.6%,6.3%,71.9%,69.6%,50.0%
2.01,10.0%,7.5%,65.0%,76.9%,64.3%
0.65,4.8%,4.8%,69.0%,55.2%,15.4%
1.37,9.8%,3.3%,45.9%,71.4%,69.7%
0.69,4.5%,1.5%,50.7%,61.8%,63.6%
1.02,1.5%,11.8%,50.0%,76.5%,44.1%
1.30,11.8%,6.5%,57.0%,86.8%,57.5%
1.31,14.8%,3.3%,50.8%,87.1%,50.0%
0.99,3.5%,2.4%,56.5%,79.2%,48.6%
0.41,8.1%,9.7%,54.8%,64.7%,35.7%
0.70,9.6%,1.8%,46.5%,66.0%,59.0%
0.63,6.3%,3.1%,43.8%,78.6%,38.9%
0.71,6.8%,5.5%,45.2%,72.7%,42.5%
0.61,4.3%,6.5%,50.0%,43.5%,43.5%
1.24,7.1%,6.0%,54.8%,80.4%,52.6%
1.25,17.8%,5.5%,49.3%,77.8%,56.8%
0.79,5.2%,6.2%,49.5%,70.8%,38.8%
0.86,0.0%,10.4%,46.8%,66.7%,41.5%
1.01,13.6%,4.9%,51.5%,77.4%,56.0%
