DR,A%,DF%,1stIn,1st%,2nd%
0.64,2.2%,11.1%,55.6%,72.0%,25.0%
1.04,7.2%,3.1%,67.0%,73.8%,53.1%
0.90,1.4%,1.4%,67.1%,69.4%,70.8%
2.10,5.8%,3.8%,71.2%,78.4%,60.0%
1.24,5.9%,1.2%,80.0%,73.5%,52.9%
1.20,9.0%,0.0%,74.6%,76.0%,47.1%
0.66,2.7%,2.7%,60.8%,55.6%,51.7%
1.14,6.2%,6.2%,60.0%,69.2%,57.7%
1.72,6.1%,4.1%,59.2%,82.8%,55.0%
0.80,2.2%,2.2%,53.3%,65.3%,48.8%
1.56,5.2%,0.0%,65.5%,76.3%,70.0%
0.71,9.3%,5.6%,68.5%,78.4%,41.2%
0.98,2.5%,5.1%,60.8%,60.4%,61.3%
0.76,6.2%,2.5%,64.2%,65.4%,51.7%
0.88,0.9%,7.1%,70.5%,65.8%,36.4%
1.53,1.8%,3.6%,63.6%,77.1%,65.0%
1.01,5.9%,6.9%,66.7%,67.6%,44.1%
1.32,4.5%,1.5%,62.7%,73.8%,56.0%
1.41,7.5%,0.0%,66.0%,71.4%,61.1%
1.09,6.3%,10.1%,68.4%,68.5%,52.0%
1.21,3.4%,0.0%,66.7%,67.2%,44.8%
0.68,0.0%,3.1%,63.1%,48.8%,33.3%
1.01,4.0%,3.0%,62.4%,73.0%,44.7%
0.92,2.1%,0.0%,66.0%,51.6%,62.5%
1.24,5.8%,4.7%,67.4%,72.4%,42.9%
1.00,2.9%,2.9%,61.9%,64.6%,55.0%
1.01,1.2%,4.8%,62.7%,63.5%,48.4%
1.21,5.4%,4.3%,64.1%,69.5%,63.6%
0.61,1.6%,0.0%,50.8%,62.5%,41.9%
1.05,4.1%,5.2%,59.8%,74.1%,46.2%
0.60,0.0%,1.6%,67.2%,65.9%,50.0%
1.07,0.0%,1.0%,72.4%,62.0%,55.6%
1.19,6.8%,0.0%,66.2%,69.4%,52.0%
0.96,1.9%,2.9%,64.4%,65.7%,48.6%
0.93,3.7%,2.4%,64.6%,64.2%,44.8%
0.94,1.9%,1.9%,58.7%,57.4%,53.5%
0.86,8.7%,7.2%,56.5%,74.4%,40.0%
0.85,1.2%,2.4%,65.9%,50.0%,35.7%
0.34,0.0%,2.6%,73.7%,35.7%,10.0%
1.21,1.4%,1.4%,61.1%,65.9%,60.7%
1.09,0.8%,3.1%,61.4%,57.7%,59.2%
1.20,1.0%,3.8%,56.2%,64.4%,54.3%
0.67,1.8%,1.8%,67.3%,51.4%,38.9%
0.90,1.6%,3.2%,44.4%,67.9%,54.3%
0.58,1.7%,3.3%,60.0%,58.3%,41.7%
0.73,3.1%,1.0%,67.7%,70.8%,58.1%
1.89,5.8%,0.0%,63.5%,72.7%,68.4%
1.18,4.0%,2.0%,67.7%,64.2%,43.8%
1.89,11.5%,3.8%,71.2%,81.1%,66.7%
0.40,0.0%,11.9%,50.0%,52.4%,28.6%
1.04,5.3%,8.0%,55.8%,69.8%,36.0%
1.03,6.0%,4.5%,58.2%,66.7%,60.7%
0.65,2.7%,8.2%,54.8%,67.5%,51.5%
0.54,3.1%,3.1%,66.2%,60.5%,54.5%
1.77,7.1%,2.9%,75.7%,79.2%,70.6%
1.24,3.2%,4.8%,62.9%,66.7%,56.5%
0.76,5.3%,3.9%,63.2%,72.9%,53.6%
0.60,5.3%,2.6%,73.7%,67.9%,30.0%
0.96,2.5%,0.8%,68.9%,65.9%,62.2%
0.53,0.0%,8.3%,58.3%,54.3%,48.0%
0.80,7.7%,2.9%,63.5%,68.2%,55.3%
2.12,10.0%,8.0%,60.0%,90.0%,70.0%
0.92,10.3%,2.3%,59.8%,67.3%,48.6%
1.20,4.2%,1.4%,60.6%,83.7%,50.0%
0.62,6.1%,7.6%,68.2%,64.4%,28.6%
1.80,7.1%,2.4%,54.8%,78.3%,63.2%
1.27,4.5%,3.0%,62.7%,85.7%,68.0%
0.90,3.0%,3.0%,63.4%,52.9%,55.1%
0.67,5.3%,2.7%,56.0%,85.7%,48.5%
1.46,1.5%,4.5%,65.2%,74.4%,56.5%
1.01,2.3%,1.5%,65.6%,58.1%,48.9%
1.62,6.8%,0.0%,68.2%,66.7%,64.3%
1.03,4.6%,9.2%,73.8%,77.1%,41.2%
1.77,3.8%,1.9%,62.3%,69.7%,65.0%
0.97,5.3%,6.6%,59.2%,73.3%,51.6%
1.25,1.9%,4.9%,65.0%,74.6%,58.3%
1.13,2.2%,4.5%,70.8%,69.8%,53.8%
1.25,5.5%,4.1%,65.8%,77.1%,44.0%
1.42,4.7%,1.6%,65.6%,73.8%,54.5%
1.15,6.4%,4.3%,68.1%,59.4%,63.3%
0.99,6.3%,6.3%,64.6%,75.8%,50.0%
0.39,1.8%,7.1%,60.7%,52.9%,40.9%
1.45,7.0%,5.3%,63.2%,80.6%,38.1%
2.86,0.0%,0.0%,53.3%,75.0%,85.7%
0.84,1.8%,3.7%,63.3%,68.1%,42.5%
0.97,13.2%,5.5%,69.2%,71.4%,50.0%
0.97,4.3%,4.3%,62.0%,71.9%,34.3%
0.86,7.1%,7.1%,58.6%,70.7%,43.9%
1.07,11.1%,1.9%,75.0%,77.8%,63.0%
0.88,1.3%,3.8%,65.8%,76.9%,40.7%
0.92,3.7%,4.9%,56.8%,63.0%,48.6%
1.85,2.0%,4.1%,46.9%,87.0%,65.4%
1.06,5.1%,6.0%,59.8%,61.4%,48.9%
0.66,7.8%,3.1%,53.1%,70.6%,56.7%
0.81,0.0%,2.7%,67.1%,53.1%,41.7%
1.66,5.6%,3.7%,70.4%,65.8%,68.8%
1.34,0.0%,6.7%,53.3%,56.3%,57.1%
1.71,1.6%,0.0%,64.1%,73.2%,78.3%
0.97,1.8%,0.9%,63.4%,64.8%,46.3%
1.56,2.0%,0.0%,59.2%,69.0%,85.0%
1.30,7.8%,0.0%,64.7%,81.8%,55.6%
1.39,11.3%,2.5%,73.8%,79.7%,57.1%
2.08,14.6%,0.0%,80.5%,75.8%,62.5%
1.06,7.9%,1.0%,70.3%,77.5%,56.7%
1.35,3.8%,5.7%,73.6%,74.4%,50.0%
1.52,6.2%,1.5%,66.2%,69.8%,59.1%
0.71,2.4%,6.0%,71.1%,54.2%,45.8%
0.63,4.1%,5.4%,63.5%,66.0%,51.9%
0.42,2.9%,2.9%,62.9%,40.9%,30.8%
1.43,9.9%,5.6%,53.5%,78.9%,57.6%
1.96,19.5%,7.3%,65.9%,81.5%,57.1%
1.20,6.7%,4.0%,56.0%,73.8%,48.5%
1.40,11.5%,4.6%,57.5%,80.0%,59.5%
1.27,2.6%,3.9%,48.1%,73.0%,57.5%
0.87,9.8%,4.9%,56.1%,73.9%,41.7%
2.08,20.5%,2.3%,65.9%,82.8%,66.7%
1.14,10.1%,2.5%,59.5%,72.3%,43.8%
2.74,6.8%,2.3%,52.3%,91.3%,76.2%
1.01,5.7%,3.8%,62.3%,69.7%,42.5%
0.94,6.7%,1.7%,65.8%,68.4%,51.2%
1.42,3.8%,3.8%,71.2%,70.3%,60.0%
1.42,3.8%,5.8%,61.5%,71.9%,65.0%
0.74,3.2%,6.5%,56.5%,74.3%,37.0%
0.56,1.3%,5.0%,53.8%,69.8%,51.4%
0.81,0.0%,1.2%,61.9%,59.6%,37.5%
0.92,3.3%,4.4%,58.2%,62.3%,47.4%
1.89,4.3%,4.3%,60.9%,75.0%,61.1%
0.89,1.1%,4.3%,58.7%,77.8%,44.7%
1.13,4.3%,4.3%,58.6%,68.3%,37.9%
0.62,2.6%,5.3%,57.9%,50.0%,43.8%
0.60,1.6%,6.6%,67.2%,63.4%,40.0%
0.98,2.7%,2.7%,58.9%,67.4%,40.0%
0.69,1.8%,7.0%,54.4%,71.0%,46.2%
0.70,3.6%,5.4%,44.6%,76.0%,41.9%
1.75,8.3%,4.2%,72.9%,71.4%,61.5%
0.88,3.9%,5.2%,62.3%,67.7%,43.1%
0.78,5.6%,1.9%,68.5%,75.7%,64.7%
0.91,7.2%,1.2%,67.5%,73.2%,63.0%
0.80,9.4%,0.0%,66.0%,80.0%,72.2%
0.80,3.6%,0.0%,72.3%,65.4%,61.3%
0.72,2.6%,5.2%,55.8%,67.4%,41.2%
0.89,1.2%,2.4%,66.7%,51.8%,53.6%
0.58,1.4%,4.2%,57.7%,63.4%,56.7%
1.75,5.5%,7.3%,50.9%,85.7%,55.6%
0.75,7.1%,0.0%,64.3%,63.9%,55.0%
