DR,A%,DF%,1stIn,1st%,2nd%
1.04,9.0%,2.6%,64.1%,78.0%,60.7%
1.44,22.2%,1.9%,61.1%,81.8%,66.7%
1.21,20.8%,1.3%,72.7%,75.0%,47.6%
0.77,17.6%,6.9%,69.6%,71.8%,41.9%
0.72,3.4%,8.6%,72.4%,61.9%,37.5%
0.67,13.9%,3.3%,67.2%,63.4%,37.5%
1.10,9.1%,4.5%,64.8%,63.2%,58.1%
1.18,3.9%,5.9%,56.9%,65.5%,50.0%
1.26,7.8%,3.1%,68.8%,81.8%,50.0%
0.66,6.8%,10.2%,57.6%,61.8%,32.0%
0.78,11.2%,6.5%,57.0%,73.8%,50.0%
0.82,2.3%,1.1%,62.1%,66.7%,51.5%
0.59,6.7%,3.3%,67.8%,72.1%,48.3%
0.97,7.8%,2.9%,67.0%,59.4%,55.9%
1.50,20.0%,5.7%,71.4%,86.0%,50.0%
1.19,10.2%,1.7%,57.6%,73.5%,56.0%
0.47,0.0%,0.0%,56.4%,27.3%,35.3%
1.64,10.9%,3.6%,63.6%,82.9%,55.0%
0.70,4.3%,2.9%,59.4%,58.5%,42.9%
1.20,2.1%,1.1%,64.9%,70.5%,63.6%
0.72,6.1%,1.0%,70.7%,67.1%,37.9%
1.10,10.2%,2.3%,72.7%,76.3%,57.1%
1.17,13.2%,7.4%,66.2%,64.4%,52.2%
1.15,12.3%,3.7%,65.4%,69.8%,50.0%
1.30,5.9%,7.4%,45.6%,77.4%,54.1%
0.84,5.8%,1.4%,66.7%,58.7%,60.9%
0.91,12.8%,4.7%,57.0%,71.4%,43.2%
1.21,11.0%,2.7%,54.8%,77.5%,69.7%
1.91,10.2%,0.0%,79.6%,84.6%,70.0%
2.56,12.2%,0.0%,78.0%,84.4%,66.7%
1.85,15.6%,6.7%,55.6%,80.0%,65.0%
0.86,5.6%,7.9%,58.4%,75.0%,48.6%
1.29,9.8%,2.4%,67.1%,74.5%,55.6%
0.93,10.1%,2.5%,70.9%,64.3%,43.5%
0.82,3.7%,5.6%,63.0%,73.5%,45.0%
1.72,11.3%,0.0%,71.7%,81.6%,60.0%
1.00,2.9%,3.6%,64.0%,66.3%,56.0%
2.01,15.2%,2.2%,69.6%,84.4%,57.1%
1.51,7.3%,1.2%,68.3%,69.6%,73.1%
2.33,11.9%,4.8%,69.0%,82.8%,69.2%
1.46,14.1%,2.4%,62.4%,81.1%,62.5%
0.67,8.6%,4.3%,67.1%,68.1%,43.5%
1.12,7.9%,3.0%,66.3%,80.6%,47.1%
0.80,1.7%,3.4%,62.1%,61.1%,22.7%
1.43,1.5%,4.6%,63.1%,65.9%,58.3%
0.64,1.8%,1.8%,68.4%,64.1%,33.3%
0.99,6.3%,2.7%,71.2%,73.4%,59.4%
1.01,6.7%,2.7%,66.7%,74.0%,44.0%
0.53,14.1%,0.0%,70.5%,60.0%,52.2%
0.74,0.0%,4.9%,55.7%,58.8%,29.6%
1.17,3.9%,1.3%,61.0%,68.1%,33.3%
0.59,0.0%,5.3%,56.1%,56.3%,40.0%
0.50,6.8%,6.8%,52.3%,69.6%,28.6%
0.72,7.2%,6.0%,60.2%,78.0%,69.7%
0.73,5.0%,0.0%,62.5%,72.0%,50.0%
1.29,8.2%,3.3%,59.0%,75.0%,60.0%
1.10,4.4%,4.4%,69.9%,60.8%,44.1%
0.47,9.1%,5.5%,58.2%,65.6%,43.5%
1.00,7.3%,7.3%,60.5%,73.3%,46.9%
0.55,4.1%,2.0%,57.1%,60.7%,38.1%
1.01,10.8%,7.5%,58.1%,79.6%,41.0%
0.82,3.0%,1.5%,62.1%,56.1%,48.0%
0.62,8.6%,6.9%,63.8%,64.9%,33.3%
0.62,6.6%,3.3%,62.3%,69.7%,47.8%
0.71,6.5%,3.2%,67.7%,76.2%,55.0%
1.22,7.4%,2.5%,58.0%,74.5%,67.6%
1.92,11.8%,3.9%,58.8%,83.3%,61.9%
0.64,6.3%,6.3%,56.3%,66.7%,33.3%
0.76,12.5%,10.2%,52.3%,65.2%,59.5%
1.48,24.0%,2.7%,60.0%,82.2%,73.3%
0.54,12.3%,3.1%,61.5%,77.5%,56.0%
