DR,A%,DF%,1stIn,1st%,2nd%
1.12,20.3%,6.3%,59.5%,87.2%,40.6%
0.91,18.3%,6.1%,57.4%,68.2%,40.8%
1.13,13.9%,5.1%,54.4%,76.7%,41.7%
1.46,14.3%,7.1%,53.6%,82.2%,59.0%
2.15,11.6%,11.6%,44.2%,89.5%,66.7%
1.10,6.8%,5.4%,56.8%,76.2%,56.3%
1.13,13.5%,10.8%,44.6%,84.8%,46.3%
1.45,9.8%,4.9%,55.7%,79.4%,51.9%
1.30,14.8%,6.6%,54.1%,84.8%,46.4%
1.78,26.8%,1.8%,62.5%,82.9%,61.9%
0.85,1.3%,1.3%,69.7%,67.9%,56.5%
1.47,8.4%,3.2%,60.0%,73.7%,73.7%
1.32,11.5%,0.9%,53.1%,78.3%,71.7%
0.57,14.6%,6.3%,54.2%,96.2%,40.9%
0.70,17.9%,7.1%,55.4%,83.9%,48.0%
1.20,15.7%,7.2%,57.8%,68.8%,51.4%
0.82,11.8%,5.3%,57.9%,86.4%,43.8%
1.18,18.8%,7.2%,43.5%,86.7%,53.8%
1.36,28.6%,3.6%,60.7%,79.4%,54.5%
0.69,13.3%,5.0%,56.7%,76.5%,46.2%
0.71,11.3%,5.6%,47.9%,64.7%,43.2%
1.11,14.2%,4.7%,67.0%,80.3%,57.1%
1.36,15.5%,5.2%,65.5%,78.9%,35.0%
0.46,4.0%,8.0%,62.0%,38.7%,31.6%
0.55,6.7%,10.0%,61.7%,67.6%,39.1%
1.66,15.0%,0.0%,68.3%,75.6%,73.7%
0.93,15.8%,2.3%,73.7%,73.5%,57.1%
1.42,13.8%,1.5%,72.3%,83.0%,50.0%
1.50,14.1%,0.0%,60.9%,71.8%,72.0%
0.96,8.5%,2.6%,61.5%,72.2%,40.0%
1.05,20.0%,1.4%,71.4%,86.0%,45.0%
0.75,12.6%,4.6%,62.1%,77.8%,54.5%
0.57,6.7%,3.8%,52.9%,67.3%,40.8%
0.68,7.1%,2.4%,48.8%,73.2%,37.2%
0.56,10.8%,3.1%,60.0%,61.5%,46.2%
0.39,1.2%,4.8%,55.4%,65.2%,37.8%
0.70,14.1%,3.1%,56.3%,75.0%,46.4%
0.73,6.9%,1.4%,68.1%,63.3%,43.5%
1.04,8.5%,1.1%,56.4%,79.2%,58.5%
0.83,3.1%,4.7%,59.4%,63.2%,61.5%
1.29,12.8%,5.5%,57.8%,88.9%,56.5%
0.92,5.4%,5.4%,48.6%,75.0%,42.1%
1.07,10.3%,1.1%,51.7%,73.3%,52.4%
1.10,14.9%,1.1%,59.6%,73.2%,50.0%
1.17,8.8%,4.4%,64.7%,63.6%,62.5%
1.22,8.1%,7.2%,53.2%,79.7%,46.2%
0.65,11.6%,2.9%,59.4%,68.3%,53.6%
1.54,15.8%,3.9%,65.8%,88.0%,46.2%
1.29,7.4%,2.9%,67.6%,73.9%,63.6%
1.49,5.5%,0.0%,50.7%,86.5%,55.6%
1.81,7.3%,1.8%,56.4%,71.0%,66.7%
0.97,10.4%,7.8%,59.7%,76.1%,51.6%
0.80,20.9%,4.4%,58.2%,81.1%,44.7%
2.65,23.1%,0.0%,66.7%,84.6%,76.9%
1.34,21.9%,4.1%,68.5%,88.0%,43.5%
1.02,12.4%,3.1%,54.6%,73.6%,43.2%
1.10,16.0%,0.9%,70.8%,76.0%,61.3%
1.10,12.5%,6.3%,58.9%,69.7%,58.7%
1.45,6.3%,4.7%,60.9%,84.6%,64.0%
1.29,8.6%,6.7%,58.1%,85.2%,47.7%
0.69,23.4%,1.3%,66.2%,74.5%,42.3%
0.68,5.9%,2.0%,67.6%,66.7%,60.6%
1.39,13.1%,0.0%,65.6%,82.5%,47.6%
1.11,20.2%,1.9%,60.6%,73.0%,46.3%
1.04,0.0%,4.9%,65.4%,75.5%,46.4%
0.82,10.3%,4.4%,58.8%,60.0%,46.4%
1.27,14.5%,1.6%,54.8%,79.4%,53.6%
1.26,12.5%,1.0%,61.5%,83.1%,48.6%
0.87,8.6%,4.9%,63.0%,74.5%,40.0%
1.05,10.6%,4.7%,56.5%,77.1%,54.1%
0.88,10.1%,3.8%,54.4%,74.4%,36.1%
1.53,10.3%,3.4%,56.9%,84.8%,56.0%
1.02,2.4%,2.4%,57.6%,57.1%,63.9%
1.02,11.3%,3.2%,62.9%,82.1%,47.8%
0.90,6.3%,3.6%,56.3%,65.1%,53.1%
2.29,7.7%,5.1%,59.0%,82.6%,62.5%
0.92,4.8%,1.6%,58.7%,70.3%,42.3%
0.70,12.0%,2.4%,61.4%,76.5%,31.3%
1.27,16.7%,2.8%,59.7%,90.7%,51.7%
1.27,4.5%,1.8%,68.2%,74.7%,54.3%
0.98,18.7%,2.7%,57.3%,83.7%,34.4%
0.92,7.6%,1.5%,59.1%,79.5%,51.9%
1.25,10.5%,4.7%,55.8%,77.1%,50.0%
0.75,5.9%,2.4%,68.2%,72.4%,37.0%
1.03,2.0%,3.0%,63.0%,66.7%,45.9%
0.77,7.7%,7.7%,44.6%,55.2%,50.0%
0.70,14.8%,8.2%,55.7%,76.5%,48.1%
0.96,7.1%,10.7%,46.4%,79.5%,37.8%
1.02,18.8%,8.9%,51.5%,82.7%,46.9%
2.07,14.9%,3.0%,55.2%,97.3%,70.0%
1.05,9.2%,7.1%,63.3%,66.1%,58.3%
1.35,15.0%,5.0%,53.3%,68.8%,64.3%
1.12,20.8%,4.2%,65.8%,78.5%,48.8%
1.61,12.9%,1.6%,53.2%,87.9%,65.5%
1.14,14.8%,4.9%,66.7%,72.2%,44.4%
1.60,18.0%,2.0%,68.0%,88.2%,62.5%
1.32,8.3%,3.1%,61.5%,79.7%,67.6%
0.71,2.0%,5.9%,59.4%,60.0%,58.5%
1.20,21.7%,4.8%,60.2%,84.0%,54.5%
1.58,10.1%,2.9%,52.2%,86.1%,54.5%
0.68,8.3%,4.2%,50.0%,70.8%,29.2%
0.90,2.7%,10.8%,52.7%,71.8%,40.0%
1.11,8.9%,4.0%,61.4%,75.8%,69.2%
1.11,11.0%,4.1%,58.9%,83.7%,53.3%
1.32,4.6%,9.2%,53.8%,85.7%,36.7%
1.10,14.4%,3.3%,58.9%,81.1%,54.1%
1.26,6.7%,4.5%,62.9%,75.0%,48.5%
0.87,5.7%,6.6%,52.5%,79.7%,43.1%
1.08,12.8%,7.0%,55.8%,70.8%,65.8%
0.56,3.0%,3.0%,57.6%,68.4%,53.6%
1.18,18.4%,5.3%,55.3%,76.2%,58.8%
1.36,14.1%,2.8%,66.2%,76.6%,54.2%
