DR,A%,DF%,1stIn,1st%,2nd%
1.02,10.0%,9.0%,54.0%,68.5%,37.0%
2.45,5.0%,5.0%,72.5%,86.2%,63.6%
1.70,0.0%,4.4%,68.9%,77.4%,50.0%
1.19,3.1%,4.6%,60.0%,74.4%,50.0%
1.27,8.5%,1.4%,64.8%,76.1%,40.0%
1.35,4.9%,7.4%,70.4%,77.2%,50.0%
1.70,5.8%,3.8%,63.5%,72.7%,63.2%
0.90,9.8%,4.9%,64.6%,64.2%,31.0%
0.31,0.0%,25.0%,50.0%,0.0%,0.0%
0.98,11.5%,6.9%,58.6%,68.6%,41.7%
1.70,13.5%,5.8%,65.4%,76.5%,50.0%
1.67,15.4%,9.6%,63.5%,87.9%,47.4%
0.83,5.2%,7.8%,68.8%,69.8%,41.7%
0.94,9.9%,7.4%,71.6%,72.4%,26.1%
1.06,12.0%,3.6%,71.1%,76.3%,41.7%
1.09,8.6%,2.2%,64.5%,68.3%,63.6%
1.22,7.8%,6.3%,68.8%,68.2%,30.0%
0.83,0.0%,13.2%,52.8%,71.4%,32.0%
1.96,11.4%,4.5%,61.4%,77.8%,70.6%
0.55,4.5%,4.5%,72.7%,70.8%,22.2%
0.75,6.2%,6.2%,64.6%,69.0%,47.8%
0.81,2.7%,5.4%,62.2%,80.4%,28.6%
0.73,1.5%,1.5%,74.5%,59.8%,48.6%
0.96,0.9%,4.7%,77.4%,62.2%,37.5%
0.95,3.4%,5.2%,67.2%,56.4%,52.6%
1.07,5.0%,15.0%,70.0%,71.4%,16.7%
0.32,6.0%,10.0%,68.0%,64.7%,37.5%
0.73,6.2%,6.2%,56.9%,54.1%,57.1%
1.06,7.6%,4.3%,63.0%,74.1%,55.9%
1.80,7.0%,8.8%,71.9%,85.4%,62.5%
1.19,2.4%,5.9%,67.1%,61.4%,64.3%
2.01,6.8%,9.1%,63.6%,75.0%,56.3%
0.96,7.7%,9.0%,73.1%,61.4%,61.9%
3.69,17.1%,0.0%,80.5%,87.9%,87.5%
1.71,3.9%,2.0%,78.4%,77.5%,63.6%
0.82,7.5%,10.0%,66.3%,64.2%,29.6%
1.43,8.3%,2.8%,70.8%,70.6%,57.1%
0.59,5.2%,5.2%,77.6%,57.8%,30.8%
0.73,6.7%,5.0%,76.7%,60.9%,7.1%
1.20,4.0%,4.0%,69.0%,65.2%,58.1%
1.36,11.1%,3.7%,74.1%,82.5%,57.1%
0.93,10.7%,10.7%,67.9%,73.7%,51.9%
1.18,7.1%,16.1%,53.6%,76.7%,30.8%
1.66,10.2%,1.7%,67.8%,80.0%,36.8%
0.79,6.0%,0.0%,68.0%,64.7%,46.9%
1.54,6.0%,2.0%,76.0%,73.7%,58.3%
1.54,13.8%,1.5%,75.4%,79.6%,50.0%
1.28,4.6%,3.1%,60.0%,79.5%,46.2%
1.41,10.0%,3.8%,71.3%,77.2%,60.9%
1.00,6.9%,6.9%,75.5%,72.7%,28.0%
1.34,7.8%,5.6%,72.2%,76.9%,36.0%
2.67,10.7%,3.6%,71.4%,95.0%,37.5%
1.23,1.5%,10.8%,70.8%,73.9%,42.1%
0.85,6.3%,13.9%,50.6%,75.0%,46.2%
0.90,3.9%,5.9%,70.6%,66.7%,33.3%
0.83,7.4%,4.1%,63.9%,67.9%,38.6%
1.47,5.5%,4.1%,67.1%,73.5%,62.5%
0.79,1.6%,8.1%,67.7%,71.4%,40.0%
1.39,14.1%,6.3%,65.6%,81.0%,54.5%
0.96,9.6%,6.4%,65.6%,63.4%,39.5%
1.69,11.3%,7.5%,67.9%,77.8%,52.9%
0.79,3.7%,0.0%,66.7%,66.7%,44.4%
0.79,4.4%,2.2%,70.3%,68.8%,51.9%
1.39,6.7%,4.0%,64.0%,72.9%,51.9%
0.97,9.0%,3.4%,71.9%,73.4%,48.0%
1.40,6.0%,9.0%,67.2%,71.1%,54.5%
0.90,5.6%,6.7%,56.7%,64.7%,43.6%
0.79,11.5%,9.6%,65.4%,67.6%,33.3%
1.58,7.6%,6.3%,63.3%,80.0%,51.7%
1.44,3.8%,5.7%,75.5%,72.5%,69.2%
2.13,2.5%,7.5%,60.0%,70.8%,75.0%
0.77,6.9%,12.1%,56.9%,69.7%,52.0%
0.84,11.3%,7.0%,69.0%,63.3%,40.9%
1.30,13.8%,1.7%,72.4%,69.0%,68.8%
1.83,8.5%,4.3%,59.6%,82.1%,63.2%
0.97,6.3%,6.3%,70.0%,73.2%,54.2%
0.79,8.2%,4.1%,67.1%,71.4%,37.5%
0.65,3.8%,7.7%,69.2%,63.9%,31.3%
1.12,1.2%,7.1%,69.0%,79.3%,53.8%
0.95,0.0%,3.7%,75.0%,64.2%,44.4%
0.86,0.0%,2.5%,81.3%,55.4%,46.7%
1.44,0.0%,8.2%,51.0%,80.0%,54.2%
1.21,6.3%,2.5%,61.3%,71.4%,48.4%
0.99,9.8%,7.8%,60.8%,71.0%,55.0%
1.12,4.7%,5.8%,65.1%,73.2%,43.3%
1.40,15.6%,3.9%,63.6%,83.7%,53.6%
0.72,2.7%,4.1%,68.5%,60.0%,47.8%
0.77,12.4%,2.2%,67.4%,70.0%,44.8%
0.48,11.0%,5.5%,63.0%,58.7%,44.4%
0.94,4.9%,4.3%,66.3%,69.7%,40.3%
0.54,4.5%,7.5%,58.2%,61.5%,42.9%
1.23,4.2%,0.0%,76.1%,66.7%,70.6%
1.01,5.0%,3.0%,62.0%,71.0%,52.6%
2.03,6.5%,2.2%,76.1%,80.0%,72.7%
1.69,5.7%,1.9%,73.6%,74.4%,64.3%
0.73,2.5%,3.8%,65.8%,53.8%,51.9%
1.15,2.2%,4.3%,70.7%,69.2%,44.4%
1.62,8.9%,4.4%,62.2%,82.1%,58.8%
1.57,5.7%,3.8%,71.7%,81.6%,53.3%
0.43,3.7%,1.2%,63.0%,68.6%,40.0%
1.17,6.9%,3.4%,68.1%,73.4%,51.4%
0.72,0.0%,3.6%,73.2%,61.0%,40.0%
0.80,2.9%,0.0%,67.1%,66.0%,39.1%
1.89,0.0%,2.1%,68.8%,84.8%,46.7%
0.90,5.5%,4.1%,67.1%,71.4%,45.8%
1.44,11.4%,2.9%,71.4%,74.0%,60.0%
0.85,7.7%,4.3%,68.4%,72.5%,45.9%
2.13,16.3%,2.0%,75.5%,86.5%,66.7%
0.78,4.9%,2.9%,68.6%,67.1%,40.6%
1.49,16.7%,1.9%,72.2%,71.8%,73.3%
1.38,9.2%,2.6%,72.4%,78.2%,66.7%
0.62,10.4%,4.5%,74.6%,65.0%,32.4%
1.32,8.8%,0.0%,79.1%,63.9%,57.9%
0.97,7.4%,0.0%,76.5%,67.3%,43.8%
1.72,14.8%,3.3%,70.5%,60.5%,77.8%
3.19,5.7%,5.7%,77.1%,85.2%,62.5%
