DR,A%,DF%,1stIn,1st%,2nd%
2.00,12.2%,2.0%,59.2%,82.8%,85.0%
2.75,25.0%,5.0%,72.5%,89.7%,63.6%
0.77,12.8%,5.3%,55.3%,69.2%,59.5%
1.58,10.0%,3.3%,51.7%,74.2%,69.0%
0.60,5.1%,9.1%,62.6%,67.7%,48.6%
1.22,9.8%,3.3%,63.0%,65.5%,61.8%
0.82,3.8%,2.9%,56.7%,66.1%,44.4%
0.78,7.7%,1.5%,55.4%,77.8%,51.7%
0.92,7.8%,1.0%,55.9%,82.5%,42.2%
1.40,9.3%,2.3%,55.8%,81.3%,57.9%
0.98,3.6%,0.0%,59.1%,55.4%,46.7%
0.67,2.6%,10.5%,47.4%,69.4%,32.5%
1.54,8.6%,5.2%,51.7%,80.0%,67.9%
0.72,8.3%,2.4%,61.9%,75.0%,43.8%
1.14,9.3%,3.7%,61.7%,66.7%,65.9%
0.75,6.9%,5.2%,55.2%,65.6%,34.6%
1.28,4.3%,2.1%,59.6%,82.1%,36.8%
0.84,17.4%,5.4%,52.2%,81.3%,43.2%
0.71,5.3%,7.0%,61.4%,74.3%,40.9%
0.43,16.7%,5.6%,66.7%,72.2%,22.2%
0.72,12.7%,1.6%,61.9%,66.7%,54.2%
0.52,2.5%,0.0%,57.0%,66.7%,50.0%
1.33,16.9%,2.6%,57.1%,86.4%,60.6%
1.11,9.7%,1.6%,54.8%,58.8%,64.3%
0.89,11.8%,0.6%,61.8%,71.4%,58.5%
0.69,3.6%,3.6%,60.7%,73.5%,45.5%
1.23,11.5%,3.1%,66.7%,84.4%,50.0%
1.70,5.8%,1.9%,59.6%,87.1%,52.4%
1.09,6.1%,1.0%,67.7%,71.6%,50.0%
0.72,5.1%,3.8%,70.5%,69.1%,56.5%
1.76,13.0%,0.0%,63.0%,75.9%,70.6%
1.15,15.7%,2.4%,60.2%,76.0%,63.6%
0.99,7.5%,5.6%,47.7%,74.5%,50.0%
0.63,13.4%,1.0%,67.0%,75.4%,62.5%
0.89,9.2%,0.8%,68.9%,74.4%,40.5%
0.56,6.4%,0.0%,53.2%,60.0%,27.3%
1.06,8.8%,0.0%,62.5%,76.0%,63.3%
1.04,13.3%,5.3%,64.0%,83.3%,59.3%
1.06,23.6%,2.7%,61.8%,80.9%,54.8%
1.62,12.5%,0.0%,57.8%,89.2%,63.0%
1.22,11.5%,3.3%,63.9%,74.4%,68.2%
0.94,7.0%,5.3%,52.6%,73.3%,48.1%
1.06,10.4%,4.8%,64.8%,75.3%,56.8%
0.88,4.2%,0.0%,58.3%,75.0%,52.5%
1.38,11.5%,1.9%,63.5%,81.8%,57.9%
1.06,14.3%,0.0%,76.5%,70.7%,60.9%
1.26,7.1%,0.0%,64.3%,77.8%,55.0%
