DR,A%,DF%,1stIn,1st%,2nd%
1.17,16.0%,3.7%,61.7%,88.0%,35.5%
1.75,24.2%,3.2%,67.7%,88.1%,65.0%
0.64,11.1%,4.8%,66.7%,66.7%,38.1%
0.47,12.5%,2.8%,69.4%,72.0%,59.1%
1.31,15.6%,6.3%,62.5%,82.5%,50.0%
0.54,8.2%,8.2%,42.6%,73.1%,45.7%
0.88,1.8%,16.1%,53.6%,76.7%,50.0%
0.73,8.4%,7.2%,66.3%,72.7%,35.7%
1.09,2.9%,5.9%,67.6%,71.0%,39.4%
2.20,6.1%,6.1%,67.3%,93.9%,62.5%
0.81,9.0%,6.4%,65.4%,74.5%,37.0%
0.58,5.6%,7.8%,52.2%,83.0%,41.9%
1.04,8.7%,4.9%,56.3%,81.0%,48.9%
1.08,9.5%,7.4%,45.3%,79.1%,61.5%
0.74,2.7%,5.3%,57.3%,81.4%,56.3%
1.00,14.5%,7.7%,58.1%,86.8%,40.8%
0.57,0.0%,9.9%,49.3%,62.9%,38.9%
1.75,7.8%,5.9%,58.8%,83.3%,61.9%
0.85,18.2%,9.1%,57.6%,81.6%,46.4%
1.32,6.8%,5.4%,54.1%,80.0%,58.8%
0.82,8.8%,5.0%,56.3%,66.7%,45.7%
0.69,0.0%,9.3%,55.6%,56.7%,50.0%
0.70,16.4%,5.5%,61.6%,77.8%,46.4%
1.32,10.6%,1.5%,48.5%,71.9%,67.6%
1.01,7.8%,1.1%,62.2%,69.6%,67.6%
1.06,10.8%,8.6%,58.1%,75.9%,48.7%
0.12,7.8%,7.8%,51.0%,65.4%,32.0%
1.11,2.1%,10.6%,55.3%,65.4%,52.4%
0.62,1.5%,7.5%,56.7%,52.6%,37.9%
0.38,9.4%,1.9%,62.3%,66.7%,55.0%
1.60,10.4%,2.1%,60.4%,75.9%,63.2%
1.43,10.4%,4.5%,65.7%,77.3%,56.5%
1.01,6.5%,3.3%,60.9%,73.2%,38.9%
0.74,8.3%,4.2%,54.2%,64.1%,39.4%
0.97,10.8%,4.1%,58.1%,69.8%,51.6%
1.37,7.8%,4.7%,59.4%,76.3%,61.5%
1.32,6.5%,4.8%,51.6%,65.6%,63.3%
1.00,10.1%,6.1%,65.7%,72.3%,58.8%
1.26,6.6%,9.8%,59.0%,75.0%,44.0%
