DR,A%,DF%,1stIn,1st%,2nd%
0.65,7.1%,11.4%,60.0%,71.4%,35.7%
0.73,9.7%,6.9%,59.7%,51.2%,69.0%
0.83,7.1%,4.7%,67.7%,59.3%,43.9%
0.82,0.0%,4.2%,63.4%,64.4%,38.5%
1.12,2.9%,4.3%,78.6%,65.5%,53.3%
0.65,3.6%,1.2%,65.5%,67.3%,55.2%
1.17,1.7%,6.9%,58.6%,64.7%,58.3%
0.85,6.7%,10.0%,48.3%,75.9%,51.6%
1.33,5.5%,3.3%,61.5%,66.1%,65.7%
0.63,7.2%,8.8%,54.4%,73.5%,45.6%
0.58,0.0%,8.1%,56.8%,57.1%,37.5%
0.43,4.3%,2.1%,53.2%,52.0%,50.0%
0.80,3.4%,8.0%,55.7%,67.3%,35.9%
1.22,3.2%,6.5%,50.0%,74.2%,61.3%
1.03,5.3%,5.3%,56.8%,64.8%,56.1%
0.49,7.0%,1.8%,70.2%,60.0%,35.3%
1.55,3.6%,1.8%,55.4%,80.6%,68.0%
0.42,0.0%,8.3%,62.5%,56.7%,33.3%
0.69,2.6%,3.9%,58.4%,68.9%,46.9%
1.01,6.5%,6.5%,56.5%,74.3%,59.3%
1.00,5.6%,2.8%,61.1%,72.7%,42.9%
0.57,1.4%,4.2%,61.1%,65.9%,32.1%
0.50,3.4%,11.9%,54.2%,71.9%,25.9%
0.37,0.0%,15.1%,45.3%,70.8%,13.8%
0.41,4.3%,10.6%,48.9%,47.8%,37.5%
0.85,1.9%,3.8%,57.7%,63.3%,40.9%
0.65,2.1%,7.4%,54.7%,63.5%,48.8%
0.69,1.5%,4.4%,67.4%,75.8%,54.5%
0.94,9.6%,6.6%,57.2%,75.8%,49.3%
1.16,11.0%,5.5%,56.2%,87.8%,59.4%
0.83,2.2%,4.4%,52.7%,68.8%,58.1%
1.30,8.8%,2.9%,54.4%,81.1%,54.8%
0.63,16.8%,4.0%,61.4%,77.4%,48.7%
1.63,1.6%,3.2%,55.6%,82.9%,67.9%
0.69,3.0%,6.1%,54.5%,63.0%,33.3%
1.02,3.3%,4.7%,56.7%,77.6%,55.4%
0.65,3.3%,5.0%,38.3%,65.2%,48.6%
1.42,0.0%,3.3%,60.0%,83.3%,41.7%
0.78,1.4%,1.4%,49.3%,65.7%,69.4%
1.29,2.7%,6.8%,47.9%,62.9%,63.2%
0.69,3.3%,11.7%,55.0%,60.6%,29.6%
1.43,5.7%,0.0%,66.0%,74.3%,50.0%
0.75,1.6%,4.7%,57.8%,67.6%,33.3%
1.21,2.4%,2.4%,63.9%,64.2%,70.0%
0.57,5.2%,8.6%,70.7%,63.4%,29.4%
0.22,2.4%,7.1%,54.8%,43.5%,57.9%
0.63,2.1%,4.3%,66.0%,61.3%,25.0%
0.74,7.7%,5.5%,52.7%,70.8%,30.2%
0.66,4.2%,6.3%,50.0%,70.8%,45.8%
0.72,11.0%,4.1%,61.6%,62.2%,35.7%
