DR,A%,DF%,1stIn,1st%,2nd%
1.39,5.3%,3.5%,57.9%,72.7%,66.7%
0.79,4.8%,8.3%,67.9%,77.2%,44.4%
0.87,3.4%,4.5%,63.6%,66.1%,37.5%
1.22,1.1%,9.1%,67.0%,76.3%,48.3%
1.63,4.3%,2.1%,53.2%,88.0%,45.5%
1.08,4.6%,0.9%,64.8%,65.7%,55.3%
0.91,3.8%,5.0%,53.8%,65.1%,48.6%
1.39,3.4%,6.9%,56.9%,84.8%,44.0%
1.03,4.7%,6.5%,64.5%,72.5%,42.1%
0.94,8.8%,4.1%,63.3%,72.0%,48.1%
1.35,18.8%,7.2%,65.2%,82.2%,70.8%
1.40,11.7%,1.7%,70.0%,71.4%,72.2%
1.04,6.3%,5.7%,60.8%,65.6%,54.8%
1.07,6.5%,7.3%,51.6%,67.2%,58.3%
1.06,1.2%,3.6%,60.0%,66.7%,53.0%
2.01,2.1%,4.3%,93.6%,75.0%,0.0%
1.32,9.1%,9.1%,58.0%,70.6%,54.1%
2.05,14.5%,0.0%,63.6%,80.0%,70.0%
0.94,5.6%,4.5%,53.9%,79.2%,43.9%
1.07,2.0%,2.0%,70.6%,65.3%,43.3%
2.34,14.6%,2.4%,65.9%,81.5%,64.3%
0.87,1.2%,2.4%,51.2%,64.3%,67.5%
1.73,12.0%,4.0%,64.0%,84.4%,44.4%
1.77,6.8%,4.5%,72.7%,68.8%,58.3%
1.48,4.7%,4.7%,59.4%,78.9%,46.2%
1.71,10.6%,4.3%,72.3%,79.4%,53.8%
1.43,0.0%,1.7%,64.4%,68.4%,71.4%
1.94,15.4%,3.8%,65.4%,79.4%,72.2%
1.31,2.7%,1.4%,62.2%,69.6%,57.1%
1.30,7.5%,3.8%,65.0%,73.1%,50.0%
0.81,3.2%,2.2%,65.6%,67.2%,46.9%
1.25,6.0%,3.0%,53.7%,77.8%,58.1%
1.27,3.0%,4.5%,55.2%,81.1%,46.7%
1.38,7.9%,3.2%,66.7%,78.6%,42.9%
1.15,1.1%,1.1%,66.7%,66.7%,46.7%
1.25,6.0%,3.6%,68.7%,70.2%,53.8%
1.24,2.8%,4.2%,67.6%,56.3%,65.2%
0.85,4.9%,3.9%,62.7%,68.8%,39.5%
1.31,2.9%,2.9%,60.0%,69.0%,53.6%
1.41,9.4%,7.8%,73.4%,70.2%,58.8%
1.23,2.4%,3.6%,58.3%,69.4%,57.1%
1.61,3.8%,1.9%,62.3%,75.8%,70.0%
2.61,2.3%,0.0%,70.5%,90.3%,61.5%
1.32,9.3%,1.3%,72.0%,70.4%,52.4%
0.69,2.6%,6.5%,66.2%,56.9%,34.6%
1.14,5.6%,3.3%,64.4%,75.9%,50.0%
0.88,3.7%,0.9%,70.4%,69.7%,46.9%
0.94,5.6%,4.7%,67.3%,62.5%,45.7%
1.21,11.0%,4.1%,54.8%,77.5%,57.6%
0.93,6.1%,1.5%,47.0%,64.5%,57.1%
1.72,3.6%,3.6%,54.5%,80.0%,68.0%
1.67,3.5%,3.5%,56.1%,78.1%,52.0%
1.25,8.8%,6.3%,63.7%,90.2%,51.7%
1.45,6.7%,1.7%,61.7%,78.4%,65.2%
0.74,0.0%,8.8%,45.6%,57.7%,51.6%
1.77,4.2%,4.2%,47.9%,78.3%,64.0%
1.45,1.7%,3.4%,65.5%,76.3%,55.0%
0.88,0.0%,2.5%,60.0%,68.8%,43.8%
1.31,1.6%,3.2%,54.8%,70.6%,53.6%
2.30,13.2%,5.3%,55.3%,85.7%,64.7%
2.52,2.4%,7.3%,56.1%,73.9%,72.2%
0.82,0.0%,7.1%,48.2%,66.7%,34.5%
1.47,3.6%,7.1%,58.9%,78.8%,47.8%
2.15,7.1%,7.1%,61.9%,80.8%,68.8%
1.33,1.7%,5.2%,72.4%,73.8%,31.3%
0.73,2.8%,2.8%,64.8%,58.7%,48.0%
0.83,5.7%,2.3%,70.5%,74.2%,50.0%
1.91,2.4%,7.3%,58.5%,83.3%,47.1%
1.30,7.7%,1.5%,69.2%,60.0%,60.0%
0.78,1.1%,1.1%,67.0%,45.8%,41.4%
1.29,2.7%,0.0%,77.3%,77.6%,52.9%
1.28,4.8%,0.0%,71.0%,68.2%,61.1%
0.76,0.0%,3.3%,73.8%,66.7%,31.3%
0.70,1.7%,1.7%,65.5%,52.6%,50.0%
2.92,7.5%,0.0%,65.0%,88.5%,71.4%
0.82,3.1%,10.8%,46.2%,80.0%,37.1%
0.72,4.7%,2.3%,62.8%,40.7%,37.5%
1.18,3.3%,4.9%,60.7%,81.1%,41.7%
0.96,3.5%,4.4%,66.4%,65.3%,39.5%
1.16,4.0%,5.3%,65.3%,69.4%,50.0%
1.40,9.7%,6.5%,58.1%,63.9%,53.8%
0.26,1.9%,5.8%,69.2%,66.7%,25.0%
0.84,5.2%,2.6%,63.6%,63.3%,57.1%
1.22,10.4%,0.0%,64.9%,68.0%,59.3%
1.46,5.7%,3.8%,50.9%,70.4%,53.8%
0.62,6.9%,5.2%,65.5%,65.8%,55.0%
1.25,6.9%,4.2%,56.9%,68.3%,54.8%
1.19,3.5%,4.7%,65.1%,75.0%,46.7%
0.83,4.9%,1.2%,65.4%,60.4%,46.4%
1.75,8.3%,0.0%,68.8%,72.7%,73.3%
0.86,2.6%,7.0%,57.4%,65.2%,46.9%
0.69,9.8%,9.8%,53.7%,72.7%,36.8%
2.33,22.2%,4.4%,80.0%,91.7%,44.4%
0.85,5.9%,4.4%,51.5%,51.4%,39.4%
0.52,10.2%,10.2%,61.2%,53.3%,26.3%
0.88,5.0%,4.0%,60.0%,60.0%,42.5%
1.38,3.6%,3.6%,62.5%,77.1%,42.9%
0.63,6.3%,6.3%,72.9%,68.6%,23.1%
0.95,3.4%,5.1%,68.6%,61.7%,43.2%
0.72,3.0%,2.0%,58.6%,62.1%,51.2%
0.74,7.8%,4.4%,88.9%,58.8%,20.0%
0.40,2.4%,14.6%,70.7%,65.5%,33.3%
0.65,5.5%,1.8%,74.5%,61.0%,50.0%
0.49,6.3%,2.1%,60.4%,55.2%,42.1%
1.05,7.8%,2.9%,58.3%,68.3%,51.2%
0.96,3.8%,3.8%,66.7%,69.2%,46.2%
0.75,4.2%,2.8%,56.9%,68.3%,45.2%
3.50,10.7%,0.0%,67.9%,78.9%,100.0%
0.80,6.7%,2.9%,69.2%,62.5%,59.4%
0.59,6.5%,6.5%,67.7%,59.5%,40.0%
1.21,4.4%,7.7%,61.5%,75.0%,42.9%
3.01,0.0%,5.6%,63.9%,91.3%,61.5%
0.70,5.2%,1.7%,60.3%,62.9%,43.5%
0.61,1.5%,10.6%,62.1%,61.0%,44.0%
1.18,5.2%,13.8%,53.4%,67.7%,40.7%
0.83,1.1%,11.4%,53.4%,66.0%,46.3%
0.93,5.0%,4.0%,64.0%,64.1%,63.9%
1.11,3.3%,6.6%,46.2%,64.3%,51.0%
0.77,5.3%,5.3%,52.6%,60.0%,51.9%
0.60,3.0%,9.1%,66.7%,59.1%,50.0%
1.18,8.9%,3.8%,63.3%,74.0%,51.7%
1.42,8.3%,8.3%,70.0%,78.6%,38.9%
