DR,A%,DF%,1stIn,1st%,2nd%
1.10,11.2%,2.2%,67.4%,68.3%,58.6%
1.63,7.5%,1.9%,67.9%,75.0%,52.9%
0.71,10.1%,5.1%,60.8%,64.6%,45.2%
0.76,6.2%,5.4%,56.6%,64.4%,37.5%
0.90,12.7%,4.5%,53.6%,76.3%,37.3%
1.19,2.6%,2.6%,65.8%,74.0%,50.0%
1.58,17.0%,7.5%,60.4%,81.3%,47.6%
1.42,6.6%,6.6%,57.4%,74.3%,53.8%
1.09,5.5%,6.4%,63.3%,75.4%,40.0%
1.00,8.3%,11.1%,54.2%,84.6%,36.4%
1.12,11.8%,8.2%,63.5%,68.5%,51.6%
0.82,7.4%,5.6%,46.3%,76.0%,58.6%
0.98,3.3%,3.3%,66.3%,62.3%,45.2%
0.85,3.5%,8.8%,61.9%,61.4%,39.5%
0.66,4.4%,3.3%,69.2%,50.8%,42.9%
0.70,4.1%,8.2%,65.3%,62.5%,35.3%
0.97,6.3%,10.5%,56.8%,68.5%,41.5%
0.85,7.1%,7.1%,60.6%,71.7%,30.8%
0.90,7.3%,5.5%,53.2%,70.7%,43.1%
0.80,2.7%,2.7%,54.1%,67.5%,55.9%
1.27,9.5%,1.6%,68.3%,79.1%,65.0%
1.09,8.6%,2.9%,66.7%,71.4%,51.4%
0.86,1.4%,4.1%,59.6%,51.7%,49.2%
0.43,5.6%,11.1%,61.1%,45.5%,14.3%
0.67,0.0%,7.4%,66.7%,44.4%,11.1%
0.83,1.0%,3.1%,53.1%,62.7%,40.0%
0.80,4.7%,6.3%,60.9%,76.9%,44.0%
0.54,4.2%,8.3%,56.9%,53.7%,38.7%
0.75,11.2%,4.1%,64.3%,68.3%,42.9%
0.83,3.4%,3.4%,63.8%,51.4%,57.1%
0.82,1.5%,6.1%,60.6%,65.0%,34.6%
1.55,11.1%,0.0%,66.7%,83.3%,61.9%
1.12,5.4%,3.2%,69.9%,72.3%,39.3%
0.75,4.8%,1.6%,60.3%,61.8%,44.0%
0.85,0.0%,1.4%,76.3%,63.2%,36.4%
1.26,4.4%,2.7%,75.2%,80.0%,35.7%
0.99,4.2%,0.8%,65.3%,70.1%,46.3%
0.86,4.4%,6.6%,64.8%,72.9%,31.3%
1.81,17.1%,2.4%,73.2%,80.0%,45.5%
0.45,5.4%,1.8%,69.6%,56.4%,58.8%
0.98,2.0%,2.0%,58.0%,55.2%,66.7%
0.79,3.3%,2.2%,64.4%,65.5%,43.8%
1.35,2.9%,0.0%,76.5%,65.4%,75.0%
0.47,0.0%,0.0%,60.0%,43.3%,45.0%
1.34,6.7%,1.7%,70.0%,71.4%,55.6%
0.58,0.0%,3.5%,57.9%,66.7%,41.7%
1.03,2.7%,0.0%,60.8%,71.1%,37.9%
0.67,0.0%,7.2%,58.0%,67.5%,37.9%
0.95,8.6%,9.5%,73.3%,84.4%,50.0%
1.32,5.2%,1.7%,58.6%,73.5%,50.0%
1.07,9.5%,2.7%,47.3%,85.7%,56.4%
0.71,1.7%,5.2%,58.6%,50.0%,41.7%
1.46,13.3%,5.0%,61.7%,73.0%,52.2%
1.00,3.3%,5.0%,53.3%,70.3%,55.4%
1.02,4.6%,8.3%,56.5%,70.5%,42.6%
1.15,4.0%,9.3%,56.0%,73.8%,51.5%
1.26,12.1%,13.6%,54.5%,83.3%,40.0%
0.96,0.0%,9.8%,53.6%,63.3%,50.0%
1.93,2.8%,0.0%,61.1%,63.6%,78.6%
1.54,6.7%,8.0%,52.0%,87.2%,58.3%
0.97,9.3%,3.4%,63.6%,66.7%,41.9%
1.10,2.9%,5.8%,56.7%,74.6%,42.2%
1.06,6.9%,10.3%,47.4%,78.2%,42.6%
1.15,6.9%,5.6%,51.4%,70.3%,51.4%
0.59,4.8%,6.0%,51.2%,53.5%,46.3%
1.02,9.0%,1.0%,65.0%,64.6%,42.9%
1.02,7.2%,8.2%,58.8%,71.9%,32.5%
1.57,6.1%,6.1%,55.1%,77.8%,59.1%
1.32,1.2%,3.7%,59.8%,71.4%,63.6%
1.81,5.5%,0.0%,58.2%,81.3%,60.9%
1.42,9.1%,5.5%,61.8%,76.5%,61.9%
4.73,15.6%,0.0%,75.0%,95.8%,62.5%
1.46,12.7%,1.6%,65.1%,85.4%,40.9%
1.58,24.1%,0.0%,58.6%,85.3%,54.2%
0.98,9.1%,4.5%,63.6%,60.7%,31.3%
1.29,4.3%,4.3%,60.2%,75.0%,48.6%
0.95,2.3%,2.3%,60.9%,66.0%,61.8%
1.13,7.2%,4.1%,60.8%,74.6%,44.7%
2.20,4.5%,0.0%,59.1%,76.9%,72.2%
1.05,4.5%,3.4%,67.4%,70.0%,41.4%
0.66,13.2%,8.8%,66.2%,66.7%,39.1%
1.55,8.0%,2.0%,56.0%,82.1%,54.5%
