DR,A%,DF%,1stIn,1st%,2nd%
1.24,1.4%,2.9%,65.2%,80.0%,54.2%
1.67,12.7%,7.3%,60.0%,78.8%,63.6%
1.19,3.0%,3.0%,68.2%,75.6%,47.6%
0.95,10.3%,5.2%,63.9%,72.6%,54.3%
2.30,13.3%,2.2%,57.8%,88.5%,63.2%
1.65,28.0%,10.0%,60.0%,83.3%,55.0%
1.78,6.1%,0.0%,81.6%,77.5%,77.8%
1.27,6.1%,9.1%,62.1%,85.4%,48.0%
0.89,11.9%,4.5%,59.7%,72.5%,51.9%
0.93,6.9%,1.7%,56.9%,72.7%,52.0%
1.09,15.3%,6.5%,72.6%,76.7%,55.9%
2.10,38.1%,4.8%,76.2%,84.4%,50.0%
0.82,15.2%,5.4%,64.3%,73.6%,50.0%
1.33,9.3%,1.9%,64.8%,71.4%,63.2%
2.12,8.5%,8.5%,70.2%,87.9%,57.1%
0.93,6.2%,5.3%,62.8%,76.1%,40.5%
1.22,11.5%,2.6%,65.4%,78.4%,44.4%
1.10,4.9%,5.8%,58.3%,71.7%,46.5%
1.19,5.7%,2.3%,88.5%,58.4%,40.0%
0.96,0.0%,7.7%,56.9%,59.5%,67.9%
1.79,2.0%,3.9%,70.6%,88.9%,40.0%
2.03,13.2%,2.6%,60.5%,82.6%,60.0%
1.27,4.4%,4.4%,57.4%,66.7%,62.1%
0.92,8.3%,5.2%,70.8%,67.6%,46.4%
1.13,5.1%,3.4%,55.9%,78.8%,61.5%
0.93,2.4%,1.6%,58.4%,67.1%,53.8%
0.82,2.8%,0.0%,65.3%,63.8%,56.0%
1.03,1.8%,1.8%,69.6%,59.0%,76.5%
1.62,0.0%,0.0%,64.4%,81.6%,61.9%
0.96,5.2%,2.1%,65.6%,63.5%,57.6%
1.03,8.2%,3.3%,63.9%,71.8%,50.0%
1.15,8.1%,3.5%,69.8%,61.7%,46.2%
0.80,4.5%,6.8%,52.3%,71.7%,54.8%
1.26,4.5%,13.4%,59.7%,80.0%,48.1%
0.95,10.8%,4.1%,60.8%,71.1%,37.9%
0.88,11.6%,5.8%,69.8%,68.3%,65.4%
1.30,3.3%,6.7%,65.0%,59.0%,47.6%
0.92,7.4%,5.7%,63.9%,65.4%,56.8%
1.41,10.3%,5.2%,70.7%,75.6%,29.4%
1.47,5.5%,3.6%,60.0%,75.8%,68.2%
1.36,3.4%,8.6%,63.8%,64.9%,52.4%
1.48,13.0%,7.4%,61.1%,78.8%,52.4%
0.63,4.6%,1.5%,64.6%,71.4%,47.8%
1.02,3.1%,2.0%,58.2%,61.4%,53.7%
0.82,11.8%,5.9%,75.0%,64.7%,52.9%
1.55,10.5%,1.8%,66.7%,71.1%,68.4%
4.27,8.3%,5.6%,75.0%,96.3%,66.7%
3.13,20.5%,0.0%,84.6%,84.8%,83.3%
0.71,3.4%,3.4%,65.5%,64.9%,46.7%
1.51,16.7%,1.9%,70.4%,81.6%,43.8%
0.47,8.1%,6.5%,64.5%,65.0%,54.5%
0.77,1.4%,1.4%,75.0%,55.6%,66.7%
1.43,0.0%,3.8%,67.3%,65.7%,64.7%
0.99,4.1%,5.2%,57.7%,57.1%,58.5%
1.12,4.5%,5.6%,67.4%,65.0%,48.3%
0.96,3.9%,4.9%,64.7%,69.7%,41.7%
1.33,2.7%,2.7%,68.5%,68.0%,69.6%
1.41,2.1%,4.3%,59.6%,57.1%,73.7%
1.55,0.0%,1.8%,54.5%,66.7%,56.0%
1.03,13.0%,0.0%,68.8%,71.7%,50.0%
1.51,1.9%,1.9%,71.2%,73.0%,53.3%
1.81,12.8%,2.1%,68.1%,78.1%,60.0%
1.08,6.0%,2.4%,70.2%,78.0%,44.0%
1.16,3.1%,2.1%,59.8%,74.1%,61.5%
1.12,4.4%,0.0%,70.3%,62.5%,48.1%
0.94,6.9%,3.4%,62.1%,65.3%,56.8%
1.14,6.5%,6.5%,57.0%,75.4%,50.0%
1.04,1.8%,2.6%,57.9%,65.2%,43.8%
0.96,3.6%,6.0%,66.7%,66.1%,60.7%
1.17,2.4%,2.4%,54.9%,66.7%,56.8%
1.64,6.0%,2.0%,64.0%,75.0%,72.2%
1.52,5.5%,10.9%,70.9%,87.2%,50.0%
1.93,14.3%,2.4%,66.7%,71.4%,71.4%
1.52,0.0%,3.2%,66.7%,73.8%,61.9%
0.72,5.5%,3.9%,49.6%,68.3%,60.9%
1.11,11.8%,5.3%,65.8%,80.0%,57.7%
1.17,6.0%,6.0%,64.2%,81.4%,41.7%
1.03,9.5%,2.4%,59.5%,70.0%,58.8%
2.30,8.5%,0.0%,61.7%,82.8%,77.8%
0.75,12.2%,4.9%,63.4%,57.7%,40.0%
0.83,3.1%,3.1%,56.3%,53.7%,50.0%
0.86,1.6%,3.3%,52.5%,68.8%,58.6%
0.69,7.1%,5.4%,66.1%,56.8%,52.6%
1.04,5.6%,2.4%,72.8%,61.5%,41.2%
1.09,1.0%,2.0%,61.8%,73.0%,56.4%
1.32,2.7%,0.0%,62.7%,80.9%,53.6%
1.45,8.5%,3.7%,67.1%,78.2%,66.7%
1.18,1.9%,2.8%,64.2%,72.1%,55.3%
0.95,3.7%,6.1%,58.5%,75.0%,32.4%
1.05,6.7%,3.4%,53.8%,70.3%,54.5%
0.55,2.2%,0.0%,68.9%,48.4%,28.6%
0.79,4.6%,4.6%,48.3%,64.3%,42.2%
1.44,12.2%,5.4%,58.1%,81.4%,58.1%
2.02,0.0%,0.0%,61.0%,72.0%,62.5%
0.67,5.1%,3.4%,59.3%,71.4%,41.7%
1.12,8.5%,4.3%,74.5%,78.6%,45.8%
2.38,14.9%,2.1%,61.7%,89.7%,77.8%
0.70,3.0%,1.5%,63.6%,61.9%,54.2%
1.51,3.6%,0.0%,57.1%,71.9%,66.7%
1.14,5.3%,1.8%,69.3%,77.2%,60.0%
1.34,1.5%,2.9%,72.1%,75.5%,42.1%
1.72,2.4%,2.4%,71.4%,73.3%,58.3%
0.90,2.2%,4.4%,61.1%,63.6%,34.3%
0.71,11.1%,4.9%,63.0%,70.6%,70.0%
0.66,2.5%,3.8%,62.5%,56.0%,46.7%
0.72,5.3%,4.0%,69.3%,59.6%,47.8%
0.75,3.9%,2.0%,66.7%,61.8%,41.2%
0.94,4.6%,2.3%,74.7%,66.2%,45.5%
0.66,9.7%,3.2%,54.8%,67.6%,42.9%
1.12,13.6%,4.5%,71.2%,72.3%,52.6%
0.92,2.6%,1.3%,64.5%,79.6%,40.7%
1.54,2.0%,3.9%,66.7%,76.5%,64.7%
2.38,16.7%,2.4%,76.2%,84.4%,60.0%
1.29,15.8%,5.3%,66.7%,76.3%,68.4%
1.22,6.3%,1.3%,62.5%,68.0%,63.3%
1.30,10.1%,10.1%,58.0%,82.5%,51.7%
0.52,5.0%,2.5%,75.0%,53.3%,20.0%
1.38,4.1%,5.4%,73.0%,79.6%,55.0%
