DR,A%,DF%,1stIn,1st%,2nd%
1.22,5.7%,8.6%,65.7%,76.1%,50.0%
1.70,5.7%,8.6%,68.6%,75.0%,54.5%
0.77,1.1%,7.5%,61.3%,64.9%,50.0%
0.79,3.6%,7.1%,69.0%,60.3%,34.6%
0.77,4.3%,4.3%,57.1%,60.0%,56.7%
0.48,3.7%,7.4%,53.7%,58.6%,24.0%
0.72,8.1%,0.0%,66.1%,70.7%,52.4%
0.72,1.2%,1.2%,72.3%,60.0%,43.5%
1.48,7.6%,1.5%,75.8%,80.0%,62.5%
0.79,1.6%,11.1%,61.9%,69.2%,37.5%
0.51,4.5%,9.1%,77.3%,41.2%,0.0%
0.50,1.8%,7.1%,69.6%,59.0%,58.8%
1.17,0.0%,3.0%,69.7%,65.2%,55.0%
0.79,0.0%,10.8%,59.0%,53.1%,38.2%
1.11,2.3%,8.0%,65.9%,56.9%,33.3%
0.78,0.0%,6.3%,62.5%,60.0%,37.5%
0.87,5.4%,6.8%,78.4%,67.2%,25.0%
1.14,1.4%,4.1%,62.2%,80.4%,46.4%
1.35,1.7%,5.2%,60.3%,68.6%,52.2%
0.75,2.8%,5.6%,68.1%,53.1%,43.5%
1.56,3.6%,0.0%,72.7%,67.5%,66.7%
1.91,0.0%,4.1%,59.2%,79.3%,55.0%
0.86,5.6%,1.4%,59.7%,67.4%,55.2%
1.36,3.4%,5.2%,63.8%,73.0%,61.9%
0.87,3.7%,1.8%,65.1%,56.3%,50.0%
1.27,4.3%,4.3%,69.1%,67.7%,55.2%
1.99,4.3%,4.3%,63.8%,80.0%,52.9%
0.74,1.4%,4.2%,63.9%,63.0%,53.8%
0.47,0.0%,2.0%,66.7%,47.1%,29.4%
0.74,2.9%,8.6%,60.0%,71.4%,28.6%
0.59,0.0%,2.1%,72.3%,41.2%,53.8%
0.68,9.5%,6.3%,66.7%,61.9%,42.9%
1.10,3.8%,3.1%,64.1%,66.7%,44.7%
0.60,2.0%,6.0%,52.0%,57.7%,45.8%
