DR,A%,DF%,1stIn,1st%,2nd%
0.65,0.0%,1.5%,74.2%,51.0%,35.3%
2.57,2.9%,0.0%,67.6%,82.6%,63.6%
1.43,1.8%,1.8%,67.9%,78.9%,38.9%
1.39,3.6%,1.8%,58.2%,90.6%,47.8%
0.62,2.3%,2.3%,67.4%,58.6%,35.7%
1.00,3.5%,1.8%,67.3%,61.8%,51.4%
0.71,1.3%,2.6%,55.8%,69.8%,32.4%
1.10,3.5%,0.0%,58.8%,72.0%,57.1%
0.67,6.7%,1.3%,70.7%,71.7%,40.9%
1.13,2.9%,1.4%,62.3%,69.8%,61.5%
1.01,4.3%,1.1%,58.5%,70.9%,51.3%
0.99,1.2%,3.7%,54.3%,72.7%,54.1%
1.53,0.0%,1.8%,67.3%,81.1%,55.6%
0.47,1.9%,0.0%,77.8%,52.4%,41.7%
0.58,3.4%,1.7%,72.4%,52.4%,56.3%
1.04,3.0%,3.0%,66.0%,66.7%,50.0%
1.29,8.3%,3.1%,63.5%,72.1%,60.0%
1.50,3.8%,1.9%,63.5%,81.8%,47.4%
2.18,0.0%,2.5%,65.0%,84.6%,57.1%
0.83,3.6%,4.8%,59.0%,67.3%,32.4%
3.55,0.0%,5.3%,50.0%,84.2%,84.2%
0.60,5.0%,6.3%,65.0%,48.1%,50.0%
0.94,2.7%,1.8%,61.8%,82.4%,54.8%
1.53,3.8%,1.9%,62.3%,78.8%,50.0%
1.05,6.4%,5.1%,57.7%,68.9%,51.5%
0.63,5.6%,1.4%,53.5%,84.2%,48.5%
0.87,6.4%,6.4%,57.7%,68.9%,45.5%
1.20,3.8%,6.7%,59.0%,66.1%,53.5%
1.21,6.1%,3.7%,48.8%,67.5%,57.1%
1.23,0.0%,7.3%,37.8%,74.2%,60.8%
0.59,1.5%,4.5%,67.2%,51.1%,36.4%
0.59,6.3%,4.7%,70.3%,60.0%,31.6%
0.62,1.7%,3.4%,63.8%,62.2%,33.3%
1.27,2.9%,4.3%,64.3%,66.7%,64.0%
0.90,4.2%,3.1%,67.7%,58.5%,38.7%
0.62,0.0%,6.3%,70.8%,44.1%,35.7%
0.61,0.0%,3.1%,78.5%,39.2%,57.1%
1.20,0.0%,8.4%,53.0%,77.3%,53.8%
0.57,4.0%,4.0%,58.7%,70.5%,25.8%
0.76,3.8%,5.0%,66.3%,69.8%,44.4%
0.65,3.8%,1.9%,71.7%,60.5%,33.3%
0.73,0.0%,6.6%,57.4%,60.0%,30.8%
1.05,5.7%,3.3%,56.6%,60.9%,52.8%
1.55,5.6%,5.6%,61.1%,84.8%,47.6%
0.73,7.3%,3.7%,56.1%,67.4%,50.0%
0.66,7.8%,1.6%,68.8%,61.4%,50.0%
1.29,10.4%,6.5%,51.9%,80.0%,56.8%
0.92,2.6%,2.6%,65.4%,70.6%,51.9%
0.76,4.3%,7.1%,78.6%,49.1%,26.7%
0.31,2.2%,8.9%,77.8%,60.0%,10.0%
1.42,0.0%,6.6%,62.3%,68.4%,52.2%
1.03,3.0%,7.0%,55.0%,63.6%,46.7%
1.10,4.8%,4.8%,68.3%,60.5%,50.0%
0.89,1.1%,4.5%,66.3%,62.7%,46.7%
1.76,6.4%,3.8%,67.9%,73.6%,68.0%
0.69,3.3%,4.4%,60.0%,64.8%,47.2%
1.26,4.0%,5.3%,53.3%,70.0%,54.3%
1.56,0.0%,4.0%,58.0%,72.4%,66.7%
1.15,2.8%,6.9%,51.4%,73.0%,54.3%
0.62,6.8%,6.8%,71.2%,59.5%,41.2%
1.18,5.6%,5.6%,62.0%,70.5%,48.1%
0.86,1.3%,2.5%,53.8%,60.5%,51.4%
0.68,5.4%,5.4%,51.8%,72.4%,25.9%
0.44,0.0%,2.2%,60.0%,33.3%,38.9%
1.03,6.6%,3.3%,56.6%,76.8%,47.2%
0.61,12.9%,4.8%,58.1%,66.7%,46.2%
2.45,7.5%,0.0%,62.5%,84.0%,73.3%
0.84,4.5%,4.5%,62.7%,52.4%,32.0%
1.19,11.7%,3.2%,61.7%,70.7%,58.3%
1.10,7.9%,1.3%,60.5%,71.7%,56.7%
1.22,0.0%,4.4%,61.8%,71.4%,53.8%
1.12,9.1%,3.0%,69.7%,78.3%,30.0%
1.19,6.1%,2.4%,56.1%,65.2%,58.3%
