DR,A%,DF%,1stIn,1st%,2nd%
1.28,1.1%,2.2%,76.3%,62.0%,54.5%
1.29,11.0%,0.0%,80.8%,76.3%,35.7%
2.24,13.6%,0.0%,68.2%,83.3%,64.3%
0.94,12.4%,0.0%,68.5%,70.5%,50.0%
2.74,2.8%,2.8%,61.1%,86.4%,64.3%
1.77,11.5%,5.8%,42.3%,77.3%,66.7%
4.72,3.1%,0.0%,56.3%,88.9%,85.7%
1.35,16.2%,0.0%,52.7%,79.5%,57.1%
2.80,17.5%,2.5%,65.0%,84.6%,78.6%
0.84,10.9%,5.0%,52.5%,66.0%,56.3%
2.86,18.8%,0.0%,47.9%,91.3%,80.0%
0.73,10.1%,1.0%,63.6%,76.2%,61.1%
1.12,6.2%,3.1%,55.4%,69.4%,75.9%
1.59,9.8%,0.0%,59.0%,80.6%,64.0%
0.85,6.9%,3.0%,56.4%,61.4%,61.4%
0.36,5.3%,8.8%,52.6%,56.7%,44.4%
1.14,2.9%,1.0%,58.3%,78.3%,53.5%
1.35,8.9%,3.8%,55.7%,86.4%,48.6%
0.66,6.1%,8.2%,51.0%,64.0%,37.5%
2.46,25.0%,0.0%,72.9%,97.1%,46.2%
1.82,13.7%,3.9%,58.8%,83.3%,61.9%
0.89,7.9%,1.3%,48.7%,70.3%,46.2%
0.49,4.7%,4.7%,50.0%,50.0%,50.0%
2.57,12.5%,0.0%,52.5%,90.5%,68.4%
0.93,7.4%,1.2%,63.0%,68.6%,60.0%
1.63,7.7%,1.9%,50.0%,73.1%,73.1%
1.19,18.2%,3.0%,57.6%,84.2%,54.8%
0.74,3.7%,4.9%,54.9%,60.0%,43.2%
1.17,13.3%,6.7%,57.1%,75.0%,40.0%
0.90,4.4%,4.4%,44.0%,80.0%,49.0%
1.61,16.7%,3.0%,51.5%,88.2%,68.8%
0.54,12.5%,3.6%,67.9%,73.7%,50.0%
1.40,8.6%,2.9%,44.3%,90.3%,53.8%
0.77,8.5%,2.8%,63.4%,73.3%,34.6%
0.55,9.1%,1.5%,53.0%,60.0%,64.5%
1.83,9.1%,4.5%,59.1%,84.6%,55.6%
0.70,12.8%,2.1%,61.7%,79.3%,27.8%
1.11,6.7%,4.0%,66.7%,62.0%,52.0%
0.64,9.2%,3.1%,63.1%,63.4%,41.7%
1.93,22.2%,3.7%,59.3%,90.6%,72.7%
0.98,10.8%,3.6%,59.5%,80.3%,35.6%
1.34,20.7%,1.2%,54.9%,82.2%,64.9%
2.23,13.6%,9.1%,56.8%,84.0%,68.4%
0.98,6.9%,6.9%,44.6%,75.6%,55.4%
1.76,19.2%,1.9%,65.4%,82.4%,66.7%
2.04,7.1%,3.6%,55.4%,87.1%,72.0%
0.97,12.4%,7.2%,52.6%,78.4%,52.2%
0.83,9.7%,3.9%,44.7%,73.9%,59.6%
1.30,20.3%,12.5%,35.9%,82.6%,56.1%
0.59,3.5%,0.0%,70.2%,60.0%,58.8%
0.94,8.3%,1.0%,59.4%,77.2%,51.3%
1.37,8.9%,1.0%,61.4%,77.4%,51.3%
0.97,12.0%,4.8%,53.6%,80.6%,48.3%
1.69,5.7%,7.5%,49.1%,88.5%,59.3%
1.85,10.9%,6.5%,52.2%,83.3%,63.6%
