DR,A%,DF%,1stIn,1st%,2nd%
1.33,3.0%,7.5%,53.7%,66.7%,51.6%
0.64,0.0%,7.0%,46.5%,60.0%,43.5%
0.76,1.2%,3.7%,70.7%,58.6%,33.3%
1.34,3.9%,3.9%,60.5%,71.7%,43.3%
1.28,0.0%,2.9%,65.2%,68.9%,45.8%
1.44,0.0%,5.8%,53.8%,78.6%,58.3%
0.89,6.8%,3.4%,59.3%,65.7%,62.5%
1.07,4.8%,5.7%,63.8%,70.1%,55.3%
1.16,4.1%,2.7%,54.8%,62.5%,54.5%
0.77,11.4%,13.6%,40.9%,72.2%,46.2%
1.16,2.1%,4.2%,55.8%,67.9%,45.2%
1.18,2.5%,6.2%,53.1%,60.5%,57.9%
1.13,2.4%,3.5%,50.6%,62.8%,52.4%
0.86,5.1%,4.1%,54.1%,66.0%,64.4%
1.36,9.7%,1.6%,58.1%,86.1%,69.2%
0.87,2.5%,6.3%,58.2%,67.4%,48.5%
1.53,7.7%,1.5%,63.1%,80.5%,66.7%
1.00,3.2%,7.4%,61.7%,75.9%,38.9%
0.91,3.3%,6.7%,58.3%,60.0%,32.0%
1.35,6.3%,0.0%,56.3%,72.2%,57.1%
0.80,2.6%,3.9%,63.6%,65.3%,53.6%
1.33,1.6%,4.8%,48.4%,63.3%,59.4%
1.41,0.0%,4.0%,66.0%,69.7%,52.9%
0.91,2.1%,5.3%,55.3%,76.9%,35.7%
1.27,4.5%,0.0%,56.1%,73.0%,51.7%
0.91,1.9%,6.7%,60.0%,58.7%,50.0%
1.63,8.3%,6.7%,55.0%,78.8%,55.6%
1.62,2.3%,4.5%,68.2%,80.0%,42.9%
2.36,10.5%,0.0%,52.6%,70.0%,83.3%
1.17,2.6%,11.1%,60.7%,78.9%,34.8%
0.87,0.0%,1.1%,54.0%,57.4%,40.0%
0.95,4.4%,3.6%,59.9%,64.6%,52.7%
1.26,4.3%,2.9%,63.8%,70.5%,68.0%
1.46,9.7%,9.7%,41.9%,69.2%,50.0%
1.95,10.0%,5.0%,50.0%,70.0%,60.0%
0.89,2.8%,7.5%,60.7%,61.5%,31.0%
0.36,0.0%,5.3%,43.9%,48.0%,40.6%
1.22,7.0%,2.3%,60.5%,78.8%,58.8%
1.23,4.8%,0.0%,72.6%,71.1%,64.7%
1.17,4.1%,3.1%,62.9%,72.1%,52.8%
0.81,2.0%,4.0%,50.5%,68.6%,48.0%
1.01,7.9%,5.6%,53.9%,70.8%,56.1%
0.42,0.0%,4.2%,62.5%,46.7%,44.4%
1.21,2.9%,4.4%,52.9%,69.4%,65.6%
1.26,2.6%,5.3%,53.9%,87.8%,42.9%
0.83,10.1%,2.5%,58.0%,72.5%,56.0%
1.41,2.0%,4.0%,48.0%,75.0%,50.0%
1.24,6.7%,12.0%,54.7%,80.5%,52.9%
1.09,4.2%,4.2%,50.7%,69.4%,60.0%
0.88,6.0%,7.5%,52.2%,80.0%,40.6%
0.50,1.8%,9.1%,45.5%,56.0%,33.3%
1.42,2.3%,7.0%,46.5%,85.0%,58.7%
1.11,4.2%,4.2%,52.1%,73.0%,58.8%
1.20,1.5%,6.0%,56.7%,63.2%,55.2%
1.24,5.3%,2.7%,53.3%,65.0%,57.1%
1.55,3.6%,3.6%,47.3%,76.9%,55.2%
2.20,6.8%,6.8%,56.8%,80.0%,73.7%
0.70,0.0%,13.8%,39.7%,69.6%,42.9%
1.33,5.5%,5.5%,50.7%,67.6%,58.3%
1.16,3.4%,6.9%,57.5%,78.0%,62.2%
0.69,7.7%,3.1%,58.5%,65.8%,59.3%
1.35,6.3%,1.6%,52.4%,69.7%,56.7%
2.47,12.1%,6.1%,51.5%,82.4%,68.8%
0.72,1.8%,7.0%,45.6%,53.8%,54.8%
1.61,0.0%,3.8%,49.1%,80.8%,44.4%
1.41,3.5%,7.0%,54.4%,74.2%,46.2%
1.51,1.7%,5.2%,53.4%,67.7%,55.6%
0.79,9.5%,8.3%,45.2%,68.4%,50.0%
0.92,4.6%,5.7%,47.1%,78.0%,41.3%
1.42,9.7%,8.1%,59.7%,78.4%,60.0%
0.75,4.1%,8.2%,51.0%,92.0%,37.5%
1.64,1.9%,5.6%,59.3%,78.1%,63.6%
1.48,10.3%,3.4%,51.7%,83.3%,53.6%
0.90,3.8%,9.0%,43.6%,61.8%,45.5%
0.88,4.3%,7.1%,37.1%,65.4%,54.5%
0.98,5.6%,1.1%,62.9%,60.7%,36.4%
