DR,A%,DF%,1stIn,1st%,2nd%
1.28,4.0%,4.0%,64.4%,73.8%,58.3%
0.71,8.4%,2.4%,57.8%,72.9%,40.0%
0.75,8.6%,4.3%,67.1%,57.4%,39.1%
0.67,4.7%,4.7%,62.8%,55.6%,31.3%
1.33,8.2%,6.6%,57.4%,85.7%,53.8%
1.18,2.8%,4.2%,57.7%,73.2%,50.0%
0.78,7.0%,0.0%,71.9%,61.0%,25.0%
1.70,7.5%,3.0%,61.2%,80.5%,76.9%
2.53,9.4%,0.0%,67.9%,83.3%,88.2%
1.42,5.7%,2.9%,64.3%,75.6%,72.0%
1.25,5.5%,3.3%,56.0%,86.3%,40.0%
1.16,13.8%,3.4%,65.5%,80.7%,53.3%
1.36,14.5%,3.2%,62.9%,79.5%,69.6%
0.72,5.1%,2.6%,59.0%,54.3%,50.0%
4.63,15.6%,0.0%,56.3%,88.9%,85.7%
1.13,6.9%,4.9%,52.9%,74.1%,56.3%
0.84,4.1%,2.1%,62.9%,67.2%,52.8%
0.46,5.7%,1.4%,67.1%,74.5%,65.2%
1.06,1.4%,1.4%,70.3%,75.0%,50.0%
1.74,5.5%,0.0%,67.3%,75.7%,72.2%
1.51,13.8%,5.2%,48.3%,96.4%,56.7%
1.10,21.2%,7.6%,63.6%,73.8%,37.5%
1.13,2.6%,3.9%,60.5%,65.2%,46.7%
2.69,17.9%,0.0%,76.9%,86.7%,66.7%
1.71,20.4%,2.0%,57.1%,82.1%,71.4%
0.94,5.5%,0.0%,68.5%,60.0%,47.8%
1.44,16.4%,4.5%,53.7%,80.6%,61.3%
1.83,2.1%,2.1%,60.4%,82.8%,63.2%
0.78,3.9%,1.3%,70.1%,66.7%,39.1%
1.04,6.7%,3.4%,60.7%,64.8%,57.1%
1.59,2.0%,10.0%,52.0%,73.1%,66.7%
1.18,7.8%,6.0%,52.6%,80.3%,49.1%
0.88,9.9%,4.0%,54.5%,72.7%,54.3%
0.71,4.6%,7.7%,66.2%,81.4%,22.7%
0.70,3.8%,2.8%,58.5%,59.7%,61.4%
1.23,9.6%,6.0%,61.4%,72.5%,50.0%
0.61,5.5%,9.6%,47.9%,68.6%,57.9%
0.81,6.7%,2.5%,52.5%,66.7%,56.1%
1.70,17.0%,0.0%,60.4%,87.5%,66.7%
1.54,11.7%,6.7%,60.0%,77.8%,62.5%
0.89,18.6%,4.7%,65.1%,78.6%,40.0%
1.02,6.8%,3.4%,62.5%,85.5%,36.4%
1.59,14.5%,6.5%,59.7%,83.8%,60.0%
1.27,11.3%,4.2%,54.9%,71.8%,53.1%
0.47,2.9%,7.4%,54.4%,51.4%,32.3%
0.94,1.3%,1.3%,65.3%,67.3%,38.5%
1.91,6.5%,2.2%,63.0%,82.8%,70.6%
0.80,3.8%,2.5%,61.3%,71.4%,41.9%
0.67,6.7%,8.3%,55.0%,69.7%,48.1%
0.53,5.7%,1.4%,51.4%,58.3%,58.8%
0.57,0.0%,9.5%,59.5%,48.0%,17.6%
1.11,2.8%,6.9%,58.3%,64.3%,56.7%
0.69,1.7%,3.3%,58.3%,60.0%,48.0%
0.36,0.0%,10.5%,55.3%,42.9%,29.4%
0.83,3.2%,3.2%,69.8%,63.6%,36.8%
0.60,4.2%,4.2%,58.3%,64.3%,35.0%
0.67,10.9%,6.3%,54.7%,68.6%,51.7%
0.77,3.3%,3.3%,60.7%,64.9%,54.2%
1.30,3.8%,0.0%,57.0%,80.0%,52.9%
0.95,0.0%,4.4%,53.3%,66.7%,61.9%
0.74,6.1%,7.6%,57.6%,63.2%,28.6%
0.71,15.4%,3.8%,75.0%,66.7%,46.2%
0.94,6.6%,7.9%,52.6%,75.0%,52.8%
1.02,7.4%,5.7%,59.0%,80.6%,48.0%
1.75,16.3%,2.0%,51.0%,76.0%,66.7%
1.26,10.0%,5.7%,61.4%,69.8%,51.9%
1.68,11.3%,1.6%,54.8%,82.4%,64.3%
0.80,3.6%,3.6%,66.1%,75.7%,47.4%
1.38,30.9%,7.3%,67.3%,83.8%,44.4%
0.95,4.6%,5.6%,57.4%,66.1%,43.5%
1.03,16.1%,8.0%,55.4%,85.5%,40.0%
1.16,14.1%,5.1%,54.5%,75.9%,53.3%
0.76,10.0%,8.6%,57.1%,75.0%,50.0%
0.90,5.1%,7.1%,58.6%,69.0%,46.3%
1.32,12.3%,6.2%,63.1%,82.9%,50.0%
1.92,10.9%,4.3%,58.7%,92.6%,47.4%
1.32,4.1%,2.7%,67.1%,67.3%,62.5%
1.22,4.4%,0.0%,69.1%,72.3%,57.1%
2.37,4.5%,4.5%,54.5%,87.5%,75.0%
1.29,7.5%,0.0%,71.3%,66.7%,65.2%
2.09,20.0%,6.7%,62.2%,78.6%,70.6%
1.21,7.2%,2.9%,63.8%,68.2%,56.0%
1.42,11.9%,3.0%,62.7%,78.6%,56.0%
1.29,7.2%,5.8%,55.1%,78.9%,45.2%
2.00,8.7%,4.3%,58.7%,85.2%,63.2%
0.91,7.1%,7.1%,48.6%,52.9%,61.1%
1.47,3.6%,7.3%,67.3%,78.4%,44.4%
1.15,11.1%,3.7%,56.8%,69.6%,51.4%
0.99,6.6%,3.3%,57.1%,69.2%,64.1%
1.40,13.8%,5.2%,51.7%,86.7%,42.9%
1.23,4.6%,3.1%,50.8%,66.7%,62.5%
1.25,6.5%,9.1%,57.1%,77.3%,51.5%
0.46,2.2%,11.1%,62.2%,67.9%,17.6%
1.02,4.6%,8.0%,56.3%,85.7%,36.8%
2.15,8.1%,8.1%,54.1%,85.0%,64.7%
1.63,2.1%,4.3%,61.7%,79.3%,50.0%
2.57,23.9%,6.5%,47.8%,90.9%,75.0%
2.05,22.2%,6.7%,46.7%,85.7%,66.7%
1.02,2.9%,13.0%,55.1%,71.1%,48.4%
0.60,1.3%,12.5%,67.5%,50.0%,38.5%
2.39,7.7%,2.6%,51.3%,85.0%,63.2%
0.70,4.7%,1.6%,57.8%,56.8%,51.9%
1.17,15.5%,12.7%,47.9%,85.3%,43.2%
1.67,19.2%,5.8%,50.0%,73.1%,65.4%
1.53,13.3%,8.3%,38.3%,87.0%,62.2%
0.80,7.9%,5.6%,49.4%,68.2%,57.8%
0.78,4.8%,6.3%,55.6%,60.0%,53.6%
0.70,4.7%,1.6%,67.2%,74.4%,61.9%
