DR,A%,DF%,1stIn,1st%,2nd%
1.14,9.7%,1.4%,70.8%,68.6%,57.1%
0.69,12.7%,2.5%,60.8%,81.3%,48.4%
1.06,5.3%,6.4%,55.3%,76.9%,54.8%
1.30,13.2%,3.9%,65.8%,82.0%,53.8%
0.68,3.8%,3.8%,61.5%,59.4%,35.0%
1.41,17.6%,1.5%,57.4%,79.5%,48.3%
0.68,4.2%,2.8%,57.7%,70.7%,40.0%
1.08,13.8%,1.5%,69.2%,64.4%,45.0%
1.35,12.2%,1.2%,64.6%,69.8%,65.5%
1.20,6.8%,5.1%,61.0%,72.2%,69.6%
1.26,2.6%,2.6%,57.1%,70.5%,66.7%
0.85,7.8%,3.9%,60.2%,72.6%,39.0%
1.88,18.5%,1.5%,67.7%,88.6%,61.9%
1.73,15.5%,5.2%,79.3%,89.1%,33.3%
0.49,2.0%,8.0%,42.0%,33.3%,51.7%
0.70,6.5%,6.5%,62.9%,71.8%,47.8%
1.08,2.9%,2.9%,57.4%,64.1%,69.0%
0.78,7.5%,1.3%,67.5%,68.5%,50.0%
1.21,15.3%,10.7%,61.1%,76.3%,43.1%
1.51,15.7%,3.4%,64.0%,87.7%,53.1%
0.87,4.4%,4.4%,51.8%,76.3%,49.1%
0.77,11.5%,3.3%,59.0%,77.8%,24.0%
0.50,12.5%,7.8%,53.1%,58.8%,43.3%
1.16,8.2%,2.0%,67.3%,72.7%,43.8%
1.32,3.5%,5.8%,66.3%,80.7%,48.3%
1.39,15.1%,5.7%,54.7%,75.9%,50.0%
0.94,12.0%,6.0%,47.0%,66.7%,63.6%
0.93,16.7%,3.7%,63.9%,72.5%,51.3%
0.64,2.0%,10.0%,60.0%,56.7%,40.0%
1.31,14.5%,4.3%,53.6%,75.7%,53.1%
2.74,17.5%,2.5%,65.0%,76.9%,85.7%
0.57,4.1%,10.2%,61.2%,53.3%,47.4%
1.23,7.5%,6.3%,57.5%,76.1%,52.9%
0.95,8.4%,1.5%,58.8%,63.6%,46.3%
1.34,7.1%,5.4%,51.8%,82.8%,48.1%
0.79,7.7%,6.6%,53.8%,69.4%,40.5%
0.58,6.4%,10.6%,57.4%,59.3%,45.0%
1.52,1.9%,3.7%,51.9%,78.6%,65.4%
1.17,11.1%,6.9%,65.3%,76.6%,56.0%
