DR,A%,DF%,1stIn,1st%,2nd%
1.48,8.8%,7.0%,57.9%,81.8%,58.3%
0.82,3.0%,5.9%,50.3%,64.7%,46.4%
1.00,1.0%,6.7%,52.9%,69.1%,53.1%
1.27,4.5%,3.0%,63.6%,71.4%,45.8%
0.75,2.0%,3.0%,71.0%,62.0%,41.4%
0.95,5.9%,4.9%,53.9%,69.1%,55.3%
1.73,12.5%,0.0%,66.7%,84.4%,62.5%
0.89,1.9%,9.3%,54.6%,64.4%,40.8%
0.82,3.8%,2.5%,63.7%,80.4%,48.3%
1.88,7.0%,0.0%,67.6%,81.3%,69.6%
0.52,0.0%,1.9%,58.5%,51.6%,27.3%
1.12,3.5%,2.4%,69.4%,67.8%,57.7%
0.73,3.3%,8.3%,56.7%,55.9%,42.3%
0.83,1.6%,0.0%,62.3%,71.1%,60.9%
2.41,15.9%,0.0%,63.6%,85.7%,75.0%
1.26,10.0%,3.8%,56.3%,73.3%,57.1%
0.58,0.0%,0.0%,56.8%,48.0%,52.6%
0.65,6.3%,4.7%,51.6%,57.6%,51.6%
0.42,0.0%,3.8%,65.4%,64.7%,44.4%
2.32,6.4%,0.0%,72.3%,85.3%,69.2%
0.65,5.7%,1.9%,54.7%,55.2%,54.2%
1.52,0.0%,1.6%,62.9%,74.4%,52.2%
1.00,3.6%,2.9%,71.5%,72.4%,51.3%
1.62,11.1%,4.8%,60.3%,84.2%,56.0%
0.89,2.2%,1.1%,64.5%,63.3%,63.6%
1.18,3.3%,0.0%,67.2%,73.2%,60.0%
1.16,4.4%,3.5%,59.3%,80.6%,54.3%
1.46,3.4%,3.4%,60.3%,77.1%,52.2%
1.24,4.4%,2.9%,58.8%,70.0%,57.1%
1.45,3.4%,3.4%,69.0%,62.5%,61.1%
1.22,1.5%,4.5%,58.2%,74.4%,60.7%
1.61,6.5%,2.2%,64.1%,84.7%,60.6%
0.76,5.6%,2.4%,55.6%,70.0%,55.4%
1.16,7.6%,0.0%,69.6%,65.6%,60.7%
1.47,9.9%,2.0%,61.4%,83.9%,69.2%
1.22,1.5%,2.9%,54.4%,83.8%,48.4%
1.21,4.3%,1.4%,59.4%,70.7%,60.7%
0.45,4.9%,4.9%,52.5%,65.6%,37.9%
0.37,1.7%,3.4%,62.1%,63.9%,22.7%
1.61,7.8%,0.0%,80.4%,73.2%,60.0%
2.42,9.5%,2.4%,69.0%,86.2%,69.2%
2.22,9.1%,2.3%,72.7%,93.8%,41.7%
1.32,8.1%,0.0%,69.7%,73.9%,63.3%
0.72,0.0%,2.7%,65.8%,56.3%,44.0%
1.53,6.3%,4.2%,60.4%,75.9%,47.4%
1.32,2.6%,1.3%,76.6%,72.9%,61.1%
0.53,2.3%,4.7%,48.8%,57.1%,36.4%
1.26,12.5%,0.0%,76.6%,69.4%,66.7%
1.23,6.8%,4.1%,66.2%,75.5%,44.0%
1.18,0.0%,2.3%,69.3%,72.1%,63.0%
1.34,3.3%,3.3%,51.7%,71.0%,58.6%
0.89,4.5%,5.7%,50.0%,65.9%,61.4%
1.41,1.6%,4.8%,54.8%,70.6%,64.3%
3.30,36.8%,2.6%,52.6%,90.0%,77.8%
0.59,6.0%,1.5%,67.2%,64.4%,45.5%
1.33,7.0%,2.8%,56.3%,87.5%,48.4%
1.59,3.4%,3.4%,55.9%,72.7%,65.4%
1.59,12.0%,2.4%,72.3%,80.0%,60.9%
1.08,13.3%,3.3%,66.7%,78.3%,56.7%
0.95,7.9%,3.4%,62.9%,76.8%,39.4%
1.49,11.5%,1.9%,59.6%,74.2%,71.4%
1.25,4.3%,4.3%,60.0%,76.2%,60.7%
1.04,7.1%,3.9%,66.1%,71.4%,58.1%
1.40,15.2%,4.5%,60.6%,82.5%,34.6%
0.54,2.1%,6.4%,57.4%,70.4%,25.0%
2.11,5.8%,1.9%,59.6%,80.6%,81.0%
2.79,7.7%,0.0%,71.8%,82.1%,81.8%
0.55,2.5%,5.1%,63.3%,62.0%,31.0%
1.12,6.8%,0.0%,60.2%,79.2%,60.0%
1.68,2.0%,2.0%,62.0%,83.9%,57.9%
1.44,16.5%,3.5%,69.4%,72.9%,57.7%
1.32,9.5%,4.8%,57.1%,72.2%,55.6%
0.47,7.8%,6.3%,60.9%,69.2%,24.0%
1.19,6.7%,1.9%,65.4%,75.0%,38.9%
0.58,4.9%,2.4%,63.4%,61.5%,26.7%
0.52,2.4%,2.4%,59.5%,52.0%,23.5%
0.76,2.6%,6.4%,60.3%,66.0%,51.6%
0.86,0.7%,3.5%,54.6%,59.7%,42.2%
1.10,0.0%,3.8%,63.5%,60.6%,26.3%
1.19,8.4%,2.8%,70.1%,84.0%,68.8%
0.99,3.7%,3.7%,68.1%,71.7%,41.9%
0.77,1.9%,1.9%,58.5%,61.3%,40.9%
1.07,2.4%,6.1%,64.6%,81.1%,41.4%
1.30,10.0%,4.4%,73.3%,72.7%,50.0%
